Type,id,location,edges--edge--commodity,edges--edge--unidirectional,edges--edge--has_capacity,edges--edge--can_expand,edges--edge--can_retire,edges--edge--lifetime,edges--edge--constraints--CapacityConstraint,edges--edge--constraints--MaxCapacityConstraint,transforms--timedata,edges--edge--end_vertex,edges--edge--wacc,edges--edge--investment_cost,edges--edge--fixed_om_cost,edges--edge--variable_om_cost,edges--edge--max_capacity,edges--edge--existing_capacity,edges--edge--availability--timeseries--path,edges--edge--availability--timeseries--header
VRE,SEL_utility_pv,SEL,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_SEL,0.1,521000,17420.8,0,1700,0,system/availability.csv,SEL_solar
VRE,PUS_utility_pv,PUS,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_PUS,0.1,521000,17420.8,0,3200,0,system/availability.csv,PUS_solar
VRE,TAE_utility_pv,TAE,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_TAE,0.1,521000,17420.8,0,2800,0,system/availability.csv,TAE_solar
VRE,INC_utility_pv,INC,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_INC,0.1,521000,17420.8,0,2100,0,system/availability.csv,INC_solar
VRE,KWJ_utility_pv,KWJ,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_KWJ,0.1,521000,17420.8,0,1900,0,system/availability.csv,KWJ_solar
VRE,DJJ_utility_pv,DJJ,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_DJJ,0.1,521000,17420.8,0,1200,0,system/availability.csv,DJJ_solar
VRE,USN_utility_pv,USN,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_USN,0.1,521000,17420.8,0,2200,0,system/availability.csv,USN_solar
VRE,SJG_utility_pv,SJG,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_SJG,0.1,521000,17420.8,0,800,0,system/availability.csv,SJG_solar
VRE,GGI_utility_pv,GGI,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_GGI,0.1,521000,17420.8,0,15000,0,system/availability.csv,GGI_solar
VRE,GWN_utility_pv,GWN,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_GWN,0.1,521000,17420.8,0,46700,0,system/availability.csv,GWN_solar
VRE,CNB_utility_pv,CNB,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_CNB,0.1,521000,17420.8,0,12000,0,system/availability.csv,CNB_solar
VRE,CNA_utility_pv,CNA,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_CNA,0.1,521000,17420.8,0,25000,0,system/availability.csv,CNA_solar
VRE,JNB_utility_pv,JNB,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_JNB,0.1,521000,17420.8,0,18000,0,system/availability.csv,JNB_solar
VRE,JNA_utility_pv,JNA,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_JNA,0.1,521000,17420.8,0,34100,0,system/availability.csv,JNA_solar
VRE,GNB_utility_pv,GNB,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_GNB,0.1,521000,17420.8,0,52700,0,system/availability.csv,GNB_solar
VRE,GNA_utility_pv,GNA,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_GNA,0.1,521000,17420.8,0,30000,0,system/availability.csv,GNA_solar
VRE,JEJ_utility_pv,JEJ,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_JEJ,0.1,521000,17420.8,0,3500,0,system/availability.csv,JEJ_solar
VRE,SEL_onshore_wind,SEL,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_SEL,0.1,1519000,32038.1,0,0,0,system/availability.csv,SEL_onwind
VRE,PUS_onshore_wind,PUS,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_PUS,0.1,1519000,32038.1,0,500,0,system/availability.csv,PUS_onwind
VRE,TAE_onshore_wind,TAE,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_TAE,0.1,1519000,32038.1,0,500,0,system/availability.csv,TAE_onwind
VRE,INC_onshore_wind,INC,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_INC,0.1,1519000,32038.1,0,500,0,system/availability.csv,INC_onwind
VRE,KWJ_onshore_wind,KWJ,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_KWJ,0.1,1519000,32038.1,0,500,0,system/availability.csv,KWJ_onwind
VRE,DJJ_onshore_wind,DJJ,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_DJJ,0.1,1519000,32038.1,0,200,0,system/availability.csv,DJJ_onwind
VRE,USN_onshore_wind,USN,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_USN,0.1,1519000,32038.1,0,500,0,system/availability.csv,USN_onwind
VRE,SJG_onshore_wind,SJG,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_SJG,0.1,1519000,32038.1,0,200,0,system/availability.csv,SJG_onwind
VRE,GGI_onshore_wind,GGI,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_GGI,0.1,1519000,32038.1,0,2000,0,system/availability.csv,GGI_onwind
VRE,GWN_onshore_wind,GWN,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_GWN,0.1,1519000,32038.1,0,15000,0,system/availability.csv,GWN_onwind
VRE,CNB_onshore_wind,CNB,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_CNB,0.1,1519000,32038.1,0,5000,0,system/availability.csv,CNB_onwind
VRE,CNA_onshore_wind,CNA,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_CNA,0.1,1519000,32038.1,0,8000,0,system/availability.csv,CNA_onwind
VRE,JNB_onshore_wind,JNB,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_JNB,0.1,1519000,32038.1,0,8000,0,system/availability.csv,JNB_onwind
VRE,JNA_onshore_wind,JNA,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_JNA,0.1,1519000,32038.1,0,12000,0,system/availability.csv,JNA_onwind
