Type,id,location,edges--elec_edge--unidirectional,edges--elec_edge--has_capacity,edges--elec_edge--commodity,edges--elec_edge--uc,edges--elec_edge--can_expand,edges--elec_edge--can_retire,edges--elec_edge--constraints--CapacityConstraint,edges--elec_edge--end_vertex,edges--elec_edge--wacc,edges--elec_edge--investment_cost,edges--elec_edge--existing_capacity,edges--elec_edge--lifetime,edges--elec_edge--fixed_om_cost,edges--elec_edge--variable_om_cost,edges--elec_edge--capacity_size,edges--elec_edge--min_capacity,edges--elec_edge--startup_cost,edges--elec_edge--startup_fuel_consumption,edges--elec_edge--min_up_time,edges--elec_edge--min_down_time,edges--elec_edge--ramp_up_fraction,edges--elec_edge--ramp_down_fraction,edges--elec_edge--min_flow_fraction,edges--fuel_edge--unidirectional,edges--fuel_edge--has_capacity,edges--fuel_edge--commodity,edges--fuel_edge--start_vertex,edges--co2_edge--unidirectional,edges--co2_edge--has_capacity,edges--co2_edge--commodity,edges--co2_edge--end_vertex,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--fuel_consumption,transforms--emission_rate
ThermalPower,Coal_power_plant_SEL,SEL,True,True,Electricity,True,False,True,True,elec_SEL,0.1,1564878,0,30,15816,1.55,200,0,150,0.134,6,6,0.6,0.6,0,True,False,Coal,coal_source,True,False,CO2,co2_sink_KR,Coal,True,3.825,0.3405
ThermalPower,Coal_power_plant_PUS,PUS,True,True,Electricity,True,True,True,True,elec_PUS,0.1,1564878,0,30,15816,1.55,200,0,150,0.134,6,6,0.6,0.6,0,True,False,Coal,coal_source,True,False,CO2,co2_sink_KR,Coal,True,3.825,0.3405
ThermalPower,Coal_power_plant_TAE,TAE,True,True,Electricity,True,True,True,True,elec_TAE,0.1,1564878,0,30,15816,1.55,200,0,150,0.134,6,6,0.6,0.6,0,True,False,Coal,coal_source,True,False,CO2,co2_sink_KR,Coal,True,3.825,0.3405
ThermalPower,Coal_power_plant_INC,INC,True,True,Electricity,True,True,True,True,elec_INC,0.1,1564878,0,30,15816,1.55,200,0,150,0.134,6,6,0.6,0.6,0,True,False,Coal,coal_source,True,False,CO2,co2_sink_KR,Coal,True,3.825,0.3405
ThermalPower,Coal_power_plant_KWJ,KWJ,True,True,Electricity,True,True,True,True,elec_KWJ,0.1,1564878,0,30,15816,1.55,200,0,150,0.134,6,6,0.6,0.6,0,True,False,Coal,coal_source,True,False,CO2,co2_sink_KR,Coal,True,3.825,0.3405
ThermalPower,Coal_power_plant_DJJ,DJJ,True,True,Electricity,True,True,True,True,elec_DJJ,0.1,1564878,0,30,15816,1.55,200,0,150,0.134,6,6,0.6,0.6,0,True,False,Coal,coal_source,True,False,CO2,co2_sink_KR,Coal,True,3.825,0.3405
ThermalPower,Coal_power_plant_USN,USN,True,True,Electricity,True,True,True,True,elec_USN,0.1,1564878,0,30,15816,1.55,200,0,150,0.134,6,6,0.6,0.6,0,True,False,Coal,coal_source,True,False,CO2,co2_sink_KR,Coal,True,3.825,0.3405
ThermalPower,Coal_power_plant_SJG,SJG,True,True,Electricity,True,True,True,True,elec_SJG,0.1,1564878,0,30,15816,1.55,200,0,150,0.134,6,6,0.6,0.6,0,True,False,Coal,coal_source,True,False,CO2,co2_sink_KR,Coal,True,3.825,0.3405
ThermalPower,Coal_power_plant_GGI,GGI,True,True,Electricity,True,True,True,True,elec_GGI,0.1,1564878,0,30,15816,1.55,200,0,150,0.134,6,6,0.6,0.6,0,True,False,Coal,coal_source,True,False,CO2,co2_sink_KR,Coal,True,3.825,0.3405
ThermalPower,Coal_power_plant_GWN,GWN,True,True,Electricity,True,True,True,True,elec_GWN,0.1,1564878,0,30,15816,1.55,200,0,150,0.134,6,6,0.6,0.6,0,True,False,Coal,coal_source,True,False,CO2,co2_sink_KR,Coal,True,3.825,0.3405
