Type,id,location,edges--elec_edge--unidirectional,edges--elec_edge--commodity,edges--elec_edge--has_capacity,edges--elec_edge--uc,edges--elec_edge--integer_decisions,edges--elec_edge--lifetime,edges--elec_edge--constraints--CapacityConstraint,edges--elec_edge--can_expand,edges--elec_edge--can_retire,edges--elec_edge--end_vertex,edges--elec_edge--wacc,edges--elec_edge--investment_cost,edges--elec_edge--existing_capacity,edges--elec_edge--fixed_om_cost,edges--elec_edge--variable_om_cost,edges--elec_edge--capacity_size,edges--elec_edge--startup_cost,edges--elec_edge--startup_fuel_consumption,edges--elec_edge--min_up_time,edges--elec_edge--min_down_time,edges--elec_edge--ramp_up_fraction,edges--elec_edge--ramp_down_fraction,edges--elec_edge--min_flow_fraction,edges--fuel_edge--commodity,edges--fuel_edge--unidirectional,edges--fuel_edge--has_capacity,edges--fuel_edge--start_vertex,edges--co2_edge--commodity,edges--co2_edge--unidirectional,edges--co2_edge--has_capacity,edges--co2_edge--end_vertex,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--fuel_consumption,transforms--emission_rate
ThermalPower,SEL_nuclear_power_plant,SEL,True,Electricity,True,True,False,30,True,False,True,elec_SEL,0.1,3560092,0,199087,10.34,1051.009,0,0,36,36,0.25,0.25,0.5,Uranium,True,False,uranium_source,CO2,True,False,co2_sink_KR,Uranium,True,3.064351108,0
ThermalPower,PUS_nuclear_power_plant,PUS,True,Electricity,True,True,False,30,True,True,True,elec_PUS,0.1,3560092,0,199087,10.34,1051.009,0,0,36,36,0.25,0.25,0.5,Uranium,True,False,uranium_source,CO2,True,False,co2_sink_KR,Uranium,True,3.064351108,0
ThermalPower,TAE_nuclear_power_plant,TAE,True,Electricity,True,True,False,30,True,True,True,elec_TAE,0.1,3560092,0,199087,10.34,1051.009,0,0,36,36,0.25,0.25,0.5,Uranium,True,False,uranium_source,CO2,True,False,co2_sink_KR,Uranium,True,3.064351108,0
ThermalPower,INC_nuclear_power_plant,INC,True,Electricity,True,True,False,30,True,True,True,elec_INC,0.1,3560092,0,199087,10.34,1051.009,0,0,36,36,0.25,0.25,0.5,Uranium,True,False,uranium_source,CO2,True,False,co2_sink_KR,Uranium,True,3.064351108,0
ThermalPower,KWJ_nuclear_power_plant,KWJ,True,Electricity,True,True,False,30,True,True,True,elec_KWJ,0.1,3560092,0,199087,10.34,1051.009,0,0,36,36,0.25,0.25,0.5,Uranium,True,False,uranium_source,CO2,True,False,co2_sink_KR,Uranium,True,3.064351108,0
ThermalPower,DJJ_nuclear_power_plant,DJJ,True,Electricity,True,True,False,30,True,True,True,elec_DJJ,0.1,3560092,0,199087,10.34,1051.009,0,0,36,36,0.25,0.25,0.5,Uranium,True,False,uranium_source,CO2,True,False,co2_sink_KR,Uranium,True,3.064351108,0
ThermalPower,USN_nuclear_power_plant,USN,True,Electricity,True,True,False,30,True,True,True,elec_USN,0.1,3560092,0,199087,10.34,1051.009,0,0,36,36,0.25,0.25,0.5,Uranium,True,False,uranium_source,CO2,True,False,co2_sink_KR,Uranium,True,3.064351108,0
ThermalPower,SJG_nuclear_power_plant,SJG,True,Electricity,True,True,False,30,True,True,True,elec_SJG,0.1,3560092,0,199087,10.34,1051.009,0,0,36,36,0.25,0.25,0.5,Uranium,True,False,uranium_source,CO2,True,False,co2_sink_KR,Uranium,True,3.064351108,0
ThermalPower,GGI_nuclear_power_plant,GGI,True,Electricity,True,True,False,30,True,True,True,elec_GGI,0.1,3560092,0,199087,10.34,1051.009,0,0,36,36,0.25,0.25,0.5,Uranium,True,False,uranium_source,CO2,True,False,co2_sink_KR,Uranium,True,3.064351108,0
ThermalPower,GWN_nuclear_power_plant,GWN,True,Electricity,True,True,False,30,True,True,True,elec_GWN,0.1,3560092,0,199087,10.34,1051.009,0,0,36,36,0.25,0.25,0.5,Uranium,True,False,uranium_source,CO2,True,False,co2_sink_KR,Uranium,True,3.064351108,0
ThermalPower,CNB_nuclear_power_plant,CNB,True,Electricity,True,True,False,30,True,True,True,elec_CNB,0.1,3560092,0,199087,10.34,1051.009,0,0,36,36,0.25,0.25,0.5,Uranium,True,False,uranium_source,CO2,True,False,co2_sink_KR,Uranium,True,3.064351108,0
