Type,id,location,edges--elec_edge--integer_decisions,edges--elec_edge--can_retire,edges--elec_edge--can_expand,edges--elec_edge--uc,edges--elec_edge--unidirectional,edges--elec_edge--commodity,edges--elec_edge--has_capacity,edges--elec_edge--constraints--CapacityConstraint,edges--elec_edge--end_vertex,edges--elec_edge--wacc,edges--elec_edge--investment_cost,edges--elec_edge--existing_capacity,edges--elec_edge--lifetime,edges--elec_edge--fixed_om_cost,edges--elec_edge--variable_om_cost,edges--elec_edge--capacity_size,edges--elec_edge--startup_cost,edges--elec_edge--startup_fuel_consumption,edges--elec_edge--min_up_time,edges--elec_edge--min_down_time,edges--elec_edge--ramp_up_fraction,edges--elec_edge--ramp_down_fraction,edges--elec_edge--min_flow_fraction,edges--fuel_edge--commodity,edges--fuel_edge--unidirectional,edges--fuel_edge--has_capacity,edges--fuel_edge--start_vertex,edges--co2_edge--commodity,edges--co2_edge--unidirectional,edges--co2_edge--has_capacity,edges--co2_edge--end_vertex,edges--co2_captured_edge--commodity,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--has_capacity,edges--co2_captured_edge--end_vertex,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--fuel_consumption,transforms--emission_rate,transforms--capture_rate
ThermalPowerCCS,SEL_naturalgas_ccsavgcf,SEL,False,True,False,True,True,Electricity,True,True,elec_SEL,0.1,2075000.0,0,30,17597,8.58,377,97,0.058614214,4,4,1,1,0.5,NaturalGas,True,False,natgas_source,CO2,True,False,co2_sink_KR,CO2Captured,True,False,co2_captured_KR,NaturalGas,True,2.09809579,0.018104824,0.162943412
ThermalPowerCCS,PUS_naturalgas_ccsavgcf,PUS,False,True,True,True,True,Electricity,True,True,elec_PUS,0.1,2075000.0,0,30,17597,8.58,377,97,0.058614214,4,4,1,1,0.5,NaturalGas,True,False,natgas_source,CO2,True,False,co2_sink_KR,CO2Captured,True,False,co2_captured_KR,NaturalGas,True,2.09809579,0.018104824,0.162943412
ThermalPowerCCS,TAE_naturalgas_ccsavgcf,TAE,False,True,True,True,True,Electricity,True,True,elec_TAE,0.1,2075000.0,0,30,17597,8.58,377,97,0.058614214,4,4,1,1,0.5,NaturalGas,True,False,natgas_source,CO2,True,False,co2_sink_KR,CO2Captured,True,False,co2_captured_KR,NaturalGas,True,2.09809579,0.018104824,0.162943412
ThermalPowerCCS,INC_naturalgas_ccsavgcf,INC,False,True,True,True,True,Electricity,True,True,elec_INC,0.1,2075000.0,0,30,17597,8.58,377,97,0.058614214,4,4,1,1,0.5,NaturalGas,True,False,natgas_source,CO2,True,False,co2_sink_KR,CO2Captured,True,False,co2_captured_KR,NaturalGas,True,2.09809579,0.018104824,0.162943412
ThermalPowerCCS,KWJ_naturalgas_ccsavgcf,KWJ,False,True,True,True,True,Electricity,True,True,elec_KWJ,0.1,2075000.0,0,30,17597,8.58,377,97,0.058614214,4,4,1,1,0.5,NaturalGas,True,False,natgas_source,CO2,True,False,co2_sink_KR,CO2Captured,True,False,co2_captured_KR,NaturalGas,True,2.09809579,0.018104824,0.162943412
ThermalPowerCCS,DJJ_naturalgas_ccsavgcf,DJJ,False,True,True,True,True,Electricity,True,True,elec_DJJ,0.1,2075000.0,0,30,17597,8.58,377,97,0.058614214,4,4,1,1,0.5,NaturalGas,True,False,natgas_source,CO2,True,False,co2_sink_KR,CO2Captured,True,False,co2_captured_KR,NaturalGas,True,2.09809579,0.018104824,0.162943412
ThermalPowerCCS,USN_naturalgas_ccsavgcf,USN,False,True,True,True,True,Electricity,True,True,elec_USN,0.1,2075000.0,0,30,17597,8.58,377,97,0.058614214,4,4,1,1,0.5,NaturalGas,True,False,natgas_source,CO2,True,False,co2_sink_KR,CO2Captured,True,False,co2_captured_KR,NaturalGas,True,2.09809579,0.018104824,0.162943412
ThermalPowerCCS,SJG_naturalgas_ccsavgcf,SJG,False,True,True,True,True,Electricity,True,True,elec_SJG,0.1,2075000.0,0,30,17597,8.58,377,97,0.058614214,4,4,1,1,0.5,NaturalGas,True,False,natgas_source,CO2,True,False,co2_sink_KR,CO2Captured,True,False,co2_captured_KR,NaturalGas,True,2.09809579,0.018104824,0.162943412
ThermalPowerCCS,GGI_naturalgas_ccsavgcf,GGI,False,True,True,True,True,Electricity,True,True,elec_GGI,0.1,2075000.0,0,30,17597,8.58,377,97,0.058614214,4,4,1,1,0.5,NaturalGas,True,False,natgas_source,CO2,True,False,co2_sink_KR,CO2Captured,True,False,co2_captured_KR,NaturalGas,True,2.09809579,0.018104824,0.162943412
ThermalPowerCCS,GWN_naturalgas_ccsavgcf,GWN,False,True,True,True,True,Electricity,True,True,elec_GWN,0.1,2075000.0,0,30,17597,8.58,377,97,0.058614214,4,4,1,1,0.5,NaturalGas,True,False,natgas_source,CO2,True,False,co2_sink_KR,CO2Captured,True,False,co2_captured_KR,NaturalGas,True,2.09809579,0.018104824,0.162943412
