Time_Index,Demand_MW,Demand_MW_25,Demand_MW_30,Demand_MW_35,Demand_heat,Demand_Zero,Demand_MW_GWN,Demand_MW_GGI,Demand_MW_GNA,Demand_MW_GNB,Demand_MW_KWJ,Demand_MW_TAE,Demand_MW_DJJ,Demand_MW_PUS,Demand_MW_SEL,Demand_MW_SJG,Demand_MW_USN,Demand_MW_INC,Demand_MW_JNA,Demand_MW_JNB,Demand_MW_JEJ,Demand_MW_CNA,Demand_MW_CNB,Demand_MW_25_GWN,Demand_MW_25_GGI,Demand_MW_25_GNA,Demand_MW_25_GNB,Demand_MW_25_KWJ,Demand_MW_25_TAE,Demand_MW_25_DJJ,Demand_MW_25_PUS,Demand_MW_25_SEL,Demand_MW_25_SJG,Demand_MW_25_USN,Demand_MW_25_INC,Demand_MW_25_JNA,Demand_MW_25_JNB,Demand_MW_25_JEJ,Demand_MW_25_CNA,Demand_MW_25_CNB,Demand_MW_30_GWN,Demand_MW_30_GGI,Demand_MW_30_GNA,Demand_MW_30_GNB,Demand_MW_30_KWJ,Demand_MW_30_TAE,Demand_MW_30_DJJ,Demand_MW_30_PUS,Demand_MW_30_SEL,Demand_MW_30_SJG,Demand_MW_30_USN,Demand_MW_30_INC,Demand_MW_30_JNA,Demand_MW_30_JNB,Demand_MW_30_JEJ,Demand_MW_30_CNA,Demand_MW_30_CNB,Demand_MW_35_GWN,Demand_MW_35_GGI,Demand_MW_35_GNA,Demand_MW_35_GNB,Demand_MW_35_KWJ,Demand_MW_35_TAE,Demand_MW_35_DJJ,Demand_MW_35_PUS,Demand_MW_35_SEL,Demand_MW_35_SJG,Demand_MW_35_USN,Demand_MW_35_INC,Demand_MW_35_JNA,Demand_MW_35_JNB,Demand_MW_35_JEJ,Demand_MW_35_CNA,Demand_MW_35_CNB,Demand_heat_SEL,Demand_heat_25_SEL,Demand_heat_30_SEL,Demand_heat_35_SEL,Demand_heat_PUS,Demand_heat_25_PUS,Demand_heat_30_PUS,Demand_heat_35_PUS,Demand_heat_TAE,Demand_heat_25_TAE,Demand_heat_30_TAE,Demand_heat_35_TAE,Demand_heat_INC,Demand_heat_25_INC,Demand_heat_30_INC,Demand_heat_35_INC,Demand_heat_KWJ,Demand_heat_25_KWJ,Demand_heat_30_KWJ,Demand_heat_35_KWJ,Demand_heat_USN,Demand_heat_25_USN,Demand_heat_30_USN,Demand_heat_35_USN,Demand_heat_SJG,Demand_heat_25_SJG,Demand_heat_30_SJG,Demand_heat_35_SJG,Demand_heat_GGI,Demand_heat_25_GGI,Demand_heat_30_GGI,Demand_heat_35_GGI,Demand_heat_GWN,Demand_heat_25_GWN,Demand_heat_30_GWN,Demand_heat_35_GWN,Demand_heat_CNA,Demand_heat_25_CNA,Demand_heat_30_CNA,Demand_heat_35_CNA,Demand_heat_CNB,Demand_heat_25_CNB,Demand_heat_30_CNB,Demand_heat_35_CNB,Demand_heat_DJJ,Demand_heat_25_DJJ,Demand_heat_30_DJJ,Demand_heat_35_DJJ,Demand_heat_JNB,Demand_heat_25_JNB,Demand_heat_30_JNB,Demand_heat_35_JNB,Demand_heat_JNA,Demand_heat_25_JNA,Demand_heat_30_JNA,Demand_heat_35_JNA,Demand_heat_GNB,Demand_heat_25_GNB,Demand_heat_30_GNB,Demand_heat_35_GNB,Demand_heat_GNA,Demand_heat_25_GNA,Demand_heat_30_GNA,Demand_heat_35_GNA,Demand_heat_JEJ,Demand_heat_25_JEJ,Demand_heat_30_JEJ,Demand_heat_35_JEJ
1,59450.77,63030.83,66213.68,68647.81,8700,0,2033.51,16211.44,4253.87,4965.8,1025.28,1866.14,1132.15,2357.89,5688.8,458.61,3367.17,3025.59,3703.25,2474.52,692.52,5638.78,3384.51,2155.96,17187.68,4510.04,5264.84,1087.02,1978.52,1200.32,2499.87,6031.37,486.23,3569.94,3207.79,3926.26,2623.53,734.23,5978.34,3588.32,2264.83,18055.6,4737.78,5530.7,1141.91,2078.43,1260.94,2626.11,6335.94,510.78,3750.21,3369.77,4124.52,2756.02,771.3,6280.23,3769.52,2348.09,18719.35,4911.95,5734.01,1183.89,2154.83,1307.29,2722.65,6568.86,529.56,3888.07,3493.65,4276.15,2857.33,799.66,6511.1,3908.1,1778.35,1778.35,1778.35,1778.35,497.28,497.28,497.28,497.28,230.58,230.58,230.58,230.58,465.3,465.3,465.3,465.3,203.65,203.65,203.65,203.65,249.26,249.26,249.26,249.26,177.48,177.48,177.48,177.48,2349.17,2349.17,2349.17,2349.17,226.61,226.61,226.61,226.61,344.75,344.75,344.75,344.75,327,327,327,327,160.54,160.54,160.54,160.54,302.54,302.54,302.54,302.54,255.9,255.9,255.9,255.9,514.08,514.08,514.08,514.08,515.17,515.17,515.17,515.17,102.33,102.33,102.33,102.33
2,57274.78,60723.81,63790.16,66135.2,8700,0,1959.95,15625.06,4100.01,4786.19,988.19,1798.64,1091.2,2272.6,5483.03,442.02,3245.38,2916.15,3569.3,2385.02,667.48,5434.82,3262.09,2077.98,16565.99,4346.91,5074.41,1047.7,1906.95,1156.91,2409.45,5813.21,468.64,3440.81,3091.76,3784.24,2528.64,707.67,5762.1,3458.53,2182.91,17402.52,4566.41,5330.65,1100.61,2003.25,1215.33,2531.12,6106.76,492.3,3614.56,3247.89,3975.33,2656.33,743.4,6053.07,3633.18,2263.16,18042.26,4734.28,5526.61,1141.07,2076.89,1260.0,2624.17,6331.26,510.4,3747.44,3367.28,4121.47,2753.98,770.73,6275.59,3766.74,1778.35,1778.35,1778.35,1778.35,497.28,497.28,497.28,497.28,230.58,230.58,230.58,230.58,465.3,465.3,465.3,465.3,203.65,203.65,203.65,203.65,249.26,249.26,249.26,249.26,177.48,177.48,177.48,177.48,2349.17,2349.17,2349.17,2349.17,226.61,226.61,226.61,226.61,344.75,344.75,344.75,344.75,327,327,327,327,160.54,160.54,160.54,160.54,302.54,302.54,302.54,302.54,255.9,255.9,255.9,255.9,514.08,514.08,514.08,514.08,515.17,515.17,515.17,515.17,102.33,102.33,102.33,102.33
3,55919.7,59287.13,62280.94,64570.49,8700,0,1907.1,15203.69,3989.44,4657.11,961.54,1750.13,1061.77,2211.31,5335.17,430.1,3157.86,2837.51,3473.05,2320.7,649.47,5288.26,3174.12,2021.94,16119.24,4229.68,4937.56,1019.45,1855.53,1125.71,2344.47,5656.44,456.0,3348.02,3008.38,3682.19,2460.45,688.59,5606.71,3365.26,2124.04,16933.21,4443.26,5186.89,1070.93,1949.22,1182.55,2462.86,5942.08,479.03,3517.08,3160.3,3868.13,2584.69,723.36,5889.83,3535.2,2202.13,17555.7,4606.61,5377.57,1110.29,2020.88,1226.03,2553.4,6160.52,496.64,3646.38,3276.47,4010.33,2679.71,749.95,6106.35,3665.16,1778.35,1778.35,1778.35,1778.35,497.28,497.28,497.28,497.28,230.58,230.58,230.58,230.58,465.3,465.3,465.3,465.3,203.65,203.65,203.65,203.65,249.26,249.26,249.26,249.26,177.48,177.48,177.48,177.48,2349.17,2349.17,2349.17,2349.17,226.61,226.61,226.61,226.61,344.75,344.75,344.75,344.75,327,327,327,327,160.54,160.54,160.54,160.54,302.54,302.54,302.54,302.54,255.9,255.9,255.9,255.9,514.08,514.08,514.08,514.08,515.17,515.17,515.17,515.17,102.33,102.33,102.33,102.33
4,55237.85,58564.21,61521.52,63783.15,8700,0,1875.29,14950.06,3922.89,4579.43,945.5,1720.94,1044.06,2174.42,5246.17,422.92,3105.18,2790.18,3415.11,2281.98,638.64,5200.04,3121.17,1988.21,15850.34,4159.12,4855.19,1002.44,1824.57,1106.93,2305.36,5562.09,448.39,3292.17,2958.2,3620.76,2419.4,677.1,5513.18,3309.12,2088.61,16650.73,4369.14,5100.36,1053.06,1916.71,1162.83,2421.78,5842.95,471.04,3458.41,3107.58,3803.6,2541.58,711.29,5791.58,3476.22,2165.39,17262.84,4529.76,5287.86,1091.77,1987.17,1205.57,2510.81,6057.75,488.35,3585.55,3221.82,3943.43,2635.01,737.44,6004.48,3604.02,1778.35,1778.35,1778.35,1778.35,497.28,497.28,497.28,497.28,230.58,230.58,230.58,230.58,465.3,465.3,465.3,465.3,203.65,203.65,203.65,203.65,249.26,249.26,249.26,249.26,177.48,177.48,177.48,177.48,2349.17,2349.17,2349.17,2349.17,226.61,226.61,226.61,226.61,344.75,344.75,344.75,344.75,327,327,327,327,160.54,160.54,160.54,160.54,302.54,302.54,302.54,302.54,255.9,255.9,255.9,255.9,514.08,514.08,514.08,514.08,515.17,515.17,515.17,515.17,102.33,102.33,102.33,102.33
5,55160.17,58481.86,61435.0,63693.46,8700,0,1867.43,14887.41,3906.45,4560.23,941.54,1713.73,1039.68,2165.31,5224.18,421.15,3092.16,2778.48,3400.8,2272.42,635.96,5178.24,3108.09,1979.88,15783.91,4141.69,4834.84,998.24,1816.93,1102.29,2295.7,5538.77,446.51,3278.37,2945.8,3605.59,2409.26,674.26,5490.07,3295.25,2079.86,16580.95,4350.83,5078.99,1048.65,1908.67,1157.95,2411.63,5818.46,469.06,3443.92,3094.55,3787.66,2530.92,708.31,5767.3,3461.65,2156.32,17190.49,4510.78,5265.7,1087.2,1978.84,1200.52,2500.28,6032.36,486.3,3570.52,3208.31,3926.9,2623.96,734.35,5979.32,3588.91,1778.35,1778.35,1778.35,1778.35,497.28,497.28,497.28,497.28,230.58,230.58,230.58,230.58,465.3,465.3,465.3,465.3,203.65,203.65,203.65,203.65,249.26,249.26,249.26,249.26,177.48,177.48,177.48,177.48,2349.17,2349.17,2349.17,2349.17,226.61,226.61,226.61,226.61,344.75,344.75,344.75,344.75,327,327,327,327,160.54,160.54,160.54,160.54,302.54,302.54,302.54,302.54,255.9,255.9,255.9,255.9,514.08,514.08,514.08,514.08,515.17,515.17,515.17,515.17,102.33,102.33,102.33,102.33
6,55692.42,59046.16,62027.8,64308.04,8700,0,1876.76,14961.8,3925.97,4583.02,946.25,1722.29,1044.88,2176.13,5250.28,423.26,3107.62,2792.37,3417.79,2283.78,639.14,5204.12,3123.62,1989.77,15862.78,4162.38,4859.0,1003.23,1826.0,1107.8,2307.17,5566.45,448.74,3294.75,2960.52,3623.61,2421.3,677.63,5517.51,3311.72,2090.25,16663.8,4372.57,5104.37,1053.89,1918.21,1163.74,2423.68,5847.54,471.41,3461.13,3110.02,3806.59,2543.57,711.85,5796.12,3478.95,2167.09,17276.39,4533.31,5292.01,1092.63,1988.73,1206.52,2512.78,6062.5,488.73,3588.36,3224.35,3946.52,2637.08,738.02,6009.2,3606.84,1778.35,1778.35,1778.35,1778.35,497.28,497.28,497.28,497.28,230.58,230.58,230.58,230.58,465.3,465.3,465.3,465.3,203.65,203.65,203.65,203.65,249.26,249.26,249.26,249.26,177.48,177.48,177.48,177.48,2349.17,2349.17,2349.17,2349.17,226.61,226.61,226.61,226.61,344.75,344.75,344.75,344.75,327,327,327,327,160.54,160.54,160.54,160.54,302.54,302.54,302.54,302.54,255.9,255.9,255.9,255.9,514.08,514.08,514.08,514.08,515.17,515.17,515.17,515.17,102.33,102.33,102.33,102.33
7,56463.46,59863.63,62886.55,65198.37,8700,0,1884.8,15025.95,3942.8,4602.67,950.3,1729.67,1049.36,2185.46,5272.8,425.07,3120.94,2804.34,3432.45,2293.57,641.88,5226.43,3137.01,1998.31,15930.8,4180.23,4879.84,1007.53,1833.83,1112.55,2317.07,5590.32,450.67,3308.88,2973.21,3639.14,2431.68,680.54,5541.16,3325.92,2099.21,16735.25,4391.32,5126.25,1058.41,1926.44,1168.73,2434.07,5872.61,473.43,3475.97,3123.35,3822.91,2554.48,714.9,5820.98,3493.87,2176.38,17350.47,4552.75,5314.7,1097.31,1997.26,1211.69,2523.55,6088.5,490.83,3603.75,3238.17,3963.45,2648.38,741.18,6034.96,3622.31,1778.35,1778.35,1778.35,1778.35,497.28,497.28,497.28,497.28,230.58,230.58,230.58,230.58,465.3,465.3,465.3,465.3,203.65,203.65,203.65,203.65,249.26,249.26,249.26,249.26,177.48,177.48,177.48,177.48,2349.17,2349.17,2349.17,2349.17,226.61,226.61,226.61,226.61,344.75,344.75,344.75,344.75,327,327,327,327,160.54,160.54,160.54,160.54,302.54,302.54,302.54,302.54,255.9,255.9,255.9,255.9,514.08,514.08,514.08,514.08,515.17,515.17,515.17,515.17,102.33,102.33,102.33,102.33
8,56939.13,60367.94,63416.33,65747.62,8700,0,1878.2,14973.28,3928.98,4586.54,946.97,1723.61,1045.68,2177.8,5254.31,423.58,3110.0,2794.51,3420.41,2285.53,639.63,5208.11,3126.02,1991.3,15874.95,4165.58,4862.73,1004.0,1827.41,1108.65,2308.94,5570.72,449.09,3297.28,2962.79,3626.39,2423.16,678.15,5521.74,3314.26,2091.85,16676.59,4375.93,5108.29,1054.7,1919.68,1164.63,2425.54,5852.03,471.77,3463.78,3112.4,3809.51,2545.52,712.39,5800.57,3481.62,2168.75,17289.65,4536.79,5296.07,1093.47,1990.25,1207.45,2514.71,6067.16,489.11,3591.12,3226.82,3949.55,2639.1,738.58,6013.81,3609.61,1778.35,1778.35,1778.35,1778.35,497.28,497.28,497.28,497.28,230.58,230.58,230.58,230.58,465.3,465.3,465.3,465.3,203.65,203.65,203.65,203.65,249.26,249.26,249.26,249.26,177.48,177.48,177.48,177.48,2349.17,2349.17,2349.17,2349.17,226.61,226.61,226.61,226.61,344.75,344.75,344.75,344.75,327,327,327,327,160.54,160.54,160.54,160.54,302.54,302.54,302.54,302.54,255.9,255.9,255.9,255.9,514.08,514.08,514.08,514.08,515.17,515.17,515.17,515.17,102.33,102.33,102.33,102.33
9,56997.63,60429.96,63481.48,65815.17,8700,0,1867.05,14884.41,3905.66,4559.31,941.35,1713.38,1039.47,2164.87,5223.13,421.07,3091.54,2777.92,3400.11,2271.96,635.84,5177.2,3107.46,1979.48,15780.73,4140.86,4833.87,998.04,1816.56,1102.07,2295.24,5537.66,446.42,3277.71,2945.21,3604.86,2408.78,674.13,5488.97,3294.59,2079.44,16577.61,4349.96,5077.97,1048.44,1908.29,1157.72,2411.14,5817.29,468.97,3443.23,3093.93,3786.9,2530.41,708.17,5766.14,3460.96,2155.88,17187.03,4509.87,5264.64,1086.98,1978.44,1200.28,2499.78,6031.15,486.21,3569.8,3207.67,3926.11,2623.44,734.2,5978.12,3588.19,1778.35,1778.35,1778.35,1778.35,497.28,497.28,497.28,497.28,230.58,230.58,230.58,230.58,465.3,465.3,465.3,465.3,203.65,203.65,203.65,203.65,249.26,249.26,249.26,249.26,177.48,177.48,177.48,177.48,2349.17,2349.17,2349.17,2349.17,226.61,226.61,226.61,226.61,344.75,344.75,344.75,344.75,327,327,327,327,160.54,160.54,160.54,160.54,302.54,302.54,302.54,302.54,255.9,255.9,255.9,255.9,514.08,514.08,514.08,514.08,515.17,515.17,515.17,515.17,102.33,102.33,102.33,102.33
10,54505.17,57787.41,60705.49,62937.12,8700,0,1813.13,14454.55,3792.87,4427.64,914.16,1663.9,1009.45,2102.35,5072.28,408.91,3002.26,2697.7,3301.92,2206.35,617.47,5027.68,3017.72,1922.31,15324.99,4021.27,4694.27,969.21,1764.1,1070.24,2228.95,5377.73,433.53,3183.05,2860.15,3500.76,2339.21,654.66,5330.45,3199.44,2019.38,16098.85,4224.33,4931.32,1018.16,1853.18,1124.28,2341.51,5649.29,455.42,3343.79,3004.58,3677.53,2457.34,687.71,5599.62,3361.01,2093.62,16690.67,4379.62,5112.6,1055.59,1921.3,1165.61,2427.59,5856.97,472.17,3466.71,3115.03,3812.72,2547.67,713.0,5805.47,3484.56,1778.35,1778.35,1778.35,1778.35,497.28,497.28,497.28,497.28,230.58,230.58,230.58,230.58,465.3,465.3,465.3,465.3,203.65,203.65,203.65,203.65,249.26,249.26,249.26,249.26,177.48,177.48,177.48,177.48,2349.17,2349.17,2349.17,2349.17,226.61,226.61,226.61,226.61,344.75,344.75,344.75,344.75,327,327,327,327,160.54,160.54,160.54,160.54,302.54,302.54,302.54,302.54,255.9,255.9,255.9,255.9,514.08,514.08,514.08,514.08,515.17,515.17,515.17,515.17,102.33,102.33,102.33,102.33
