Type,id,location,storage--commodity,storage--can_expand,storage--can_retire,storage--lifetime,storage--constraints--StorageCapacityConstraint,storage--constraints--StorageSymmetricCapacityConstraint,storage--constraints--StorageMinDurationConstraint,storage--constraints--StorageMaxDurationConstraint,storage--constraints--BalanceConstraint,storage--existing_capacity,storage--fixed_om_cost,storage--investment_cost,storage--max_duration,storage--min_duration,edges--discharge_edge--commodity,edges--discharge_edge--unidirectional,edges--discharge_edge--has_capacity,edges--discharge_edge--can_expand,edges--discharge_edge--can_retire,edges--discharge_edge--lifetime,edges--discharge_edge--constraints--CapacityConstraint,edges--discharge_edge--constraints--StorageDischargeLimitConstraint,edges--discharge_edge--end_vertex,edges--discharge_edge--existing_capacity,edges--discharge_edge--fixed_om_cost,edges--discharge_edge--investment_cost,edges--discharge_edge--variable_om_cost,edges--discharge_edge--efficiency,edges--charge_edge--commodity,edges--charge_edge--unidirectional,edges--charge_edge--has_capacity,edges--charge_edge--start_vertex,edges--charge_edge--variable_om_cost,edges--charge_edge--efficiency
Battery,battery_SEL,SEL,Electricity,TRUE,FALSE,30,TRUE,TRUE,TRUE,TRUE,TRUE,0,9477.587766,1701300.886,10,1,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,elec_SEL,0,15075.76444,2688600.407,1,0.92,Electricity,TRUE,FALSE,elec_SEL,1,0.92
Battery,battery_PUS,PUS,Electricity,TRUE,FALSE,30,TRUE,TRUE,TRUE,TRUE,TRUE,0,9477.587766,1701300.886,10,1,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,elec_PUS,0,15075.76444,2688600.407,1,0.92,Electricity,TRUE,FALSE,elec_PUS,1,0.92
Battery,battery_TAE,TAE,Electricity,TRUE,FALSE,30,TRUE,TRUE,TRUE,TRUE,TRUE,0,9477.587766,1701300.886,10,1,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,elec_TAE,0,15075.76444,2688600.407,1,0.92,Electricity,TRUE,FALSE,elec_TAE,1,0.92
Battery,battery_INC,INC,Electricity,TRUE,FALSE,30,TRUE,TRUE,TRUE,TRUE,TRUE,0,9477.587766,1701300.886,10,1,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,elec_INC,0,15075.76444,2688600.407,1,0.92,Electricity,TRUE,FALSE,elec_INC,1,0.92
Battery,battery_KWJ,KWJ,Electricity,TRUE,FALSE,30,TRUE,TRUE,TRUE,TRUE,TRUE,0,9477.587766,1701300.886,10,1,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,elec_KWJ,0,15075.76444,2688600.407,1,0.92,Electricity,TRUE,FALSE,elec_KWJ,1,0.92
Battery,battery_DJJ,DJJ,Electricity,TRUE,FALSE,30,TRUE,TRUE,TRUE,TRUE,TRUE,0,9477.587766,1701300.886,10,1,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,elec_DJJ,0,15075.76444,2688600.407,1,0.92,Electricity,TRUE,FALSE,elec_DJJ,1,0.92
Battery,battery_USN,USN,Electricity,TRUE,FALSE,30,TRUE,TRUE,TRUE,TRUE,TRUE,0,9477.587766,1701300.886,10,1,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,elec_USN,0,15075.76444,2688600.407,1,0.92,Electricity,TRUE,FALSE,elec_USN,1,0.92
Battery,battery_SJG,SJG,Electricity,TRUE,FALSE,30,TRUE,TRUE,TRUE,TRUE,TRUE,0,9477.587766,1701300.886,10,1,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,elec_SJG,0,15075.76444,2688600.407,1,0.92,Electricity,TRUE,FALSE,elec_SJG,1,0.92
Battery,battery_GGI,GGI,Electricity,TRUE,FALSE,30,TRUE,TRUE,TRUE,TRUE,TRUE,0,9477.587766,1701300.886,10,1,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,elec_GGI,0,15075.76444,2688600.407,1,0.92,Electricity,TRUE,FALSE,elec_GGI,1,0.92
Battery,battery_GWN,GWN,Electricity,TRUE,FALSE,30,TRUE,TRUE,TRUE,TRUE,TRUE,0,9477.587766,1701300.886,10,1,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,elec_GWN,0,15075.76444,2688600.407,1,0.92,Electricity,TRUE,FALSE,elec_GWN,1,0.92
Battery,battery_CNB,CNB,Electricity,TRUE,FALSE,30,TRUE,TRUE,TRUE,TRUE,TRUE,0,9477.587766,1701300.886,10,1,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,elec_CNB,0,15075.76444,2688600.407,1,0.92,Electricity,TRUE,FALSE,elec_CNB,1,0.92
Battery,battery_CNA,CNA,Electricity,TRUE,FALSE,30,TRUE,TRUE,TRUE,TRUE,TRUE,0,9477.587766,1701300.886,10,1,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,elec_CNA,0,15075.76444,2688600.407,1,0.92,Electricity,TRUE,FALSE,elec_CNA,1,0.92
Battery,battery_JNB,JNB,Electricity,TRUE,FALSE,30,TRUE,TRUE,TRUE,TRUE,TRUE,0,9477.587766,1701300.886,10,1,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,elec_JNB,0,15075.76444,2688600.407,1,0.92,Electricity,TRUE,FALSE,elec_JNB,1,0.92
