Type,id,location,storage--commodity,storage--can_expand,storage--can_retire,storage--lifetime,storage--capital_recovery_period,storage--wacc,storage--loss_fraction,storage--constraints--StorageCapacityConstraint,storage--constraints--StorageSymmetricCapacityConstraint,storage--constraints--StorageMinDurationConstraint,storage--constraints--StorageMaxDurationConstraint,storage--constraints--BalanceConstraint,storage--existing_capacity,storage--fixed_om_cost,storage--investment_cost,storage--max_duration,storage--min_duration,storage--charge_discharge_ratio,edges--discharge_edge--commodity,edges--discharge_edge--unidirectional,edges--discharge_edge--has_capacity,edges--discharge_edge--can_expand,edges--discharge_edge--can_retire,edges--discharge_edge--lifetime,edges--discharge_edge--constraints--CapacityConstraint,edges--discharge_edge--constraints--StorageDischargeLimitConstraint,edges--discharge_edge--end_vertex,edges--discharge_edge--existing_capacity,edges--discharge_edge--fixed_om_cost,edges--discharge_edge--investment_cost,edges--discharge_edge--variable_om_cost,edges--discharge_edge--efficiency,edges--charge_edge--commodity,edges--charge_edge--unidirectional,edges--charge_edge--has_capacity,edges--charge_edge--start_vertex,edges--charge_edge--variable_om_cost,edges--charge_edge--efficiency
Battery,battery_SEL,SEL,Electricity,TRUE,TRUE,15,15,0.08,0,TRUE,TRUE,TRUE,TRUE,TRUE,0,2153,53825,10,2,1,Electricity,TRUE,TRUE,TRUE,FALSE,15,TRUE,TRUE,elec_SEL,0,1606,40158,0,0.95,Electricity,TRUE,TRUE,elec_SEL,1,0.95
Battery,battery_PUS,PUS,Electricity,TRUE,TRUE,15,15,0.08,0,TRUE,TRUE,TRUE,TRUE,TRUE,0,2153,53825,10,2,1,Electricity,TRUE,TRUE,TRUE,FALSE,15,TRUE,TRUE,elec_PUS,0,1606,40158,0,0.95,Electricity,TRUE,TRUE,elec_PUS,1,0.95
Battery,battery_TAE,TAE,Electricity,TRUE,TRUE,15,15,0.08,0,TRUE,TRUE,TRUE,TRUE,TRUE,0,2153,53825,10,2,1,Electricity,TRUE,TRUE,TRUE,FALSE,15,TRUE,TRUE,elec_TAE,0,1606,40158,0,0.95,Electricity,TRUE,TRUE,elec_TAE,1,0.95
Battery,battery_INC,INC,Electricity,TRUE,TRUE,15,15,0.08,0,TRUE,TRUE,TRUE,TRUE,TRUE,0,2153,53825,10,2,1,Electricity,TRUE,TRUE,TRUE,FALSE,15,TRUE,TRUE,elec_INC,0,1606,40158,0,0.95,Electricity,TRUE,TRUE,elec_INC,1,0.95
Battery,battery_KWJ,KWJ,Electricity,TRUE,TRUE,15,15,0.08,0,TRUE,TRUE,TRUE,TRUE,TRUE,0,2153,53825,10,2,1,Electricity,TRUE,TRUE,TRUE,FALSE,15,TRUE,TRUE,elec_KWJ,0,1606,40158,0,0.95,Electricity,TRUE,TRUE,elec_KWJ,1,0.95
Battery,battery_DJJ,DJJ,Electricity,TRUE,TRUE,15,15,0.08,0,TRUE,TRUE,TRUE,TRUE,TRUE,0,2153,53825,10,2,1,Electricity,TRUE,TRUE,TRUE,FALSE,15,TRUE,TRUE,elec_DJJ,0,1606,40158,0,0.95,Electricity,TRUE,TRUE,elec_DJJ,1,0.95
Battery,battery_USN,USN,Electricity,TRUE,TRUE,15,15,0.08,0,TRUE,TRUE,TRUE,TRUE,TRUE,0,2153,53825,10,2,1,Electricity,TRUE,TRUE,TRUE,FALSE,15,TRUE,TRUE,elec_USN,0,1606,40158,0,0.95,Electricity,TRUE,TRUE,elec_USN,1,0.95
Battery,battery_SJG,SJG,Electricity,TRUE,TRUE,15,15,0.08,0,TRUE,TRUE,TRUE,TRUE,TRUE,0,2153,53825,10,2,1,Electricity,TRUE,TRUE,TRUE,FALSE,15,TRUE,TRUE,elec_SJG,0,1606,40158,0,0.95,Electricity,TRUE,TRUE,elec_SJG,1,0.95
Battery,battery_GGI,GGI,Electricity,TRUE,TRUE,15,15,0.08,0,TRUE,TRUE,TRUE,TRUE,TRUE,0,2153,53825,10,2,1,Electricity,TRUE,TRUE,TRUE,FALSE,15,TRUE,TRUE,elec_GGI,0,1606,40158,0,0.95,Electricity,TRUE,TRUE,elec_GGI,1,0.95
Battery,battery_GWN,GWN,Electricity,TRUE,TRUE,15,15,0.08,0,TRUE,TRUE,TRUE,TRUE,TRUE,0,2153,53825,10,2,1,Electricity,TRUE,TRUE,TRUE,FALSE,15,TRUE,TRUE,elec_GWN,0,1606,40158,0,0.95,Electricity,TRUE,TRUE,elec_GWN,1,0.95
Battery,battery_CNB,CNB,Electricity,TRUE,TRUE,15,15,0.08,0,TRUE,TRUE,TRUE,TRUE,TRUE,0,2153,53825,10,2,1,Electricity,TRUE,TRUE,TRUE,FALSE,15,TRUE,TRUE,elec_CNB,0,1606,40158,0,0.95,Electricity,TRUE,TRUE,elec_CNB,1,0.95
Battery,battery_CNA,CNA,Electricity,TRUE,TRUE,15,15,0.08,0,TRUE,TRUE,TRUE,TRUE,TRUE,0,2153,53825,10,2,1,Electricity,TRUE,TRUE,TRUE,FALSE,15,TRUE,TRUE,elec_CNA,0,1606,40158,0,0.95,Electricity,TRUE,TRUE,elec_CNA,1,0.95
Battery,battery_JNB,JNB,Electricity,TRUE,TRUE,15,15,0.08,0,TRUE,TRUE,TRUE,TRUE,TRUE,0,2153,53825,10,2,1,Electricity,TRUE,TRUE,TRUE,FALSE,15,TRUE,TRUE,elec_JNB,0,1606,40158,0,0.95,Electricity,TRUE,TRUE,elec_JNB,1,0.95
Battery,battery_JNA,JNA,Electricity,TRUE,TRUE,15,15,0.08,0,TRUE,TRUE,TRUE,TRUE,TRUE,0,2153,53825,10,2,1,Electricity,TRUE,TRUE,TRUE,FALSE,15,TRUE,TRUE,elec_JNA,0,1606,40158,0,0.95,Electricity,TRUE,TRUE,elec_JNA,1,0.95
Battery,battery_GNB,GNB,Electricity,TRUE,TRUE,15,15,0.08,0,TRUE,TRUE,TRUE,TRUE,TRUE,0,2153,53825,10,2,1,Electricity,TRUE,TRUE,TRUE,FALSE,15,TRUE,TRUE,elec_GNB,0,1606,40158,0,0.95,Electricity,TRUE,TRUE,elec_GNB,1,0.95
Battery,battery_GNA,GNA,Electricity,TRUE,TRUE,15,15,0.08,0,TRUE,TRUE,TRUE,TRUE,TRUE,0,2153,53825,10,2,1,Electricity,TRUE,TRUE,TRUE,FALSE,15,TRUE,TRUE,elec_GNA,0,1606,40158,0,0.95,Electricity,TRUE,TRUE,elec_GNA,1,0.95
Battery,battery_JEJ,JEJ,Electricity,TRUE,TRUE,15,15,0.08,0,TRUE,TRUE,TRUE,TRUE,TRUE,0,2153,53825,10,2,1,Electricity,TRUE,TRUE,TRUE,FALSE,15,TRUE,TRUE,elec_JEJ,0,1606,40158,0,0.95,Electricity,TRUE,TRUE,elec_JEJ,1,0.95
