Time_Index,KR_nuclear,KR_utilitypv,onwind,offwind-ac,offwind-dc,availability_one,SEL_solar,SEL_onwind,SEL_offwind-dc,PUS_solar,PUS_onwind,PUS_offwind-dc,TAE_solar,TAE_onwind,TAE_offwind-dc,INC_solar,INC_onwind,INC_offwind-dc,KWJ_solar,KWJ_onwind,KWJ_offwind-dc,DJJ_solar,DJJ_onwind,DJJ_offwind-dc,USN_solar,USN_onwind,USN_offwind-dc,SJG_solar,SJG_onwind,SJG_offwind-dc,GGI_solar,GGI_onwind,GGI_offwind-dc,GWN_solar,GWN_onwind,GWN_offwind-dc,CNB_solar,CNB_onwind,CNB_offwind-dc,CNA_solar,CNA_onwind,CNA_offwind-dc,JNB_solar,JNB_onwind,JNB_offwind-dc,JNA_solar,JNA_onwind,JNA_offwind-dc,GNB_solar,GNB_onwind,GNB_offwind-dc,GNA_solar,GNA_onwind,GNA_offwind-dc,JEJ_solar,JEJ_onwind,JEJ_offwind-dc
1,0.85,0,0.080424789,0.273421735,0.325173447,1,0.132427111,0,0,0.18031869,0.022398327,0,0.175524356,0.038641862,0.8855,0.111193673,0.191310621,0.225661225,0.069401764,0,0,0.131049375,0,0,0.171699433,0.033394977,0,0.12080245,0,0,0.123833242,0,0,0.166958504,0.036439371,0,0.149070883,0,0,0.077916593,0.018699909,0.314758303,0.081791959,0.010804075,0,0.072642447,0.041730102,0.328966947,0.175524356,0.038641862,0.8855,0.170976634,0,0.045290031,0.014772869,0.230103506,0.188536131
2,0.85,0,0.11164736,0.350075541,0.387742295,1,0.317497792,0,0,0.376995047,0.012146159,0,0.370799652,0.059167135,0.8855,0.286013288,0.165563266,0.204165249,0.205109248,0,0,0.268265274,0,0,0.375948187,0.024550778,0,0.261230236,0,0,0.302085111,0,0,0.369751037,0.059424962,0,0.31355589,0,0,0.215640423,0.011830663,0.322163915,0.22521418,0,0,0.183708615,0.052501554,0.36970409,0.370799652,0.059167135,0.8855,0.367818815,0,0.063605189,0.104871004,0.284181738,0.169942087
3,0.85,0,0.134419107,0.409587874,0.438982983,1,0.480683688,0,0,0.521855751,0.052245648,0,0.482961089,0.109703064,0.8855,0.422203269,0.100296451,0.118757432,0.326702525,0,0,0.398993514,0,0,0.516418222,0.056942799,0,0.409697204,0,0,0.466522818,0.013565217,0,0.510955668,0.181396797,0,0.470415261,0,0,0.336385906,0.01011251,0.325225013,0.317732951,0.01119258,0,0.292866059,0.056814822,0.359479673,0.482961089,0.109703064,0.8855,0.496799284,0.016302342,0.141607238,0.13307848,0.214230453,0.151525761
4,0.85,0,0.153082281,0.445966596,0.474444456,1,0.569212678,0,0,0.598593534,0.141864304,0,0.547858192,0.168262975,0.8855,0.498019926,0.061295444,0.066866498,0.425721401,0.0116893,0,0.332344391,0.01052436,0,0.593810994,0.12620958,0,0.339875895,0,0,0.509246887,0.040475094,0,0.596272328,0.265850557,0,0.467760824,0.034318788,0,0.308329831,0.014775587,0.321834438,0.361674845,0.042179495,0,0.380908666,0.07530385,0.345579491,0.547858192,0.168262975,0.8855,0.574849241,0.072506088,0.186951703,0.117211937,0.152862382,0.145480001
5,0.85,0,0.170391148,0.467136775,0.473490109,1,0.505263964,0.017429411,0,0.585568458,0.232831811,0,0.494657552,0.257163542,0.885374857,0.456311456,0.035237606,0.044980123,0.463153105,0.039747877,0,0.27335102,0.056632182,0,0.616511194,0.179378906,0,0.289826996,0,0,0.483154157,0.094446084,0,0.623628667,0.359980016,0,0.408459849,0.090294931,0,0.318740793,0.025912307,0.356679869,0.32313604,0.075987983,0,0.402931879,0.124282629,0.332028791,0.494657552,0.257163542,0.885374857,0.475010652,0.129527277,0.272930986,0.141218634,0.135525492,0.145985973
6,0.85,0,0.171788859,0.441572582,0.44174437,1,0.440121924,0.068921731,0,0.420151537,0.276493857,0,0.347767186,0.355873187,0.852830519,0.42312804,0.029376474,0.035871963,0.405122007,0.094120156,0,0.227473081,0.087634102,0,0.450082069,0.243646797,0,0.267276481,0.034169024,0,0.420797345,0.197039771,0,0.581637302,0.453033843,0,0.371658427,0.133191735,0,0.281943389,0.062944473,0.400730305,0.343912376,0.117427132,0,0.351687089,0.208949138,0.334642281,0.347767186,0.355873187,0.852830519,0.368767011,0.180184603,0.363576497,0.153980259,0.148037692,0.137139082
7,0.85,0,0.125759035,0.317021022,0.379189987,1,0.458485804,0.083505166,0,0.145866177,0.287418999,0,0.225696588,0.416823918,0.795315642,0.474011622,0.033070433,0.031487849,0.356371459,0.152214586,0,0.206088607,0.098975655,0,0.174508098,0.239473513,0,0.167891197,0.04936749,0,0.370957027,0.197519927,0,0.487263379,0.471870079,0,0.225769279,0.160152769,0,0.229586812,0.125283993,0.389638353,0.339142503,0.155547562,0,0.294730428,0.264590329,0.341336109,0.225696588,0.416823918,0.795315642,0.220352167,0.213311054,0.477787596,0.128543533,0.144067236,0.126068082
8,0.85,0.149781449,0.051879803,0.094364542,0.090938673,1,0.227451975,0.086309768,0,0.153941908,0.274203063,0,0.14581756,0.360496429,0.702171071,0.220564571,0.037021838,0.029899305,0.248362675,0.113973243,0,0.11446368,0.108948228,0,0.206348265,0.222624927,0,0.11769068,0.049170438,0,0.210604789,0.172494747,0,0.319862291,0.458670412,0,0.157381024,0.155658966,0,0.157977618,0.155324529,0.341649847,0.219846383,0.166646177,0,0.207123767,0.229630653,0.335878328,0.14581756,0.360496429,0.702171071,0.149708173,0.203036794,0.519720378,0.106616724,0.131037682,0.120588527
9,0.85,0.336078051,0.067152626,0.073525114,0.072586166,1,0.114465718,0.039819979,0,0.036731281,0.198055619,0,0.088078428,0.242023298,0.597968708,0.118597318,0.045894329,0.031358157,0.116998222,0.105676093,0,0.069591574,0.101404245,0,0.044621623,0.118586861,0,0.06288534,0.042904175,0,0.107064646,0.099130944,0,0.144682276,0.339943384,0,0.066460487,0.097100022,0,0.089157351,0.164284031,0.31752884,0.100593991,0.133317948,0,0.105743671,0.177976437,0.31642025,0.088078428,0.242023298,0.597968708,0.070950357,0.149132002,0.505838768,0.03577933,0.129029118,0.121893152
10,0.85,0.480024503,0.101745367,0.073428454,0.06049382,1,0,0.02192891,0,0,0.167863779,0,0,0.169703076,0.587860711,0,0.056007575,0.037959187,0,0.086026765,0,0,0.108147391,0,0,0.080350885,0,0,0.055507232,0,0,0.077791201,0,0,0.296931041,0,0,0.076577389,0,0,0.160641949,0.284607225,0,0.114893988,0,0,0.136070496,0.281658261,0,0.169703076,0.587860711,0,0.134251936,0.472292581,0,0.114587939,0.129183862
