Time_Index,Demand_MW,Demand_MW_25,Demand_MW_30,Demand_MW_35,Demand_heat,Demand_Zero,Demand_MW_SEL,Demand_MW_25_SEL,Demand_MW_30_SEL,Demand_MW_35_SEL,Demand_MW_PUS,Demand_MW_25_PUS,Demand_MW_30_PUS,Demand_MW_35_PUS,Demand_MW_TAE,Demand_MW_25_TAE,Demand_MW_30_TAE,Demand_MW_35_TAE,Demand_MW_INC,Demand_MW_25_INC,Demand_MW_30_INC,Demand_MW_35_INC,Demand_MW_KWJ,Demand_MW_25_KWJ,Demand_MW_30_KWJ,Demand_MW_35_KWJ,Demand_MW_USN,Demand_MW_25_USN,Demand_MW_30_USN,Demand_MW_35_USN,Demand_MW_SJG,Demand_MW_25_SJG,Demand_MW_30_SJG,Demand_MW_35_SJG,Demand_MW_GGI,Demand_MW_25_GGI,Demand_MW_30_GGI,Demand_MW_35_GGI,Demand_MW_GWN,Demand_MW_25_GWN,Demand_MW_30_GWN,Demand_MW_35_GWN,Demand_MW_CNA,Demand_MW_25_CNA,Demand_MW_30_CNA,Demand_MW_35_CNA,Demand_MW_CNB,Demand_MW_25_CNB,Demand_MW_30_CNB,Demand_MW_35_CNB,Demand_MW_DJJ,Demand_MW_25_DJJ,Demand_MW_30_DJJ,Demand_MW_35_DJJ,Demand_MW_JNB,Demand_MW_25_JNB,Demand_MW_30_JNB,Demand_MW_35_JNB,Demand_MW_JNA,Demand_MW_25_JNA,Demand_MW_30_JNA,Demand_MW_35_JNA,Demand_MW_GNB,Demand_MW_25_GNB,Demand_MW_30_GNB,Demand_MW_35_GNB,Demand_MW_GNA,Demand_MW_25_GNA,Demand_MW_30_GNA,Demand_MW_35_GNA,Demand_MW_JEJ,Demand_MW_25_JEJ,Demand_MW_30_JEJ,Demand_MW_35_JEJ,Demand_heat_SEL,Demand_heat_25_SEL,Demand_heat_30_SEL,Demand_heat_35_SEL,Demand_heat_PUS,Demand_heat_25_PUS,Demand_heat_30_PUS,Demand_heat_35_PUS,Demand_heat_TAE,Demand_heat_25_TAE,Demand_heat_30_TAE,Demand_heat_35_TAE,Demand_heat_INC,Demand_heat_25_INC,Demand_heat_30_INC,Demand_heat_35_INC,Demand_heat_KWJ,Demand_heat_25_KWJ,Demand_heat_30_KWJ,Demand_heat_35_KWJ,Demand_heat_USN,Demand_heat_25_USN,Demand_heat_30_USN,Demand_heat_35_USN,Demand_heat_SJG,Demand_heat_25_SJG,Demand_heat_30_SJG,Demand_heat_35_SJG,Demand_heat_GGI,Demand_heat_25_GGI,Demand_heat_30_GGI,Demand_heat_35_GGI,Demand_heat_GWN,Demand_heat_25_GWN,Demand_heat_30_GWN,Demand_heat_35_GWN,Demand_heat_CNA,Demand_heat_25_CNA,Demand_heat_30_CNA,Demand_heat_35_CNA,Demand_heat_CNB,Demand_heat_25_CNB,Demand_heat_30_CNB,Demand_heat_35_CNB,Demand_heat_DJJ,Demand_heat_25_DJJ,Demand_heat_30_DJJ,Demand_heat_35_DJJ,Demand_heat_JNB,Demand_heat_25_JNB,Demand_heat_30_JNB,Demand_heat_35_JNB,Demand_heat_JNA,Demand_heat_25_JNA,Demand_heat_30_JNA,Demand_heat_35_JNA,Demand_heat_GNB,Demand_heat_25_GNB,Demand_heat_30_GNB,Demand_heat_35_GNB,Demand_heat_GNA,Demand_heat_25_GNA,Demand_heat_30_GNA,Demand_heat_35_GNA,Demand_heat_JEJ,Demand_heat_25_JEJ,Demand_heat_30_JEJ,Demand_heat_35_JEJ
1,59450.76774,63030.82939,66213.68433,68647.80946,8700,0,5430.39,5757.4,6048.13,6270.47,2250.78,2386.32,2506.82,2598.97,1781.37,1888.64,1984.01,2056.95,2888.15,3062.08,3216.7,3334.95,978.7,1037.64,1090.04,1130.11,3214.22,3407.77,3579.86,3711.46,437.78,464.14,487.58,505.5,15475.03,16406.92,17235.42,17869.02,1941.14,2058.03,2161.95,2241.43,5382.64,5706.77,5994.95,6215.33,3230.77,3425.32,3598.29,3730.57,1080.72,1145.8,1203.66,1247.91,2362.12,2504.36,2630.82,2727.54,3535.03,3747.91,3937.16,4081.9,4740.23,5025.68,5279.46,5473.55,4060.64,4305.17,4522.57,4688.82,661.07,700.87,736.27,763.33,793.05,793.05,793.05,793.05,345.23,345.23,345.23,345.23,264.61,264.61,264.61,264.61,410.37,410.37,410.37,410.37,147.52,147.52,147.52,147.52,506.92,506.92,506.92,506.92,65.75,65.75,65.75,65.75,2266.39,2266.39,2266.39,2266.39,264.16,264.16,264.16,264.16,793.6,793.6,793.6,793.6,436.54,436.54,436.54,436.54,160.55,160.55,160.55,160.55,342.97,342.97,342.97,342.97,532.21,532.21,532.21,532.21,693.39,693.39,693.39,693.39,578.94,578.94,578.94,578.94,97.8,97.8,97.8,97.8
2,57274.78064,60723.80667,63790.16436,66135.19686,8700,0,5231.63,5546.67,5826.76,6040.96,2168.4,2298.97,2415.07,2503.85,1716.17,1819.51,1911.39,1981.66,2782.44,2950.0,3098.96,3212.89,942.88,999.66,1050.14,1088.75,3096.57,3283.04,3448.83,3575.61,421.75,447.15,469.73,487.0,14908.63,15806.41,16604.58,17214.99,1870.09,1982.7,2082.82,2159.39,5185.62,5497.9,5775.52,5987.84,3112.52,3299.95,3466.59,3594.03,1041.16,1103.86,1159.6,1202.23,2275.66,2412.7,2534.53,2627.7,3405.64,3610.73,3793.06,3932.5,4566.73,4841.74,5086.23,5273.21,3912.02,4147.59,4357.03,4517.2,636.87,675.22,709.32,735.39,793.05,793.05,793.05,793.05,345.23,345.23,345.23,345.23,264.61,264.61,264.61,264.61,410.37,410.37,410.37,410.37,147.52,147.52,147.52,147.52,506.92,506.92,506.92,506.92,65.75,65.75,65.75,65.75,2266.39,2266.39,2266.39,2266.39,264.16,264.16,264.16,264.16,793.6,793.6,793.6,793.6,436.54,436.54,436.54,436.54,160.55,160.55,160.55,160.55,342.97,342.97,342.97,342.97,532.21,532.21,532.21,532.21,693.39,693.39,693.39,693.39,578.94,578.94,578.94,578.94,97.8,97.8,97.8,97.8
3,55919.70362,59287.12837,62280.9384,64570.48925,8700,0,5107.85,5415.44,5688.9,5898.03,2117.09,2244.58,2357.93,2444.61,1675.57,1776.47,1866.17,1934.78,2716.61,2880.2,3025.65,3136.87,920.57,976.01,1025.3,1062.99,3023.31,3205.37,3367.23,3491.02,411.77,436.57,458.62,475.48,14555.9,15432.44,16211.73,16807.7,1825.84,1935.79,2033.54,2108.3,5062.94,5367.82,5638.88,5846.17,3038.88,3221.88,3384.57,3508.99,1016.53,1077.74,1132.17,1173.79,2221.82,2355.61,2474.57,2565.53,3325.07,3525.3,3703.32,3839.46,4458.69,4727.18,4965.89,5148.45,3819.46,4049.46,4253.95,4410.33,621.8,659.25,692.54,718.0,793.05,793.05,793.05,793.05,345.23,345.23,345.23,345.23,264.61,264.61,264.61,264.61,410.37,410.37,410.37,410.37,147.52,147.52,147.52,147.52,506.92,506.92,506.92,506.92,65.75,65.75,65.75,65.75,2266.39,2266.39,2266.39,2266.39,264.16,264.16,264.16,264.16,793.6,793.6,793.6,793.6,436.54,436.54,436.54,436.54,160.55,160.55,160.55,160.55,342.97,342.97,342.97,342.97,532.21,532.21,532.21,532.21,693.39,693.39,693.39,693.39,578.94,578.94,578.94,578.94,97.8,97.8,97.8,97.8
4,55237.84958,58564.2138,61521.51897,63783.15229,8700,0,5045.57,5349.41,5619.53,5826.12,2091.28,2217.21,2329.18,2414.8,1655.13,1754.81,1843.42,1911.18,2683.49,2845.08,2988.75,3098.62,909.35,964.11,1012.79,1050.03,2986.45,3166.29,3326.17,3448.45,406.75,431.25,453.02,469.68,14378.41,15244.26,16014.05,16602.75,1803.58,1912.19,2008.75,2082.59,5001.2,5302.37,5570.12,5774.89,3001.82,3182.59,3343.3,3466.21,1004.14,1064.6,1118.36,1159.48,2194.73,2326.89,2444.39,2534.25,3284.53,3482.32,3658.16,3792.64,4404.32,4669.54,4905.34,5085.67,3772.89,4000.09,4202.08,4356.55,614.22,651.21,684.09,709.24,793.05,793.05,793.05,793.05,345.23,345.23,345.23,345.23,264.61,264.61,264.61,264.61,410.37,410.37,410.37,410.37,147.52,147.52,147.52,147.52,506.92,506.92,506.92,506.92,65.75,65.75,65.75,65.75,2266.39,2266.39,2266.39,2266.39,264.16,264.16,264.16,264.16,793.6,793.6,793.6,793.6,436.54,436.54,436.54,436.54,160.55,160.55,160.55,160.55,342.97,342.97,342.97,342.97,532.21,532.21,532.21,532.21,693.39,693.39,693.39,693.39,578.94,578.94,578.94,578.94,97.8,97.8,97.8,97.8
5,55160.17,58481.85644,61435.00282,63693.45567,8700,0,5038.47,5341.88,5611.63,5817.92,2088.34,2214.1,2325.9,2411.4,1652.81,1752.34,1840.82,1908.5,2679.71,2841.08,2984.55,3094.27,908.07,962.75,1011.37,1048.55,2982.25,3161.83,3321.5,3443.6,406.18,430.64,452.39,469.02,14358.19,15222.83,15991.53,16579.41,1801.04,1909.5,2005.92,2079.66,4994.17,5294.91,5562.29,5766.77,2997.6,3178.12,3338.6,3461.33,1002.72,1063.11,1116.79,1157.84,2191.64,2323.62,2440.95,2530.69,3279.91,3477.42,3653.02,3787.31,4398.13,4662.98,4898.44,5078.52,3767.58,3994.46,4196.17,4350.43,613.36,650.29,683.13,708.24,793.05,793.05,793.05,793.05,345.23,345.23,345.23,345.23,264.61,264.61,264.61,264.61,410.37,410.37,410.37,410.37,147.52,147.52,147.52,147.52,506.92,506.92,506.92,506.92,65.75,65.75,65.75,65.75,2266.39,2266.39,2266.39,2266.39,264.16,264.16,264.16,264.16,793.6,793.6,793.6,793.6,436.54,436.54,436.54,436.54,160.55,160.55,160.55,160.55,342.97,342.97,342.97,342.97,532.21,532.21,532.21,532.21,693.39,693.39,693.39,693.39,578.94,578.94,578.94,578.94,97.8,97.8,97.8,97.8
6,55692.41894,59046.15685,62027.79859,64308.0436,8700,0,5087.09,5393.43,5665.78,5874.06,2108.49,2235.46,2348.34,2434.67,1668.76,1769.25,1858.59,1926.91,2705.57,2868.5,3013.35,3124.12,916.83,972.04,1021.13,1058.67,3011.02,3192.34,3353.54,3476.83,410.1,434.8,456.75,473.54,14496.74,15369.71,16145.84,16739.38,1818.42,1927.92,2025.28,2099.73,5042.36,5346.0,5615.96,5822.41,3026.53,3208.78,3370.81,3494.73,1012.4,1073.36,1127.57,1169.02,2212.79,2346.04,2464.51,2555.11,3311.55,3510.97,3688.27,3823.85,4440.56,4707.97,4945.71,5127.52,3803.94,4033.0,4236.66,4392.41,619.28,656.57,689.72,715.08,793.05,793.05,793.05,793.05,345.23,345.23,345.23,345.23,264.61,264.61,264.61,264.61,410.37,410.37,410.37,410.37,147.52,147.52,147.52,147.52,506.92,506.92,506.92,506.92,65.75,65.75,65.75,65.75,2266.39,2266.39,2266.39,2266.39,264.16,264.16,264.16,264.16,793.6,793.6,793.6,793.6,436.54,436.54,436.54,436.54,160.55,160.55,160.55,160.55,342.97,342.97,342.97,342.97,532.21,532.21,532.21,532.21,693.39,693.39,693.39,693.39,578.94,578.94,578.94,578.94,97.8,97.8,97.8,97.8
7,56463.46064,59863.62985,62886.55136,65198.36555,8700,0,5157.52,5468.1,5744.22,5955.39,2137.68,2266.41,2380.85,2468.38,1691.86,1793.74,1884.32,1953.59,2743.03,2908.21,3055.07,3167.38,929.53,985.5,1035.27,1073.32,3052.71,3236.54,3399.97,3524.96,415.78,440.82,463.08,480.1,14697.44,15582.5,16369.37,16971.13,1843.6,1954.62,2053.32,2128.8,5112.17,5420.02,5693.71,5903.02,3068.43,3253.21,3417.48,3543.11,1026.41,1088.22,1143.18,1185.2,2243.42,2378.52,2498.63,2590.48,3357.4,3559.58,3739.33,3876.79,4502.04,4773.15,5014.18,5198.51,3856.6,4088.84,4295.31,4453.22,627.85,665.66,699.27,724.98,793.05,793.05,793.05,793.05,345.23,345.23,345.23,345.23,264.61,264.61,264.61,264.61,410.37,410.37,410.37,410.37,147.52,147.52,147.52,147.52,506.92,506.92,506.92,506.92,65.75,65.75,65.75,65.75,2266.39,2266.39,2266.39,2266.39,264.16,264.16,264.16,264.16,793.6,793.6,793.6,793.6,436.54,436.54,436.54,436.54,160.55,160.55,160.55,160.55,342.97,342.97,342.97,342.97,532.21,532.21,532.21,532.21,693.39,693.39,693.39,693.39,578.94,578.94,578.94,578.94,97.8,97.8,97.8,97.8
8,56939.12816,60367.94156,63416.3292,65747.6189,8700,0,5200.97,5514.16,5792.61,6005.56,2155.69,2285.5,2400.91,2489.17,1706.11,1808.85,1900.19,1970.05,2766.14,2932.71,3080.8,3194.06,937.36,993.8,1043.99,1082.37,3078.42,3263.8,3428.62,3554.66,419.28,444.53,466.98,484.14,14821.25,15713.78,16507.27,17114.11,1859.13,1971.08,2070.62,2146.74,5155.23,5465.68,5741.68,5952.75,3094.28,3280.61,3446.27,3572.96,1035.06,1097.39,1152.81,1195.19,2262.32,2398.56,2519.68,2612.3,3385.69,3589.57,3770.83,3909.45,4539.97,4813.36,5056.42,5242.3,3889.09,4123.29,4331.5,4490.73,633.14,671.26,705.16,731.08,793.05,793.05,793.05,793.05,345.23,345.23,345.23,345.23,264.61,264.61,264.61,264.61,410.37,410.37,410.37,410.37,147.52,147.52,147.52,147.52,506.92,506.92,506.92,506.92,65.75,65.75,65.75,65.75,2266.39,2266.39,2266.39,2266.39,264.16,264.16,264.16,264.16,793.6,793.6,793.6,793.6,436.54,436.54,436.54,436.54,160.55,160.55,160.55,160.55,342.97,342.97,342.97,342.97,532.21,532.21,532.21,532.21,693.39,693.39,693.39,693.39,578.94,578.94,578.94,578.94,97.8,97.8,97.8,97.8
9,56997.62759,60429.96376,63481.48332,65815.1682,8700,0,5206.31,5519.83,5798.56,6011.73,2157.9,2287.85,2403.38,2491.73,1707.86,1810.71,1902.15,1972.07,2768.98,2935.72,3083.97,3197.34,938.32,994.82,1045.06,1083.48,3081.59,3267.16,3432.14,3558.31,419.71,444.99,467.46,484.64,14836.48,15729.92,16524.23,17131.69,1861.04,1973.11,2072.74,2148.94,5160.53,5471.29,5747.58,5958.87,3097.46,3283.98,3449.81,3576.63,1036.13,1098.52,1153.99,1196.41,2264.65,2401.02,2522.27,2614.99,3389.16,3593.26,3774.7,3913.47,4544.63,4818.31,5061.62,5247.69,3893.08,4127.52,4335.95,4495.35,633.79,671.95,705.89,731.84,793.05,793.05,793.05,793.05,345.23,345.23,345.23,345.23,264.61,264.61,264.61,264.61,410.37,410.37,410.37,410.37,147.52,147.52,147.52,147.52,506.92,506.92,506.92,506.92,65.75,65.75,65.75,65.75,2266.39,2266.39,2266.39,2266.39,264.16,264.16,264.16,264.16,793.6,793.6,793.6,793.6,436.54,436.54,436.54,436.54,160.55,160.55,160.55,160.55,342.97,342.97,342.97,342.97,532.21,532.21,532.21,532.21,693.39,693.39,693.39,693.39,578.94,578.94,578.94,578.94,97.8,97.8,97.8,97.8
10,54505.16816,57787.41109,60705.49021,62937.12496,8700,0,4978.64,5278.45,5545.0,5748.84,2063.54,2187.8,2298.28,2382.77,1633.18,1731.53,1818.97,1885.83,2647.89,2807.35,2949.11,3057.52,897.29,951.32,999.36,1036.1,2946.83,3124.29,3282.05,3402.71,401.36,425.53,447.02,463.45,14187.7,15042.06,15801.64,16382.53,1779.66,1886.83,1982.1,2054.97,4934.87,5232.04,5496.24,5698.29,2962.01,3140.38,3298.96,3420.23,990.82,1050.48,1103.53,1144.1,2165.62,2296.03,2411.97,2500.64,3240.96,3436.13,3609.64,3742.34,4345.9,4607.61,4840.28,5018.21,3722.84,3947.03,4146.34,4298.77,606.07,642.57,675.02,699.83,793.05,793.05,793.05,793.05,345.23,345.23,345.23,345.23,264.61,264.61,264.61,264.61,410.37,410.37,410.37,410.37,147.52,147.52,147.52,147.52,506.92,506.92,506.92,506.92,65.75,65.75,65.75,65.75,2266.39,2266.39,2266.39,2266.39,264.16,264.16,264.16,264.16,793.6,793.6,793.6,793.6,436.54,436.54,436.54,436.54,160.55,160.55,160.55,160.55,342.97,342.97,342.97,342.97,532.21,532.21,532.21,532.21,693.39,693.39,693.39,693.39,578.94,578.94,578.94,578.94,97.8,97.8,97.8,97.8
