Time_Index,Demand_MW,Demand_MW_25,Demand_MW_30,Demand_MW_35,Demand_heat,Demand_Zero
1,59450.76774,63030.82939,66213.68433,68647.80946,8700,0
2,57274.78064,60723.80667,63790.16436,66135.19686,8700,0
3,55919.70362,59287.12837,62280.9384,64570.48925,8700,0
4,55237.84958,58564.2138,61521.51897,63783.15229,8700,0
5,55160.17,58481.85644,61435.00282,63693.45567,8700,0
6,55692.41894,59046.15685,62027.79859,64308.0436,8700,0
7,56463.46064,59863.62985,62886.55136,65198.36555,8700,0
8,56939.12816,60367.94156,63416.3292,65747.6189,8700,0
9,56997.62759,60429.96376,63481.48332,65815.1682,8700,0
10,54505.16816,57787.41109,60705.49021,62937.12496,8700,0
11,54169.51568,57431.54598,60331.65505,62549.547,8700,0
12,53620.00461,56848.94394,59719.63347,61915.02649,8700,0
13,53739.8805,56976.03863,59853.14603,62053.4472,8700,0
14,55432.52802,58770.61557,61738.34336,64007.94752,8700,0
15,57027.35681,60461.48325,63514.59444,65849.49653,8700,0
16,58839.88022,62383.15488,65533.30433,67942.41756,8700,0
17,60611.16632,64261.10593,67506.0859,69987.72185,8700,0
18,62743.9981,66522.37456,69881.54135,72450.50299,8700,0
19,63748.07853,67586.91964,70999.84254,73609.9148,8700,0
20,62954.97966,66746.0612,70116.52345,72694.12343,8700,0
21,62158.04476,65901.13574,69228.93195,71773.90259,8700,0
22,60694.59994,64349.56384,67599.01064,70084.06266,8700,0
23,61094.5059,64773.5517,68044.40854,70545.83413,8700,0
24,61836.77739,65560.52199,68871.1183,71402.93512,8700,0
25,57199.97809,60644.4996,63706.85253,66048.82235,8700,0
26,54849.4517,58152.42702,61088.93827,63334.66921,8700,0
27,53550.9561,56775.7374,59642.73024,61835.29617,8700,0
28,53070.49355,56266.34191,59107.61191,61280.506,8700,0
29,53449.30135,56667.96111,59529.51159,61717.91541,8700,0
30,54195.40887,57458.99843,60360.49376,62579.44587,8700,0
31,54840.82064,58143.27621,61079.32537,63324.70292,8700,0
32,55009.60589,58322.22552,61267.31105,63519.59928,8700,0
33,54667.24036,57959.24311,60885.99919,63124.26975,8700,0
34,52290.82078,55439.71808,58239.24622,60380.21775,8700,0
