pair_index,dataset,volt_class,capacity_mva,region_1,region_2,province_pair_english
0,new,154kV,7232.0,강원특별자치도,경기도,Gangwon–Gyeonggi
0,new,345kV,4346.0,강원특별자치도,경기도,Gangwon–Gyeonggi
0,new,765kV,14580.0,강원특별자치도,경기도,Gangwon–Gyeonggi
0,new,HVDC,0.0,강원특별자치도,경기도,Gangwon–Gyeonggi
0,newest,154kV,7232.0,강원특별자치도,경기도,Gangwon–Gyeonggi
0,newest,345kV,0.0,강원특별자치도,경기도,Gangwon–Gyeonggi
0,newest,765kV,14580.0,강원특별자치도,경기도,Gangwon–Gyeonggi
0,newest,HVDC,0.0,강원특별자치도,경기도,Gangwon–Gyeonggi
1,new,154kV,1356.0,강원특별자치도,경상북도,Gangwon–Gyeongbuk
1,new,345kV,8692.0,강원특별자치도,경상북도,Gangwon–Gyeongbuk
1,new,765kV,14580.0,강원특별자치도,경상북도,Gangwon–Gyeongbuk
1,new,HVDC,0.0,강원특별자치도,경상북도,Gangwon–Gyeongbuk
1,newest,154kV,1356.0,강원특별자치도,경상북도,Gangwon–Gyeongbuk
1,newest,345kV,8692.0,강원특별자치도,경상북도,Gangwon–Gyeongbuk
1,newest,765kV,14580.0,강원특별자치도,경상북도,Gangwon–Gyeongbuk
1,newest,HVDC,0.0,강원특별자치도,경상북도,Gangwon–Gyeongbuk
2,new,154kV,3616.0,강원특별자치도,충청북도,Gangwon–Chungbuk
2,new,345kV,13038.0,강원특별자치도,충청북도,Gangwon–Chungbuk
2,new,765kV,0.0,강원특별자치도,충청북도,Gangwon–Chungbuk
2,new,HVDC,0.0,강원특별자치도,충청북도,Gangwon–Chungbuk
2,newest,154kV,3616.0,강원특별자치도,충청북도,Gangwon–Chungbuk
2,newest,345kV,13038.0,강원특별자치도,충청북도,Gangwon–Chungbuk
2,newest,765kV,0.0,강원특별자치도,충청북도,Gangwon–Chungbuk
2,newest,HVDC,0.0,강원특별자치도,충청북도,Gangwon–Chungbuk
3,new,154kV,20396.0,경기도,서울특별시,Gyeonggi–Seoul
3,new,345kV,18668.0,경기도,서울특별시,Gyeonggi–Seoul
3,new,765kV,0.0,경기도,서울특별시,Gyeonggi–Seoul
3,new,HVDC,0.0,경기도,서울특별시,Gyeonggi–Seoul
3,newest,154kV,21686.0,경기도,서울특별시,Gyeonggi–Seoul
3,newest,345kV,18668.0,경기도,서울특별시,Gyeonggi–Seoul
3,newest,765kV,0.0,경기도,서울특별시,Gyeonggi–Seoul
3,newest,HVDC,0.0,경기도,서울특별시,Gyeonggi–Seoul
4,new,154kV,8952.0,경기도,인천광역시,Gyeonggi–Incheon
4,new,345kV,21730.0,경기도,인천광역시,Gyeonggi–Incheon
4,new,765kV,0.0,경기도,인천광역시,Gyeonggi–Incheon
4,new,HVDC,0.0,경기도,인천광역시,Gyeonggi–Incheon
4,newest,154kV,9460.0,경기도,인천광역시,Gyeonggi–Incheon
4,newest,345kV,26076.0,경기도,인천광역시,Gyeonggi–Incheon
4,newest,765kV,0.0,경기도,인천광역시,Gyeonggi–Incheon
4,newest,HVDC,0.0,경기도,인천광역시,Gyeonggi–Incheon
5,new,154kV,4520.0,경기도,충청남도,Gyeonggi–Chungnam
5,new,345kV,17384.0,경기도,충청남도,Gyeonggi–Chungnam
5,new,765kV,0.0,경기도,충청남도,Gyeonggi–Chungnam
5,new,HVDC,3000.0,경기도,충청남도,Gyeonggi–Chungnam
5,newest,154kV,5424.0,경기도,충청남도,Gyeonggi–Chungnam
5,newest,345kV,17384.0,경기도,충청남도,Gyeonggi–Chungnam
5,newest,765kV,0.0,경기도,충청남도,Gyeonggi–Chungnam
5,newest,HVDC,3000.0,경기도,충청남도,Gyeonggi–Chungnam
6,new,154kV,6328.0,경기도,충청북도,Gyeonggi–Chungbuk
6,new,345kV,17384.0,경기도,충청북도,Gyeonggi–Chungbuk
6,new,765kV,14580.0,경기도,충청북도,Gyeonggi–Chungbuk
6,new,HVDC,0.0,경기도,충청북도,Gyeonggi–Chungbuk
6,newest,154kV,6328.0,경기도,충청북도,Gyeonggi–Chungbuk
6,newest,345kV,17384.0,경기도,충청북도,Gyeonggi–Chungbuk
6,newest,765kV,14580.0,경기도,충청북도,Gyeonggi–Chungbuk
6,newest,HVDC,0.0,경기도,충청북도,Gyeonggi–Chungbuk
7,new,154kV,0.0,경상남도,경상북도,Gyeongnam–Gyeongbuk
7,new,345kV,8692.0,경상남도,경상북도,Gyeongnam–Gyeongbuk
7,new,765kV,0.0,경상남도,경상북도,Gyeongnam–Gyeongbuk
7,new,HVDC,0.0,경상남도,경상북도,Gyeongnam–Gyeongbuk
7,newest,154kV,0.0,경상남도,경상북도,Gyeongnam–Gyeongbuk
7,newest,345kV,8692.0,경상남도,경상북도,Gyeongnam–Gyeongbuk
7,newest,765kV,0.0,경상남도,경상북도,Gyeongnam–Gyeongbuk
7,newest,HVDC,0.0,경상남도,경상북도,Gyeongnam–Gyeongbuk
8,new,154kV,6780.0,경상남도,대구광역시,Gyeongnam–Daegu
8,new,345kV,13038.0,경상남도,대구광역시,Gyeongnam–Daegu
8,new,765kV,0.0,경상남도,대구광역시,Gyeongnam–Daegu
8,new,HVDC,0.0,경상남도,대구광역시,Gyeongnam–Daegu
8,newest,154kV,5424.0,경상남도,대구광역시,Gyeongnam–Daegu
8,newest,345kV,13038.0,경상남도,대구광역시,Gyeongnam–Daegu
8,newest,765kV,0.0,경상남도,대구광역시,Gyeongnam–Daegu
8,newest,HVDC,0.0,경상남도,대구광역시,Gyeongnam–Daegu
9,new,154kV,2668.0,경상남도,부산광역시,Gyeongnam–Busan
9,new,345kV,4346.0,경상남도,부산광역시,Gyeongnam–Busan
9,new,765kV,0.0,경상남도,부산광역시,Gyeongnam–Busan
9,new,HVDC,0.0,경상남도,부산광역시,Gyeongnam–Busan
9,newest,154kV,4818.0,경상남도,부산광역시,Gyeongnam–Busan
9,newest,345kV,4346.0,경상남도,부산광역시,Gyeongnam–Busan
9,newest,765kV,0.0,경상남도,부산광역시,Gyeongnam–Busan
9,newest,HVDC,0.0,경상남도,부산광역시,Gyeongnam–Busan
10,new,154kV,1808.0,경상남도,울산광역시,Gyeongnam–Ulsan
10,new,345kV,8692.0,경상남도,울산광역시,Gyeongnam–Ulsan
10,new,765kV,43740.0,경상남도,울산광역시,Gyeongnam–Ulsan
10,new,HVDC,0.0,경상남도,울산광역시,Gyeongnam–Ulsan
10,newest,154kV,1808.0,경상남도,울산광역시,Gyeongnam–Ulsan
10,newest,345kV,8692.0,경상남도,울산광역시,Gyeongnam–Ulsan
10,newest,765kV,43740.0,경상남도,울산광역시,Gyeongnam–Ulsan
10,newest,HVDC,0.0,경상남도,울산광역시,Gyeongnam–Ulsan
11,new,154kV,3616.0,경상남도,전라남도,Gyeongnam–Jeonnam
11,new,345kV,4346.0,경상남도,전라남도,Gyeongnam–Jeonnam
11,new,765kV,0.0,경상남도,전라남도,Gyeongnam–Jeonnam
11,new,HVDC,0.0,경상남도,전라남도,Gyeongnam–Jeonnam
