region_1,region_2,new_total_rate_a_mva,newest_total_rate_a_mva,difference_mva,absolute_difference_mva,higher_dataset,province_pair_english
전라남도,전북특별자치도,10500.0,19192.0,8692.0,8692.0,newest,Jeonnam–Jeonbuk
경기도,인천광역시,30682.0,35536.0,4854.0,4854.0,newest,Gyeonggi–Incheon
광주광역시,전라남도,8866.0,13212.0,4346.0,4346.0,newest,Gwangju–Jeonnam
경상북도,울산광역시,7058.0,11404.0,4346.0,4346.0,newest,Gyeongbuk–Ulsan
경상남도,부산광역시,7014.0,9164.0,2150.0,2150.0,newest,Gyeongnam–Busan
경기도,서울특별시,39064.0,40354.0,1290.0,1290.0,newest,Gyeonggi–Seoul
경기도,충청남도,24904.0,25808.0,904.0,904.0,newest,Gyeonggi–Chungnam
서울특별시,인천광역시,6716.0,7576.0,860.0,860.0,newest,Seoul–Incheon
부산광역시,울산광역시,17384.0,17384.0,0.0,0.0,same,Busan–Ulsan
대전광역시,전북특별자치도,14116.0,14116.0,0.0,0.0,same,Daejeon–Jeonbuk
대전광역시,충청남도,4346.0,4346.0,0.0,0.0,same,Daejeon–Chungnam
대전광역시,충청북도,5250.0,5250.0,0.0,0.0,same,Daejeon–Chungbuk
경상북도,충청북도,5250.0,5250.0,0.0,0.0,same,Gyeongbuk–Chungbuk
세종특별자치시,충청남도,1808.0,1808.0,0.0,0.0,same,Sejong–Chungnam
대구광역시,울산광역시,4346.0,4346.0,0.0,0.0,same,Daegu–Ulsan
세종특별자치시,충청북도,5250.0,5250.0,0.0,0.0,same,Sejong–Chungbuk
전라남도,제주특별자치도,900.0,900.0,0.0,0.0,same,Jeonnam–Jeju
전북특별자치도,충청남도,5702.0,5702.0,0.0,0.0,same,Jeonbuk–Chungnam
대전광역시,세종특별자치시,5876.0,5876.0,0.0,0.0,same,Daejeon–Sejong
충청남도,충청북도,17292.0,17292.0,0.0,0.0,same,Chungnam–Chungbuk
강원특별자치도,경상북도,24628.0,24628.0,0.0,0.0,same,Gangwon–Gyeongbuk
경상북도,대전광역시,5702.0,5702.0,0.0,0.0,same,Gyeongbuk–Daejeon
경상북도,대구광역시,8866.0,8866.0,0.0,0.0,same,Gyeongbuk–Daegu
경상남도,전북특별자치도,4346.0,4346.0,0.0,0.0,same,Gyeongnam–Jeonbuk
경상남도,전라남도,7962.0,7962.0,0.0,0.0,same,Gyeongnam–Jeonnam
경상남도,울산광역시,54240.0,54240.0,0.0,0.0,same,Gyeongnam–Ulsan
경상남도,경상북도,8692.0,8692.0,0.0,0.0,same,Gyeongnam–Gyeongbuk
경기도,충청북도,38292.0,38292.0,0.0,0.0,same,Gyeonggi–Chungbuk
강원특별자치도,충청북도,16654.0,16654.0,0.0,0.0,same,Gangwon–Chungbuk
경상남도,대구광역시,19818.0,18462.0,-1356.0,1356.0,new,Gyeongnam–Daegu
광주광역시,전북특별자치도,13212.0,8866.0,-4346.0,4346.0,new,Gwangju–Jeonbuk
강원특별자치도,경기도,26158.0,21812.0,-4346.0,4346.0,new,Gangwon–Gyeonggi
