pair_index,dataset,volt_class,capacity_mva,region_1,region_2,province_pair_english
0,old,154kV,5400.0,강원특별자치도,경기도,Gangwon–Gyeonggi
0,old,345kV,4000.0,강원특별자치도,경기도,Gangwon–Gyeonggi
0,old,765kV,14580.0,강원특별자치도,경기도,Gangwon–Gyeonggi
0,old,HVDC,0.0,강원특별자치도,경기도,Gangwon–Gyeonggi
0,new,154kV,7232.0,강원특별자치도,경기도,Gangwon–Gyeonggi
0,new,345kV,0.0,강원특별자치도,경기도,Gangwon–Gyeonggi
0,new,765kV,14580.0,강원특별자치도,경기도,Gangwon–Gyeonggi
0,new,HVDC,0.0,강원특별자치도,경기도,Gangwon–Gyeonggi
1,old,154kV,1350.0,강원특별자치도,경상북도,Gangwon–Gyeongbuk
1,old,345kV,4000.0,강원특별자치도,경상북도,Gangwon–Gyeongbuk
1,old,765kV,14580.0,강원특별자치도,경상북도,Gangwon–Gyeongbuk
1,old,HVDC,0.0,강원특별자치도,경상북도,Gangwon–Gyeongbuk
1,new,154kV,1356.0,강원특별자치도,경상북도,Gangwon–Gyeongbuk
1,new,345kV,8692.0,강원특별자치도,경상북도,Gangwon–Gyeongbuk
1,new,765kV,14580.0,강원특별자치도,경상북도,Gangwon–Gyeongbuk
1,new,HVDC,0.0,강원특별자치도,경상북도,Gangwon–Gyeongbuk
2,old,154kV,3600.0,강원특별자치도,충청북도,Gangwon–Chungbuk
2,old,345kV,12000.0,강원특별자치도,충청북도,Gangwon–Chungbuk
2,old,765kV,0.0,강원특별자치도,충청북도,Gangwon–Chungbuk
2,old,HVDC,0.0,강원특별자치도,충청북도,Gangwon–Chungbuk
2,new,154kV,3616.0,강원특별자치도,충청북도,Gangwon–Chungbuk
2,new,345kV,13038.0,강원특별자치도,충청북도,Gangwon–Chungbuk
2,new,765kV,0.0,강원특별자치도,충청북도,Gangwon–Chungbuk
2,new,HVDC,0.0,강원특별자치도,충청북도,Gangwon–Chungbuk
3,old,154kV,17100.0,경기도,서울특별시,Gyeonggi–Seoul
3,old,345kV,12000.0,경기도,서울특별시,Gyeonggi–Seoul
3,old,765kV,0.0,경기도,서울특별시,Gyeonggi–Seoul
3,old,HVDC,0.0,경기도,서울특별시,Gyeonggi–Seoul
3,new,154kV,21686.0,경기도,서울특별시,Gyeonggi–Seoul
3,new,345kV,18668.0,경기도,서울특별시,Gyeonggi–Seoul
3,new,765kV,0.0,경기도,서울특별시,Gyeonggi–Seoul
3,new,HVDC,0.0,경기도,서울특별시,Gyeonggi–Seoul
4,old,154kV,12600.0,경기도,인천광역시,Gyeonggi–Incheon
4,old,345kV,16000.0,경기도,인천광역시,Gyeonggi–Incheon
4,old,765kV,0.0,경기도,인천광역시,Gyeonggi–Incheon
4,old,HVDC,0.0,경기도,인천광역시,Gyeonggi–Incheon
4,new,154kV,9460.0,경기도,인천광역시,Gyeonggi–Incheon
4,new,345kV,26076.0,경기도,인천광역시,Gyeonggi–Incheon
4,new,765kV,0.0,경기도,인천광역시,Gyeonggi–Incheon
4,new,HVDC,0.0,경기도,인천광역시,Gyeonggi–Incheon
5,old,154kV,4500.0,경기도,충청남도,Gyeonggi–Chungnam
5,old,345kV,4000.0,경기도,충청남도,Gyeonggi–Chungnam
5,old,765kV,0.0,경기도,충청남도,Gyeonggi–Chungnam
5,old,HVDC,3000.0,경기도,충청남도,Gyeonggi–Chungnam
5,new,154kV,5424.0,경기도,충청남도,Gyeonggi–Chungnam
5,new,345kV,17384.0,경기도,충청남도,Gyeonggi–Chungnam
5,new,765kV,0.0,경기도,충청남도,Gyeonggi–Chungnam
5,new,HVDC,3000.0,경기도,충청남도,Gyeonggi–Chungnam
6,old,154kV,6300.0,경기도,충청북도,Gyeonggi–Chungbuk
6,old,345kV,16000.0,경기도,충청북도,Gyeonggi–Chungbuk
6,old,765kV,14580.0,경기도,충청북도,Gyeonggi–Chungbuk
6,old,HVDC,0.0,경기도,충청북도,Gyeonggi–Chungbuk
6,new,154kV,6328.0,경기도,충청북도,Gyeonggi–Chungbuk
6,new,345kV,17384.0,경기도,충청북도,Gyeonggi–Chungbuk
6,new,765kV,14580.0,경기도,충청북도,Gyeonggi–Chungbuk
6,new,HVDC,0.0,경기도,충청북도,Gyeonggi–Chungbuk
7,old,154kV,0.0,경상남도,경상북도,Gyeongnam–Gyeongbuk
7,old,345kV,8000.0,경상남도,경상북도,Gyeongnam–Gyeongbuk
7,old,765kV,0.0,경상남도,경상북도,Gyeongnam–Gyeongbuk
7,old,HVDC,0.0,경상남도,경상북도,Gyeongnam–Gyeongbuk
7,new,154kV,0.0,경상남도,경상북도,Gyeongnam–Gyeongbuk
7,new,345kV,8692.0,경상남도,경상북도,Gyeongnam–Gyeongbuk
7,new,765kV,0.0,경상남도,경상북도,Gyeongnam–Gyeongbuk
7,new,HVDC,0.0,경상남도,경상북도,Gyeongnam–Gyeongbuk
8,old,154kV,6750.0,경상남도,대구광역시,Gyeongnam–Daegu
8,old,345kV,12000.0,경상남도,대구광역시,Gyeongnam–Daegu
8,old,765kV,0.0,경상남도,대구광역시,Gyeongnam–Daegu
8,old,HVDC,0.0,경상남도,대구광역시,Gyeongnam–Daegu
8,new,154kV,5424.0,경상남도,대구광역시,Gyeongnam–Daegu
8,new,345kV,13038.0,경상남도,대구광역시,Gyeongnam–Daegu
8,new,765kV,0.0,경상남도,대구광역시,Gyeongnam–Daegu
8,new,HVDC,0.0,경상남도,대구광역시,Gyeongnam–Daegu
9,old,154kV,1800.0,경상남도,부산광역시,Gyeongnam–Busan
9,old,345kV,8000.0,경상남도,부산광역시,Gyeongnam–Busan
9,old,765kV,0.0,경상남도,부산광역시,Gyeongnam–Busan
9,old,HVDC,0.0,경상남도,부산광역시,Gyeongnam–Busan
9,new,154kV,4818.0,경상남도,부산광역시,Gyeongnam–Busan
9,new,345kV,4346.0,경상남도,부산광역시,Gyeongnam–Busan
9,new,765kV,0.0,경상남도,부산광역시,Gyeongnam–Busan
9,new,HVDC,0.0,경상남도,부산광역시,Gyeongnam–Busan
10,old,154kV,3600.0,경상남도,울산광역시,Gyeongnam–Ulsan
10,old,345kV,24000.0,경상남도,울산광역시,Gyeongnam–Ulsan
10,old,765kV,43740.0,경상남도,울산광역시,Gyeongnam–Ulsan
10,old,HVDC,0.0,경상남도,울산광역시,Gyeongnam–Ulsan
10,new,154kV,1808.0,경상남도,울산광역시,Gyeongnam–Ulsan
10,new,345kV,8692.0,경상남도,울산광역시,Gyeongnam–Ulsan
10,new,765kV,43740.0,경상남도,울산광역시,Gyeongnam–Ulsan
10,new,HVDC,0.0,경상남도,울산광역시,Gyeongnam–Ulsan
11,old,154kV,3600.0,경상남도,전라남도,Gyeongnam–Jeonnam
11,old,345kV,4000.0,경상남도,전라남도,Gyeongnam–Jeonnam
11,old,765kV,0.0,경상남도,전라남도,Gyeongnam–Jeonnam
11,old,HVDC,0.0,경상남도,전라남도,Gyeongnam–Jeonnam
11,new,154kV,3616.0,경상남도,전라남도,Gyeongnam–Jeonnam
11,new,345kV,4346.0,경상남도,전라남도,Gyeongnam–Jeonnam
11,new,765kV,0.0,경상남도,전라남도,Gyeongnam–Jeonnam
11,new,HVDC,0.0,경상남도,전라남도,Gyeongnam–Jeonnam
12,old,154kV,0.0,경상남도,전북특별자치도,Gyeongnam–Jeonbuk
12,old,345kV,4000.0,경상남도,전북특별자치도,Gyeongnam–Jeonbuk
12,old,765kV,0.0,경상남도,전북특별자치도,Gyeongnam–Jeonbuk
12,old,HVDC,0.0,경상남도,전북특별자치도,Gyeongnam–Jeonbuk
12,new,154kV,0.0,경상남도,전북특별자치도,Gyeongnam–Jeonbuk
12,new,345kV,4346.0,경상남도,전북특별자치도,Gyeongnam–Jeonbuk
12,new,765kV,0.0,경상남도,전북특별자치도,Gyeongnam–Jeonbuk
12,new,HVDC,0.0,경상남도,전북특별자치도,Gyeongnam–Jeonbuk
13,old,154kV,4500.0,경상북도,대구광역시,Gyeongbuk–Daegu
13,old,345kV,4000.0,경상북도,대구광역시,Gyeongbuk–Daegu
13,old,765kV,0.0,경상북도,대구광역시,Gyeongbuk–Daegu
13,old,HVDC,0.0,경상북도,대구광역시,Gyeongbuk–Daegu
13,new,154kV,4520.0,경상북도,대구광역시,Gyeongbuk–Daegu
13,new,345kV,4346.0,경상북도,대구광역시,Gyeongbuk–Daegu
13,new,765kV,0.0,경상북도,대구광역시,Gyeongbuk–Daegu
13,new,HVDC,0.0,경상북도,대구광역시,Gyeongbuk–Daegu
