region_1,region_2,old_total_rate_a_mva,new_total_rate_a_mva,difference_mva,absolute_difference_mva,higher_dataset,province_pair_english
경기도,충청남도,11500,25808.0,14308.0,14308.0,new,Gyeonggi–Chungnam
부산광역시,울산광역시,4000,17384.0,13384.0,13384.0,new,Busan–Ulsan
경기도,서울특별시,29100,40354.0,11254.0,11254.0,new,Gyeonggi–Seoul
전라남도,전북특별자치도,9800,19192.0,9392.0,9392.0,new,Jeonnam–Jeonbuk
광주광역시,전라남도,5800,13212.0,7412.0,7412.0,new,Gwangju–Jeonnam
경기도,인천광역시,28600,35536.0,6936.0,6936.0,new,Gyeonggi–Incheon
경상북도,울산광역시,5800,11404.0,5604.0,5604.0,new,Gyeongbuk–Ulsan
강원특별자치도,경상북도,19930,24628.0,4698.0,4698.0,new,Gangwon–Gyeongbuk
경기도,충청북도,36880,38292.0,1412.0,1412.0,new,Gyeonggi–Chungbuk
대전광역시,충청북도,4000,5250.0,1250.0,1250.0,new,Daejeon–Chungbuk
강원특별자치도,충청북도,15600,16654.0,1054.0,1054.0,new,Gangwon–Chungbuk
대전광역시,전북특별자치도,13400,14116.0,716.0,716.0,new,Daejeon–Jeonbuk
경상남도,경상북도,8000,8692.0,692.0,692.0,new,Gyeongnam–Gyeongbuk
경상북도,대구광역시,8500,8866.0,366.0,366.0,new,Gyeongbuk–Daegu
경상남도,전라남도,7600,7962.0,362.0,362.0,new,Gyeongnam–Jeonnam
경상북도,대전광역시,5350,5702.0,352.0,352.0,new,Gyeongbuk–Daejeon
세종특별자치시,충청북도,4900,5250.0,350.0,350.0,new,Sejong–Chungbuk
경상북도,충청북도,4900,5250.0,350.0,350.0,new,Gyeongbuk–Chungbuk
경상남도,전북특별자치도,4000,4346.0,346.0,346.0,new,Gyeongnam–Jeonbuk
대전광역시,충청남도,4000,4346.0,346.0,346.0,new,Daejeon–Chungnam
대구광역시,울산광역시,4000,4346.0,346.0,346.0,new,Daegu–Ulsan
대전광역시,세종특별자치시,5850,5876.0,26.0,26.0,new,Daejeon–Sejong
충청남도,충청북도,17280,17292.0,12.0,12.0,new,Chungnam–Chungbuk
세종특별자치시,충청남도,1800,1808.0,8.0,8.0,new,Sejong–Chungnam
전라남도,제주특별자치도,900,900.0,0.0,0.0,same,Jeonnam–Jeju
경상남도,대구광역시,18750,18462.0,-288.0,288.0,old,Gyeongnam–Daegu
경상남도,부산광역시,9800,9164.0,-636.0,636.0,old,Gyeongnam–Busan
강원특별자치도,경기도,23980,21812.0,-2168.0,2168.0,old,Gangwon–Gyeonggi
전북특별자치도,충청남도,8900,5702.0,-3198.0,3198.0,old,Jeonbuk–Chungnam
광주광역시,전북특별자치도,12500,8866.0,-3634.0,3634.0,old,Gwangju–Jeonbuk
서울특별시,인천광역시,11600,7576.0,-4024.0,4024.0,old,Seoul–Incheon
경상남도,울산광역시,71340,54240.0,-17100.0,17100.0,old,Gyeongnam–Ulsan
