bus,name,region,base_kv,volt_class,type,area,area_name,zone,vm_pu,va_deg,vmax_pu,vmin_pu,in_service,lat,lon
40000,순천T1_154,전라남도,154.0,154kV,PQ,4,호남,14,0.99191,6.109,1.05,0.95,1,34.94504,127.42611
70000,순천T1_D23,전라남도,22.9,22.9kV,PQ,4,호남,14,1.00382,2.39,1.05,0.95,1,34.94504,127.42611
40001,화양_154,서울특별시,154.0,154kV,PQ,1,수도권,1,0.9969,-27.8653,1.05,0.95,1,37.56677,127.08445
70001,화양_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,1.00061,-30.8622,1.05,0.95,1,37.56677,127.08445
40002,구의_154,서울특별시,154.0,154kV,PQ,1,수도권,1,0.99679,-28.0123,1.05,0.95,1,37.53586,127.0957
70002,구의_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,0.99914,-31.5238,1.05,0.95,1,37.53586,127.0957
40003,논현_154,서울특별시,154.0,154kV,PQ,1,수도권,1,0.99769,-28.693,1.05,0.95,1,37.51962,127.03414
70003,논현_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,1.0005,-32.0351,1.05,0.95,1,37.51962,127.03414
40004,논일_154,서울특별시,154.0,154kV,PQ,1,수도권,1,0.99797,-28.8091,1.05,0.95,1,37.51168,127.02258
70004,논일_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,1.00278,-31.3749,1.05,0.95,1,37.51168,127.02258
40005,역삼_154,서울특별시,154.0,154kV,PQ,1,수도권,1,0.99805,-28.7458,1.05,0.95,1,37.50015,127.03627
70005,역삼_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,1.00236,-31.5104,1.05,0.95,1,37.50015,127.03627
40006,선릉_154,서울특별시,154.0,154kV,PQ,1,수도권,1,0.99753,-28.5728,1.05,0.95,1,37.51144,127.0582
70006,선릉_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,1.00181,-31.3456,1.05,0.95,1,37.51144,127.0582
40007,양지_154,서울특별시,154.0,154kV,PQ,1,수도권,1,0.99855,-28.7848,1.05,0.95,1,37.48532,127.02735
70007,양지_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,1.0015,-32.0751,1.05,0.95,1,37.48532,127.02735
40008,서초_154,서울특별시,154.0,154kV,PQ,1,수도권,1,0.99845,-28.8771,1.05,0.95,1,37.49416,127.01246
70008,서초_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,1.00408,-31.0982,1.05,0.95,1,37.49416,127.01246
40009,도곡_154,경기도,154.0,154kV,PQ,1,수도권,9,0.99746,-28.4837,1.05,0.95,1,37.48831,127.0541
70009,도곡_D23,경기도,22.9,22.9kV,PQ,1,수도권,9,1.00541,-32.5515,1.05,0.95,1,37.48831,127.0541
40010,교대_154,서울특별시,154.0,154kV,PQ,1,수도권,1,0.99869,-28.9042,1.05,0.95,1,37.48582,127.01237
70010,교대_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,1.00424,-31.1592,1.05,0.95,1,37.48582,127.01237
40011,대치_154,서울특별시,154.0,154kV,PQ,1,수도권,1,0.99769,-28.6079,1.05,0.95,1,37.50605,127.05637
70011,대치_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,1.0005,-31.9463,1.05,0.95,1,37.50605,127.05637
40012,가락_154,경기도,154.0,154kV,PQ,1,수도권,9,0.99665,-27.8121,1.05,0.95,1,37.49478,127.11846
70012,가락_D23,경기도,22.9,22.9kV,PQ,1,수도권,9,0.99747,-31.8671,1.05,0.95,1,37.49478,127.11846
40013,천호_154,경기도,154.0,154kV,PQ,1,수도권,9,0.99663,-27.7911,1.05,0.95,1,37.54679,127.13381
70013,천호_D23,경기도,22.9,22.9kV,PQ,1,수도권,9,0.99783,-31.7106,1.05,0.95,1,37.54679,127.13381
40014,풍납_154,경기도,154.0,154kV,PQ,1,수도권,9,0.99675,-27.9574,1.05,0.95,1,37.52674,127.11249
70014,풍납_D23,경기도,22.9,22.9kV,PQ,1,수도권,9,1.0038,-32.1339,1.05,0.95,1,37.52674,127.11249
40015,독산_154,서울특별시,154.0,154kV,PQ,1,수도권,1,1.00052,-29.2143,1.05,0.95,1,37.47257,126.898
70015,독산_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,1.00527,-31.8027,1.05,0.95,1,37.47257,126.898
40016,봉천_154,서울특별시,154.0,154kV,PQ,1,수도권,1,0.99928,-29.1787,1.05,0.95,1,37.48198,126.95154
70016,봉천_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,1.00436,-31.6375,1.05,0.95,1,37.48198,126.95154
40017,대림_154,서울특별시,154.0,154kV,PQ,1,수도권,1,1.00068,-29.3209,1.05,0.95,1,37.50068,126.90906
70017,대림_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,0.99632,-31.5155,1.05,0.95,1,37.50068,126.90906
40018,마곡_154,인천광역시,154.0,154kV,PQ,1,수도권,4,1.00101,-31.4248,1.05,0.95,1,37.55633,126.82129
70018,마곡_D23,인천광역시,22.9,22.9kV,PQ,1,수도권,4,1.00392,-34.7317,1.05,0.95,1,37.55633,126.82129
40019,등촌_154,서울특별시,154.0,154kV,PQ,1,수도권,1,1.00073,-30.9305,1.05,0.95,1,37.55143,126.86506
70019,등촌_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,1.00465,-33.8531,1.05,0.95,1,37.55143,126.86506
40020,순화_154,서울특별시,154.0,154kV,PQ,1,수도권,1,0.99919,-29.7435,1.05,0.95,1,37.56081,126.9713
70020,순화_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,1.00368,-32.4375,1.05,0.95,1,37.56081,126.9713
40021,녹번_154,서울특별시,154.0,154kV,PQ,1,수도권,1,1.00023,-29.9476,1.05,0.95,1,37.60386,126.9231
70021,녹번_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,0.99567,-32.2287,1.05,0.95,1,37.60386,126.9231
20000,신양재_345,서울특별시,345.0,345kV,PQ,1,수도권,1,1.01711,-26.4463,1.05,0.95,1,37.48522,127.02756
40022,신양재_154,서울특별시,154.0,154kV,PQ,1,수도권,1,0.99851,-28.7551,1.05,0.95,1,37.48522,127.02756
60000,신양재_T23,서울특별시,23.0,23kV,PQ,1,수도권,1,1.01339,-27.428,1.05,0.95,1,37.48522,127.02756
40023,노들_154,서울특별시,154.0,154kV,PQ,1,수도권,1,1.00054,-29.4351,1.05,0.95,1,37.51563,126.92143
70022,노들_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,1.00298,-32.9172,1.05,0.95,1,37.51563,126.92143
40024,영오_154,서울특별시,154.0,154kV,PQ,1,수도권,1,1.00112,-29.3589,1.05,0.95,1,37.52196,126.90603
