name,bus,bus_name,mode,vset_pu,shmax_mvar,pdes_mw,qdes_mvar
미금_STATCOM,20036,미금_345,1,1.02,100,0,0
신영주_STATCOM,20038,신영주_345,1,1.02,400,0,0
신충주_STATCOM,20051,신충주_345,1,1.02,400,0,0
동해_STATCOM,20043,동해_345,1,1.02,150,0,0
신부평_STATCOM,20077,신부평_345,1,1.02,150,0,0
고덕_STATCOM,20089,고덕_345,1,1.02,400,0,0
강진_UPFC,40263,강진_154,1,1.02,80,50,0
신제주_STATCOM,40079,신제주_154,1,1.02,50,0,0
한라_STATCOM,40076,한라_154,1,1.02,50,0,0
북제주_SynCon,40075,산지_154,1,1.02,55,0,0
제주_SynCon,40665,동제주_154,1,1.02,50,0,0
