from_bus,to_bus,id,name,r_pu,x_pu,b_pu,g_from_pu,b_from_pu,g_to_pu,b_to_pu,rate_a_mva,rate_b_mva,rate_c_mva,length_km,in_service,cable_km
10001,10005,1,765_신서산-신중부_1,0.000126,0.004188,2.134707,0.0,0.0,0.0,0.0,7290.0,8019.0,9112.0,73.87,1,0.0
10001,10005,2,765_신서산-신중부_2,0.000126,0.004188,2.134707,0.0,0.0,0.0,0.0,7290.0,8019.0,9112.0,73.87,1,0.0
10005,10000,1,765_신중부-신안성_1,7.7e-05,0.00257,1.309955,0.0,0.0,0.0,0.0,7290.0,8019.0,9112.0,45.33,1,0.0
10005,10000,2,765_신중부-신안성_2,7.7e-05,0.00257,1.309955,0.0,0.0,0.0,0.0,7290.0,8019.0,9112.0,45.33,1,0.0
10000,10003,1,765_신안성-신가평_1,0.000119,0.003972,2.024614,0.0,0.0,0.0,0.0,7290.0,8019.0,9112.0,70.06,1,0.0
10000,10003,2,765_신안성-신가평_2,0.000119,0.003972,2.024614,0.0,0.0,0.0,0.0,7290.0,8019.0,9112.0,70.06,1,0.0
10002,10003,1,765_신태백-신가평_1,0.000264,0.008793,4.481936,0.0,0.0,0.0,0.0,7290.0,8019.0,9112.0,155.08,1,0.0
10002,10003,2,765_신태백-신가평_2,0.000264,0.008793,4.481936,0.0,0.0,0.0,0.0,7290.0,8019.0,9112.0,155.08,1,0.0
10007,10002,1,765_울진T2-신태백_1,8.3e-05,0.002777,1.415386,0.0,0.0,0.0,0.0,7290.0,8019.0,9112.0,48.98,1,0.0
10007,10002,2,765_울진T2-신태백_2,8.3e-05,0.002777,1.415386,0.0,0.0,0.0,0.0,7290.0,8019.0,9112.0,48.98,1,0.0
10004,10006,1,765_신울산765-북경남_1,0.000146,0.004877,2.485953,0.0,0.0,0.0,0.0,7290.0,8019.0,9112.0,86.02,1,0.0
10004,10006,2,765_신울산765-북경남_2,0.000146,0.004877,2.485953,0.0,0.0,0.0,0.0,7290.0,8019.0,9112.0,86.02,1,0.0
90000,20080,1,345osm_고리_SW-울산T4_345_1,4.63038e-05,0.000494405,0.0104146,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,1.77,1,0.0
90000,20080,2,345osm_고리_SW-울산T4_345_2,4.63038e-05,0.000494405,0.0104146,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,1.77,1,0.0
20081,20082,1,345osm_영흥T1_345-영흥T2_345_1,4.1e-05,0.000439,0.009262,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,1.58,1,0.0
20081,20082,2,345osm_영흥T1_345-영흥T2_345_2,4.1e-05,0.000439,0.009262,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,1.58,1,0.0
20081,20082,3,345osm_영흥T1_345-영흥T2_345_3,4.1e-05,0.000439,0.009262,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,1.58,1,0.0
20081,20082,4,345osm_영흥T1_345-영흥T2_345_4,4.1e-05,0.000439,0.009262,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,1.58,1,0.0
20009,20056,1,345osm_신안성_345-서안성_345_1,0.000137,0.001474,0.031064,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,5.28,1,0.0
20009,20056,2,345osm_신안성_345-서안성_345_2,0.000137,0.001474,0.031064,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,5.28,1,0.0
20009,20056,3,345osm_신안성_345-서안성_345_3,0.000137,0.001474,0.031064,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,5.28,1,0.0
20009,20056,4,345osm_신안성_345-서안성_345_4,0.000137,0.001474,0.031064,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,5.28,1,0.0
20079,20083,1,345osm_북당진_345-당진T2_345_1,0.000162,0.001737,0.036612,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,6.23,1,0.0
20079,20083,2,345osm_북당진_345-당진T2_345_2,0.000162,0.001737,0.036612,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,6.23,1,0.0
20031,20078,1,345osm_신시흥_345-신시화_345_1,0.000173,0.001854,0.039078,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,6.65,1,0.0
20031,20078,2,345osm_신시흥_345-신시화_345_2,0.000173,0.001854,0.039078,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,6.65,1,0.0
20031,20078,3,345osm_신시흥_345-신시화_345_3,0.000173,0.001854,0.039078,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,6.65,1,0.0
20031,20078,4,345osm_신시흥_345-신시화_345_4,0.000173,0.001854,0.039078,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,6.65,1,0.0
20046,20047,1,345osm_신파주_345-신덕은_345_1,0.000189,0.002033,0.042853,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,7.29,1,0.0
20046,20047,2,345osm_신파주_345-신덕은_345_2,0.000189,0.002033,0.042853,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,7.29,1,0.0
20046,20047,3,345osm_신파주_345-신덕은_345_3,0.000189,0.002033,0.042853,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,7.29,1,0.0
20046,20047,4,345osm_신파주_345-신덕은_345_4,0.000189,0.002033,0.042853,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,7.29,1,0.0
20030,20067,1,345osm_신온양_345-신탕정_345_1,0.000199,0.00214,0.045093,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,7.67,1,0.0
20030,20067,2,345osm_신온양_345-신탕정_345_2,0.000199,0.00214,0.045093,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,7.67,1,0.0
20030,20067,3,345osm_신온양_345-신탕정_345_3,0.000199,0.00214,0.045093,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,7.67,1,0.0
20030,20067,4,345osm_신온양_345-신탕정_345_4,0.000199,0.00214,0.045093,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,7.67,1,0.0
20035,20036,1,345osm_동서울_345-미금_345_1,0.000170073,0.00199519,0.493111,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,9.56,1,5.23
20035,20036,2,345osm_동서울_345-미금_345_2,0.000170073,0.00199519,0.493111,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,9.56,1,5.23
20032,20062,1,345osm_신진천_345-신중부_345_1,0.000221,0.002369,0.049927,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,8.49,1,0.0
20032,20062,2,345osm_신진천_345-신중부_345_2,0.000221,0.002369,0.049927,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,8.49,1,0.0
20032,20062,3,345osm_신진천_345-신중부_345_3,0.000221,0.002369,0.049927,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,8.49,1,0.0
20032,20062,4,345osm_신진천_345-신중부_345_4,0.000221,0.002369,0.049927,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,8.49,1,0.0
20006,20084,1,345osm_신온산_345-남울산_345_1,0.000194,0.002081,0.043865,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,7.46,1,0.0
20006,20084,2,345osm_신온산_345-남울산_345_2,0.000194,0.002081,0.043865,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,7.46,1,0.0
20006,20084,3,345osm_신온산_345-남울산_345_3,0.000194,0.002081,0.043865,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,7.46,1,0.0
20006,20084,4,345osm_신온산_345-남울산_345_4,0.000194,0.002081,0.043865,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,7.46,1,0.0
20012,20050,1,345cbl_신광명_345-영등포_345_1,8.70646e-05,0.00119196,0.708183,0.0,0.0,0.0,0.0,1023.0,1125.0,1279.0,7.92,1,7.92
20012,20050,2,345cbl_신광명_345-영등포_345_2,8.70646e-05,0.00119196,0.708183,0.0,0.0,0.0,0.0,1023.0,1125.0,1279.0,7.92,1,7.92
20012,20050,3,345cbl_신광명_345-영등포_345_3,8.70646e-05,0.00119196,0.708183,0.0,0.0,0.0,0.0,1023.0,1125.0,1279.0,7.92,1,7.92
20012,20050,4,345cbl_신광명_345-영등포_345_4,8.70646e-05,0.00119196,0.708183,0.0,0.0,0.0,0.0,1023.0,1125.0,1279.0,7.92,1,7.92
20030,20033,1,345osm_신온양_345-아산_345_1,0.000319,0.003422,0.072114,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,12.26,1,0.0
20030,20033,2,345osm_신온양_345-아산_345_2,0.000319,0.003422,0.072114,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,12.26,1,0.0
20034,20066,1,345osm_신서산_345-신당진_345_1,0.000332,0.003566,0.075146,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,12.78,1,0.0
20034,20066,2,345osm_신서산_345-신당진_345_2,0.000332,0.003566,0.075146,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,12.78,1,0.0
20028,20059,1,345osm_서서울_345-신안산_345_1,0.000344,0.003688,0.077734,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,13.22,1,0.0
20028,20059,2,345osm_서서울_345-신안산_345_2,0.000344,0.003688,0.077734,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,13.22,1,0.0
20000,20010,1,345cbl_신양재_345-신성남_345_1,0.000143679,0.00196704,1.16868,0.0,0.0,0.0,0.0,1023.0,1125.0,1279.0,13.07,1,13.07
20000,20010,2,345cbl_신양재_345-신성남_345_2,0.000143679,0.00196704,1.16868,0.0,0.0,0.0,0.0,1023.0,1125.0,1279.0,13.07,1,13.07
20000,20010,3,345cbl_신양재_345-신성남_345_3,0.000143679,0.00196704,1.16868,0.0,0.0,0.0,0.0,1023.0,1125.0,1279.0,13.07,1,13.07
20000,20010,4,345cbl_신양재_345-신성남_345_4,0.000143679,0.00196704,1.16868,0.0,0.0,0.0,0.0,1023.0,1125.0,1279.0,13.07,1,13.07
20037,20046,1,345osm_양주_345-신파주_345_1,0.000377,0.004045,0.085241,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,14.5,1,0.0
20037,20046,2,345osm_양주_345-신파주_345_2,0.000377,0.004045,0.085241,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,14.5,1,0.0
20037,20046,3,345osm_양주_345-신파주_345_3,0.000377,0.004045,0.085241,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,14.5,1,0.0
20037,20046,4,345osm_양주_345-신파주_345_4,0.000377,0.004045,0.085241,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,14.5,1,0.0
20031,20059,1,345osm_신시흥_345-신안산_345_1,0.000365,0.003917,0.082555,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,14.04,1,0.0
