bus,id,name,p_mw,q_mvar,const_i_p_mw,const_i_q_mvar,const_z_p_mw,const_z_q_mvar,area,zone,in_service
40766,1,고덕_부하,666.5628,219.0913,0.0,0.0,0.0,0.0,1,9,1
70009,1,도곡_부하,118.4486,38.935,0.0,0.0,0.0,0.0,1,9,1
70012,1,가락_부하,117.6314,5.2664,0.0,0.0,0.0,0.0,1,9,1
70013,1,천호_부하,113.7452,5.0939,0.0,0.0,0.0,0.0,1,9,1
70014,1,풍납_부하,121.3905,39.8975,0.0,0.0,0.0,0.0,1,9,1
70027,1,중계_부하,119.0206,39.1166,0.0,0.0,0.0,0.0,1,9,1
70028,1,석촌_부하,96.9653,4.3402,0.0,0.0,0.0,0.0,1,9,1
70038,1,방학_부하,130.0801,42.7577,0.0,0.0,0.0,0.0,1,9,1
70056,1,흥덕_부하,90.0827,4.0315,0.0,0.0,0.0,0.0,1,9,1
70057,1,신갈_부하,100.0888,4.4764,0.0,0.0,0.0,0.0,1,9,1
40068,1,신용인_부하,56.4231,2.5242,0.0,0.0,0.0,0.0,1,9,1
70061,1,계양1_부하,120.3009,39.5434,0.0,0.0,0.0,0.0,1,9,1
70073,1,과천_부하,124.2507,40.8418,0.0,0.0,0.0,0.0,1,9,1
40083,1,신성남_부하,56.6138,2.5333,0.0,0.0,0.0,0.0,1,9,1
40086,1,신수원_부하,48.2693,2.161,0.0,0.0,0.0,0.0,1,9,1
40095,1,안성_부하,55.3698,2.4788,0.0,0.0,0.0,0.0,1,9,1
70083,1,용인_부하,101.5416,4.54,0.0,0.0,0.0,0.0,1,9,1
40111,1,서서울_부하,47.1434,2.1066,0.0,0.0,0.0,0.0,1,9,1
40112,1,화성_부하,37.1644,1.6616,0.0,0.0,0.0,0.0,1,9,1
40114,1,신시흥_부하,38.5991,1.7252,0.0,0.0,0.0,0.0,1,9,1
70086,1,성현_부하,84.1444,3.7682,0.0,0.0,0.0,0.0,1,9,1
40120,1,동서울_부하,36.5924,1.6344,0.0,0.0,0.0,0.0,1,9,1
40121,1,미금_부하,55.6241,2.4879,0.0,0.0,0.0,0.0,1,9,1
40122,1,양주_부하,49.1773,2.1974,0.0,0.0,0.0,0.0,1,9,1
70090,1,동두천_부하,114.3717,5.1211,0.0,0.0,0.0,0.0,1,9,1
70091,1,덕계_부하,113.7724,5.0939,0.0,0.0,0.0,0.0,1,9,1
70092,1,녹양_부하,100.9242,4.5128,0.0,0.0,0.0,0.0,1,9,1
70094,1,운천_부하,90.5639,4.0497,0.0,0.0,0.0,0.0,1,9,1
70098,1,철원_부하,113.6544,5.0848,0.0,0.0,0.0,0.0,1,9,1
70099,1,강동_부하,110.7124,4.9577,0.0,0.0,0.0,0.0,1,9,1
40141,1,곤지암_부하,54.7887,2.4516,0.0,0.0,0.0,0.0,1,9,1
70100,1,도봉_부하,115.2252,5.1574,0.0,0.0,0.0,0.0,1,9,1
40143,1,신파주_부하,56.5866,2.5333,0.0,0.0,0.0,0.0,1,9,1
40144,1,신덕은_부하,53.4903,2.3971,0.0,0.0,0.0,0.0,1,9,1
70101,1,백석_부하,112.138,5.0212,0.0,0.0,0.0,0.0,1,9,1
70102,1,금촌_부하,111.3662,4.9849,0.0,0.0,0.0,0.0,1,9,1
40147,1,서수원_부하,41.5501,1.8614,0.0,0.0,0.0,0.0,1,9,1
40160,1,신포천_부하,41.0416,1.8342,0.0,0.0,0.0,0.0,1,9,1
70115,1,마석_부하,124.959,41.0688,0.0,0.0,0.0,0.0,1,9,1
70130,1,오산_부하,114.7803,5.1393,0.0,0.0,0.0,0.0,1,9,1
70131,1,평택_부하,111.1664,4.9758,0.0,0.0,0.0,0.0,1,9,1
70132,1,추팔_부하,127.7919,42.0041,0.0,0.0,0.0,0.0,1,9,1
70133,1,송탄_부하,129.5353,42.5761,0.0,0.0,0.0,0.0,1,9,1
70134,1,시화_부하,144.4991,47.4975,0.0,0.0,0.0,0.0,1,9,1
70135,1,진위_부하,112.592,5.0394,0.0,0.0,0.0,0.0,1,9,1
70136,1,반월_부하,106.2088,4.7488,0.0,0.0,0.0,0.0,1,9,1
70138,1,서운_부하,132.9494,43.702,0.0,0.0,0.0,0.0,1,9,1
70162,1,동안양_부하,113.0732,5.0576,0.0,0.0,0.0,0.0,1,9,1
70164,1,수지_부하,131.3785,43.1845,0.0,0.0,0.0,0.0,1,9,1
70165,1,포승_부하,106.4176,4.767,0.0,0.0,0.0,0.0,1,9,1
70172,1,계양2_부하,84.6347,3.7864,0.0,0.0,0.0,0.0,1,9,1
70180,1,야탑_부하,104.075,4.658,0.0,0.0,0.0,0.0,1,9,1
70182,1,여주_부하,146.1244,48.0241,0.0,0.0,0.0,0.0,1,9,1
70184,1,가남_부하,111.911,5.0122,0.0,0.0,0.0,0.0,1,9,1
70188,1,원흥_부하,128.2368,42.1494,0.0,0.0,0.0,0.0,1,9,1
70190,1,산성_부하,86.5596,3.8772,0.0,0.0,0.0,0.0,1,9,1
70191,1,상계_부하,104.2112,4.6671,0.0,0.0,0.0,0.0,1,9,1
70193,1,둔포_부하,94.9859,4.2494,0.0,0.0,0.0,0.0,1,9,1
70195,1,산본_부하,140.858,46.2989,0.0,0.0,0.0,0.0,1,9,1
70200,1,능곡_부하,129.3718,42.5216,0.0,0.0,0.0,0.0,1,9,1
70216,1,지도_부하,141.2122,46.417,0.0,0.0,0.0,0.0,1,9,1
70217,1,안양_부하,95.7577,4.2858,0.0,0.0,0.0,0.0,1,9,1
70224,1,송포_부하,126.9384,41.7226,0.0,0.0,0.0,0.0,1,9,1
70225,1,장기_부하,122.7979,40.3606,0.0,0.0,0.0,0.0,1,9,1
40282,1,서안성_부하,54.5163,2.4425,0.0,0.0,0.0,0.0,1,9,1
70235,1,동탄_부하,138.5063,45.5271,0.0,0.0,0.0,0.0,1,9,1
70236,1,삼미_부하,146.7237,48.2239,0.0,0.0,0.0,0.0,1,9,1
70238,1,만승_부하,97.038,4.3402,0.0,0.0,0.0,0.0,1,9,1
70239,1,위례_부하,130.298,42.8304,0.0,0.0,0.0,0.0,1,9,1
70243,1,성포_부하,144.6807,47.552,0.0,0.0,0.0,0.0,1,9,1
40298,1,신의정부_부하,47.1161,2.1066,0.0,0.0,0.0,0.0,1,9,1
70245,1,우만_부하,106.6537,4.7761,0.0,0.0,0.0,0.0,1,9,1
70246,1,문발_부하,143.4004,47.1343,0.0,0.0,0.0,0.0,1,9,1
70247,1,일동_부하,134.729,44.2832,0.0,0.0,0.0,0.0,1,9,1
40303,1,신안산_부하,37.2825,1.6707,0.0,0.0,0.0,0.0,1,9,1
70248,1,안산_부하,92.8339,4.1586,0.0,0.0,0.0,0.0,1,9,1
70250,1,이의_부하,98.3909,4.4038,0.0,0.0,0.0,0.0,1,9,1
70255,1,신장_부하,113.3093,5.0666,0.0,0.0,0.0,0.0,1,9,1
70258,1,잠실_부하,98.2002,4.3947,0.0,0.0,0.0,0.0,1,9,1
70263,1,남군포_부하,121.563,39.952,0.0,0.0,0.0,0.0,1,9,1
