hv_bus,lv_bus,id,name,r_pu,x_pu,g_pu,b_pu,ratio,tap_step,tap_min,tap_max,shift_deg,vn_hv_kv,vn_lv_kv,sn_mva,rate_a_mva,rate_b_mva,rate_c_mva,cont_bus,in_service
90000,80000,1,고리#1_GSU,0.000276,0.011058,0.0,0.0,1.0,0.025,0.95,1.05,0.0,345,22.0,1175.6,1176,1293,1470,90000,1
90000,80001,1,고리#2_GSU,0.000276,0.011048,0.0,0.0,1.0,0.025,0.95,1.05,0.0,345,22.0,1176.7,1177,1294,1471,90000,1
90001,80002,1,신고리#1_GSU,0.000281,0.011225,0.0,0.0,1.0,0.025,0.95,1.05,0.0,765,22.0,1158.1,1158,1274,1448,90001,1
90001,80003,1,신고리#2_GSU,0.000281,0.011225,0.0,0.0,1.0,0.025,0.95,1.05,0.0,765,22.0,1158.1,1158,1274,1448,90001,1
90002,80004,1,새울#1_GSU,0.000197,0.007896,0.0,0.0,1.0,0.025,0.95,1.05,0.0,765,22.0,1646.5,1646,1811,2058,90002,1
90002,80005,1,새울#2_GSU,0.000197,0.007885,0.0,0.0,1.0,0.025,0.95,1.05,0.0,765,22.0,1648.8,1649,1814,2061,90002,1
90003,80006,1,한빛#1_GSU,0.000291,0.011646,0.0,0.0,1.0,0.025,0.95,1.05,0.0,345,22.0,1116.3,1116,1228,1395,90003,1
90003,80007,1,한빛#2_GSU,0.000292,0.01167,0.0,0.0,1.0,0.025,0.95,1.05,0.0,345,22.0,1114.0,1114,1225,1392,90003,1
90003,80008,1,한빛#3_GSU,0.00028,0.011214,0.0,0.0,1.0,0.025,0.95,1.05,0.0,345,22.0,1159.3,1159,1275,1449,90003,1
90003,80009,1,한빛#4_GSU,0.00028,0.011214,0.0,0.0,1.0,0.025,0.95,1.05,0.0,345,22.0,1159.3,1159,1275,1449,90003,1
90003,80010,1,한빛#5_GSU,0.00028,0.011214,0.0,0.0,1.0,0.025,0.95,1.05,0.0,345,22.0,1159.3,1159,1275,1449,90003,1
90003,80011,1,한빛#6_GSU,0.000281,0.011236,0.0,0.0,1.0,0.025,0.95,1.05,0.0,345,22.0,1157.0,1157,1273,1446,90003,1
90004,80012,1,한울#1_GSU,0.000291,0.011646,0.0,0.0,1.0,0.025,0.95,1.05,0.0,765,22.0,1116.3,1116,1228,1395,90004,1
90004,80013,1,한울#2_GSU,0.000291,0.011622,0.0,0.0,1.0,0.025,0.95,1.05,0.0,765,22.0,1118.6,1119,1230,1398,90004,1
