hv_bus,mv_bus,lv_bus,id,name,r_hv_mv_pu,x_hv_mv_pu,r_mv_lv_pu,x_mv_lv_pu,r_lv_hv_pu,x_lv_hv_pu,g_pu,b_pu,ratio_hv,ratio_mv,ratio_lv,tap_step,tap_min,tap_max,shift_mv_deg,shift_lv_deg,vn_hv_kv,vn_mv_kv,vn_lv_kv,rate_hv_mva,rate_mv_mva,rate_lv_mva,cont_bus,in_service
20000,40022,60000,1,신양재_MTr1,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40022,1
20000,40022,60000,2,신양재_MTr2,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40022,1
20000,40007,60000,3,신양재_MTr3,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40007,1
20001,40048,60001,1,북부산_MTr1,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40048,1
20001,40048,60001,2,북부산_MTr2,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40048,1
20002,40049,60002,1,청양_MTr1,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,1.0,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40049,1
20002,40049,60002,2,청양_MTr2,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,1.0,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40049,1
20003,40056,60003,1,신포항_MTr1,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.98,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40056,1
20003,40056,60003,2,신포항_MTr2,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.98,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40056,1
20004,40057,60004,1,울주_MTr1,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40057,1
20004,40057,60004,2,울주_MTr2,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40057,1
20005,40059,60005,1,신울산_MTr1,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,1.0,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40059,1
20005,40059,60005,2,신울산_MTr2,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,1.0,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40059,1
20006,40060,60006,1,신온산_MTr1,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,1.0,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40060,1
20006,40060,60006,2,신온산_MTr2,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,1.0,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40060,1
20007,40062,60007,1,신옥천_MTr1,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,1.02,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40062,1
20007,40062,60007,2,신옥천_MTr2,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,1.02,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40062,1
20008,40068,60008,1,신용인_MTr1,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40068,1
20008,40068,60008,2,신용인_MTr2,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40068,1
20008,40068,60008,3,신용인_MTr3,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40068,1
10000,20009,60009,1,신안성_MTr1,0.0004,0.009,0.002,0.06,0.0018,0.05,0.0,0.0,1.0,1.0,1.0,0.01,0.9,1.1,0.0,0.0,765,345,23,2000.0,2000.0,667,20009,1
10000,20009,60009,2,신안성_MTr2,0.0004,0.009,0.002,0.06,0.0018,0.05,0.0,0.0,1.0,1.0,1.0,0.01,0.9,1.1,0.0,0.0,765,345,23,2000.0,2000.0,667,20009,1
10000,20009,60009,3,신안성_MTr3,0.0004,0.009,0.002,0.06,0.0018,0.05,0.0,0.0,1.0,1.0,1.0,0.01,0.9,1.1,0.0,0.0,765,345,23,2000.0,2000.0,667,20009,1
20010,40083,60010,1,신성남_MTr1,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40083,1
20010,40083,60010,2,신성남_MTr2,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40083,1
20010,40083,60010,3,신성남_MTr3,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40083,1
20011,40084,60011,1,신계룡_MTr1,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,1.01,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40084,1
20011,40084,60011,2,신계룡_MTr2,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,1.01,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40084,1
20012,40085,60012,1,신광명_MTr1,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40085,1
20012,40085,60012,2,신광명_MTr2,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40085,1
20012,40085,60012,3,신광명_MTr3,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40085,1
20013,40086,60013,1,신수원_MTr1,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40086,1
20013,40086,60013,2,신수원_MTr2,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40086,1
