bus,name,region,base_kv,volt_class,type,area,area_name,zone,vm_pu,va_deg,vmax_pu,vmin_pu,in_service,lat,lon
40000,순천T1_154,전라남도,154.0,154kV,PQ,4,호남,14,0.99662,0.971,1.05,0.95,1,34.94504,127.42611
70000,순천T1_D23,전라남도,22.9,22.9kV,PQ,4,호남,14,0.99828,-2.7889,1.05,0.95,1,34.94504,127.42611
40001,화양_154,서울특별시,154.0,154kV,PQ,1,수도권,1,0.99418,-31.5125,1.05,0.95,1,37.56677,127.08445
70001,화양_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,0.99784,-34.5259,1.05,0.95,1,37.56677,127.08445
40002,구의_154,서울특별시,154.0,154kV,PQ,1,수도권,1,0.9941,-31.5349,1.05,0.95,1,37.53586,127.0957
70002,구의_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,0.99639,-35.0657,1.05,0.95,1,37.53586,127.0957
40003,논현_154,서울특별시,154.0,154kV,PQ,1,수도권,1,0.99414,-31.9253,1.05,0.95,1,37.51962,127.03414
70003,논현_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,0.99687,-35.2916,1.05,0.95,1,37.51962,127.03414
40004,논일_154,서울특별시,154.0,154kV,PQ,1,수도권,1,0.99419,-31.9704,1.05,0.95,1,37.51168,127.02258
70004,논일_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,0.99892,-34.556,1.05,0.95,1,37.51168,127.02258
40005,역삼_154,서울특별시,154.0,154kV,PQ,1,수도권,1,0.99438,-31.9006,1.05,0.95,1,37.50015,127.03627
70005,역삼_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,0.99862,-34.6858,1.05,0.95,1,37.50015,127.03627
40006,선릉_154,서울특별시,154.0,154kV,PQ,1,수도권,1,0.99412,-31.824,1.05,0.95,1,37.51144,127.0582
70006,선릉_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,0.99834,-34.616,1.05,0.95,1,37.51144,127.0582
40007,양지_154,서울특별시,154.0,154kV,PQ,1,수도권,1,0.99487,-31.8426,1.05,0.95,1,37.48532,127.02735
70007,양지_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,0.99774,-35.1575,1.05,0.95,1,37.48532,127.02735
40008,서초_154,서울특별시,154.0,154kV,PQ,1,수도권,1,0.99481,-31.874,1.05,0.95,1,37.49416,127.01246
