bus,id,name,p_mw,q_mvar,vset_pu,q_max_mvar,q_min_mvar,p_max_mw,p_min_mw,mbase_mva,reg_bus,is_slack,in_service
80000,1,고리#1,1011.0,118.89,1.05,454.95,-252.75,1011.0,505.5,1175.6,0,0,1
80001,1,고리#2,991.76,119.01,1.03071,455.4,-253.0,1012.0,506.0,1176.7,0,0,0
80002,1,신고리#1,996.0,117.13,1.04411,448.2,-249.0,996.0,498.0,1158.1,0,0,1
80003,1,신고리#2,996.0,117.13,1.04411,448.2,-249.0,996.0,498.0,1158.1,0,0,1
80004,1,새울#1,1416.0,166.52,1.0427,637.2,-354.0,1416.0,708.0,1646.5,0,0,1
80005,1,새울#2,1418.0,166.76,1.0427,638.1,-354.5,1418.0,709.0,1648.8,0,0,1
80006,1,한빛#1,960.0,112.9,1.04856,432.0,-240.0,960.0,480.0,1116.3,0,0,1
80007,1,한빛#2,958.0,112.66,1.04856,431.1,-239.5,958.0,479.0,1114.0,0,0,1
80008,1,한빛#3,997.0,117.25,1.04856,448.65,-249.25,997.0,498.5,1159.3,0,0,1
80009,1,한빛#4,997.0,117.25,1.04856,448.65,-249.25,997.0,498.5,1159.3,0,0,1
80010,1,한빛#5,997.0,117.25,1.04856,448.65,-249.25,997.0,498.5,1159.3,0,0,1
80011,1,한빛#6,975.1,117.01,1.03302,447.75,-248.75,995.0,497.5,1157.0,0,0,0
80012,1,한울#1,960.0,112.9,1.05,432.0,-240.0,960.0,480.0,1116.3,0,0,1
80013,1,한울#2,962.0,113.13,1.05,432.9,-240.5,962.0,481.0,1118.6,0,0,1
80014,1,한울#3,994.0,116.89,1.05,447.3,-248.5,994.0,497.0,1155.8,0,0,1
80015,1,한울#4,998.0,117.36,1.05,449.1,-249.5,998.0,499.0,1160.5,0,0,1
80016,1,한울#5,996.0,117.13,1.05,448.2,-249.0,996.0,498.0,1158.1,0,0,1
80017,1,한울#6,976.08,117.13,1.02114,448.2,-249.0,996.0,498.0,1158.1,0,0,0
80018,1,신한울#1,1340.0,157.58,1.05,603.0,-335.0,1340.0,670.0,1558.1,0,0,1
