bus,id,name,kind,p_mw,q_mvar,in_service
70009,1,도곡_ShC,SWITCHED,0.0,-45.0,1
70014,1,풍납_ShC,SWITCHED,0.0,-45.0,1
20000,3,신양재_ShC345,SWITCHED,0.0,-60.0,0
70027,1,중계_ShC,SWITCHED,0.0,-45.0,1
70038,1,방학_ShC,SWITCHED,0.0,-45.0,1
70043,1,전주_ShC,SWITCHED,0.0,-30.0,1
70045,1,거창_ShC,SWITCHED,0.0,-30.0,1
70046,1,내당_ShC,SWITCHED,0.0,-30.0,1
70047,1,탕정_ShC,SWITCHED,0.0,-45.0,1
70049,1,서천안_ShC,SWITCHED,0.0,-75.0,1
70050,1,천안_ShC,SWITCHED,0.0,-60.0,1
70051,1,성거_ShC,SWITCHED,0.0,-75.0,1
70052,1,원정_ShC,SWITCHED,0.0,-45.0,1
20007,3,신옥천_ShC345,SWITCHED,0.0,-75.0,1
70058,1,인주_ShC,SWITCHED,0.0,-60.0,1
20008,3,신용인_ShC345,SWITCHED,0.0,-75.0,1
10000,1,신안성_ShR,FIXED,0.0,200.0,1
70060,1,오창_ShC,SWITCHED,0.0,-45.0,1
70061,1,계양1_ShC,SWITCHED,0.0,-45.0,1
70063,1,동천안_ShC,SWITCHED,0.0,-45.0,1
70064,1,봉덕_ShC,SWITCHED,0.0,-15.0,1
70065,1,노포_ShC,SWITCHED,0.0,-30.0,1
70070,1,신제주_ShC,SWITCHED,0.0,-30.0,1
70071,1,범물_ShC,SWITCHED,0.0,-30.0,1
70073,1,과천_ShC,SWITCHED,0.0,-45.0,1
20010,3,신성남_ShC345,SWITCHED,0.0,-60.0,0
20011,3,신계룡_ShC345,SWITCHED,0.0,-75.0,1
20012,3,신광명_ShC345,SWITCHED,0.0,-60.0,1
20013,3,신수원_ShC345,SWITCHED,0.0,-75.0,1
70074,1,함열_ShC,SWITCHED,0.0,-15.0,1
70075,1,관창_ShC,SWITCHED,0.0,-60.0,1
70076,1,이리_ShC,SWITCHED,0.0,-30.0,1
20019,3,안성_ShC345,SWITCHED,0.0,-75.0,1
70077,1,영천_ShC,SWITCHED,0.0,-45.0,1
20020,3,청원_ShC345,SWITCHED,0.0,-75.0,1
20021,3,신광주_ShC345,SWITCHED,0.0,-75.0,1
70080,1,공주_ShC,SWITCHED,0.0,-60.0,1
70081,1,마천_ShC,SWITCHED,0.0,-30.0,1
70082,1,장유_ShC,SWITCHED,0.0,-30.0,1
20028,3,서서울_ShC345,SWITCHED,0.0,-60.0,1
20029,3,화성_ShC345,SWITCHED,0.0,-75.0,1
20030,3,신온양_ShC345,SWITCHED,0.0,-75.0,1
20031,3,신시흥_ShC345,SWITCHED,0.0,-60.0,1
20032,3,신진천_ShC345,SWITCHED,0.0,-75.0,1
20033,3,아산_ShC345,SWITCHED,0.0,-75.0,1
70084,1,청주T1_ShC,SWITCHED,0.0,-45.0,1
70085,1,온양_ShC,SWITCHED,0.0,-75.0,1
10001,1,신서산_ShR,FIXED,0.0,250.0,1
20035,3,동서울_ShC345,SWITCHED,0.0,-60.0,1
20036,3,미금_ShC345,SWITCHED,0.0,-60.0,1
20037,3,양주_ShC345,SWITCHED,0.0,-60.0,1
10002,1,신태백_ShR,FIXED,0.0,400.0,1
70088,1,은진_ShC,SWITCHED,0.0,-15.0,1
70089,1,국사_ShC,SWITCHED,0.0,-45.0,1
10003,1,신가평_ShR,FIXED,0.0,400.0,1
20040,1,신가평_ShR2,SWITCHED,0.0,100.0,0
70093,1,영일_ShC,SWITCHED,0.0,-30.0,1
20041,3,신화순_ShC345,SWITCHED,0.0,-75.0,0
70095,1,하양_ShC,SWITCHED,0.0,-30.0,1
70096,1,대송_ShC,SWITCHED,0.0,-30.0,1
70097,1,천북_ShC,SWITCHED,0.0,-30.0,1
20045,3,곤지암_ShC345,SWITCHED,0.0,-60.0,1
20046,3,신파주_ShC345,SWITCHED,0.0,-60.0,1
20047,3,신덕은_ShC345,SWITCHED,0.0,-60.0,1
20048,3,서수원_ShC345,SWITCHED,0.0,-60.0,1
70107,1,창녕_ShC,SWITCHED,0.0,-30.0,1
70109,1,칠서_ShC,SWITCHED,0.0,-30.0,1
70112,1,밀양T1_ShC,SWITCHED,0.0,-30.0,1
70114,1,달성_ShC,SWITCHED,0.0,-30.0,1
20049,3,신포천_ShC345,SWITCHED,0.0,-60.0,1
70115,1,마석_ShC,SWITCHED,0.0,-45.0,1
70117,1,양산_ShC,SWITCHED,0.0,-30.0,1
70118,1,미남_ShC,SWITCHED,0.0,-45.0,1
70119,1,기장_ShC,SWITCHED,0.0,-45.0,1
70121,1,칠곡_ShC,SWITCHED,0.0,-30.0,1
70133,1,송탄_ShC,SWITCHED,0.0,-45.0,1
70134,1,시화_ShC,SWITCHED,0.0,-60.0,1
70137,1,한샘_ShC,SWITCHED,0.0,-75.0,1
70138,1,서운_ShC,SWITCHED,0.0,-45.0,1
70139,1,세종T1_ShC,SWITCHED,0.0,-45.0,1
70141,1,밀양T2_ShC,SWITCHED,0.0,-30.0,1
70143,1,좌동_ShC,SWITCHED,0.0,-75.0,1
70144,1,밀양_ShC,SWITCHED,0.0,-30.0,1
70145,1,청도_ShC,SWITCHED,0.0,-30.0,1
70146,1,상정_ShC,SWITCHED,0.0,-30.0,1
70147,1,포항T1_ShC,SWITCHED,0.0,-30.0,1
70149,1,하동_ShC,SWITCHED,0.0,-30.0,1
70151,1,함양_ShC,SWITCHED,0.0,-30.0,1
70152,1,고성_ShC,SWITCHED,0.0,-30.0,1
70153,1,남창_ShC,SWITCHED,0.0,-45.0,1
70154,1,점촌_ShC,SWITCHED,0.0,-45.0,1
70155,1,상주_ShC,SWITCHED,0.0,-30.0,1
70157,1,북평_ShC,SWITCHED,0.0,-30.0,1
70160,1,태백T1_ShC,SWITCHED,0.0,-15.0,1
20050,3,영등포_ShC345,SWITCHED,0.0,-60.0,1
70164,1,수지_ShC,SWITCHED,0.0,-45.0,1
70167,1,풍동_ShC,SWITCHED,0.0,-45.0,1
70168,1,음성_ShC,SWITCHED,0.0,-45.0,1
70176,1,논산_ShC,SWITCHED,0.0,-60.0,1
70177,1,주촌_ShC,SWITCHED,0.0,-30.0,1
70178,1,미음_ShC,SWITCHED,0.0,-30.0,1
70179,1,삼정_ShC,SWITCHED,0.0,-15.0,1
70182,1,여주_ShC,SWITCHED,0.0,-60.0,1
70185,1,거제_ShC,SWITCHED,0.0,-30.0,1
70188,1,원흥_ShC,SWITCHED,0.0,-45.0,1
70192,1,봉화_ShC,SWITCHED,0.0,-45.0,1
70195,1,산본_ShC,SWITCHED,0.0,-45.0,1
70199,1,보성_ShC,SWITCHED,0.0,-45.0,1
70200,1,능곡_ShC,SWITCHED,0.0,-45.0,1
70208,1,목포_ShC,SWITCHED,0.0,-45.0,1
70211,1,영동_ShC,SWITCHED,0.0,-45.0,1
70214,1,강진_ShC,SWITCHED,0.0,-45.0,1
70216,1,지도_ShC,SWITCHED,0.0,-45.0,1
10004,1,신울산765_ShR,FIXED,0.0,150.0,1
70222,1,서산_ShC,SWITCHED,0.0,-75.0,1
70224,1,송포_ShC,SWITCHED,0.0,-45.0,1
70225,1,장기_ShC,SWITCHED,0.0,-45.0,1
70226,1,월배_ShC,SWITCHED,0.0,-30.0,1
20056,3,서안성_ShC345,SWITCHED,0.0,-75.0,1
70232,1,남음성_ShC,SWITCHED,0.0,-45.0,1
70234,1,금호_ShC,SWITCHED,0.0,-45.0,1
70235,1,동탄_ShC,SWITCHED,0.0,-45.0,1
70236,1,삼미_ShC,SWITCHED,0.0,-60.0,1
20057,3,신인천_ShC345,SWITCHED,0.0,-60.0,1
70239,1,위례_ShC,SWITCHED,0.0,-45.0,1
70241,1,당진T1_ShC,SWITCHED,0.0,-75.0,1
70242,1,진안_ShC,SWITCHED,0.0,-30.0,1
70243,1,성포_ShC,SWITCHED,0.0,-60.0,1
20058,3,신의정부_ShC345,SWITCHED,0.0,-60.0,1
70246,1,문발_ShC,SWITCHED,0.0,-45.0,1
70247,1,일동_ShC,SWITCHED,0.0,-45.0,1
20059,3,신안산_ShC345,SWITCHED,0.0,-60.0,1
70252,1,초정_ShC,SWITCHED,0.0,-45.0,1
70253,1,청주_ShC,SWITCHED,0.0,-45.0,1
70257,1,비응_ShC,SWITCHED,0.0,-30.0,1
70259,1,장재_ShC,SWITCHED,0.0,-75.0,1
70260,1,불당_ShC,SWITCHED,0.0,-60.0,1
70261,1,삼척그린파워_ShC,SWITCHED,0.0,-30.0,1
70262,1,합천T1_ShC,SWITCHED,0.0,-30.0,1
70263,1,남군포_ShC,SWITCHED,0.0,-45.0,1
70267,1,부안_ShC,SWITCHED,0.0,-15.0,1
70269,1,달서_ShC,SWITCHED,0.0,-30.0,1
70270,1,풍세_ShC,SWITCHED,0.0,-60.0,1
20061,3,선산_ShC345,SWITCHED,0.0,-75.0,1
70271,1,영월_ShC,SWITCHED,0.0,-30.0,1
10005,1,신중부_ShR,FIXED,0.0,200.0,1
10006,1,북경남_ShR,FIXED,0.0,150.0,1
20063,1,북경남_ShR2,SWITCHED,0.0,100.0,0
20065,3,세종_ShC345,SWITCHED,0.0,-75.0,1
70272,1,당진_ShC,SWITCHED,0.0,-45.0,1
70273,1,송악_ShC,SWITCHED,0.0,-75.0,1
20067,3,신탕정_ShC345,SWITCHED,0.0,-75.0,1
20070,3,신김포_ShC345,SWITCHED,0.0,-60.0,1
20071,3,성동_ShC345,SWITCHED,0.0,-60.0,1
70274,1,의성_ShC,SWITCHED,0.0,-45.0,1
70275,1,인동_ShC,SWITCHED,0.0,-45.0,1
70276,1,송정1_ShC,SWITCHED,0.0,-45.0,1
10007,1,울진T2_ShR,FIXED,0.0,100.0,1
70277,1,양곡_ShC,SWITCHED,0.0,-60.0,1
70278,1,진영_ShC,SWITCHED,0.0,-30.0,1
70279,1,구룡_ShC,SWITCHED,0.0,-30.0,1
70280,1,동진주_ShC,SWITCHED,0.0,-30.0,1
70281,1,이현_ShC,SWITCHED,0.0,-30.0,1
70282,1,합천_ShC,SWITCHED,0.0,-30.0,1
70283,1,산청_ShC,SWITCHED,0.0,-30.0,1
70284,1,사봉_ShC,SWITCHED,0.0,-30.0,1
70285,1,사남_ShC,SWITCHED,0.0,-30.0,1
70286,1,개양_ShC,SWITCHED,0.0,-30.0,1
70287,1,사천_ShC,SWITCHED,0.0,-30.0,1
70289,1,문산_ShC,SWITCHED,0.0,-45.0,1
70291,1,남사_ShC,SWITCHED,0.0,-60.0,1
70294,1,불광_ShC,SWITCHED,0.0,-45.0,1
70295,1,호수_ShC,SWITCHED,0.0,-45.0,1
70299,1,신봉_ShC,SWITCHED,0.0,-45.0,1
20077,3,신부평_ShC345,SWITCHED,0.0,-60.0,1
70300,1,전의_ShC,SWITCHED,0.0,-60.0,1
70302,1,은하_ShC,SWITCHED,0.0,-75.0,1
70303,1,해미_ShC,SWITCHED,0.0,-60.0,1
70304,1,대천_ShC,SWITCHED,0.0,-75.0,1
70305,1,신풍_ShC,SWITCHED,0.0,-45.0,1
70306,1,홍성_ShC,SWITCHED,0.0,-45.0,1
70307,1,예산_ShC,SWITCHED,0.0,-60.0,1
70309,1,주문진_ShC,SWITCHED,0.0,-15.0,1
70314,1,문막_ShC,SWITCHED,0.0,-15.0,1
70321,1,서침산_ShC,SWITCHED,0.0,-30.0,1
70322,1,송우_ShC,SWITCHED,0.0,-45.0,1
70326,1,춘천_ShC,SWITCHED,0.0,-15.0,1
70330,1,전곡_ShC,SWITCHED,0.0,-45.0,1
70331,1,내촌_ShC,SWITCHED,0.0,-45.0,1
70340,1,구문천_ShC,SWITCHED,0.0,-45.0,1
70345,1,안면_ShC,SWITCHED,0.0,-60.0,1
70346,1,남양_ShC,SWITCHED,0.0,-45.0,1
70347,1,태안_ShC,SWITCHED,0.0,-60.0,1
20078,3,신시화_ShC345,SWITCHED,0.0,-60.0,1
70351,1,남정왕_ShC,SWITCHED,0.0,-45.0,1
70354,1,남안산_ShC,SWITCHED,0.0,-45.0,1
70358,1,안동_ShC,SWITCHED,0.0,-45.0,1
70361,1,만호_ShC,SWITCHED,0.0,-45.0,1
70364,1,세교_ShC,SWITCHED,0.0,-45.0,1
70366,1,일산_ShC,SWITCHED,0.0,-45.0,1
70367,1,덕이_ShC,SWITCHED,0.0,-60.0,1
70368,1,서종_ShC,SWITCHED,0.0,-45.0,1
70370,1,진접_ShC,SWITCHED,0.0,-45.0,1
70372,1,용문_ShC,SWITCHED,0.0,-60.0,1
70374,1,영덕_ShC,SWITCHED,0.0,-45.0,1
70377,1,용현_ShC,SWITCHED,0.0,-45.0,1
70379,1,진보_ShC,SWITCHED,0.0,-45.0,1
70380,1,동안동_ShC,SWITCHED,0.0,-45.0,1
70381,1,농서_ShC,SWITCHED,0.0,-45.0,1
70382,1,죽전_ShC,SWITCHED,0.0,-45.0,1
70385,1,기흥_ShC,SWITCHED,0.0,-45.0,1
70387,1,의왕_ShC,SWITCHED,0.0,-45.0,1
70391,1,남안성_ShC,SWITCHED,0.0,-45.0,1
70393,1,오포_ShC,SWITCHED,0.0,-45.0,1
70395,1,이천_ShC,SWITCHED,0.0,-45.0,1
70397,1,합덕_ShC,SWITCHED,0.0,-75.0,1
70398,1,옥산_ShC,SWITCHED,0.0,-75.0,1
70399,1,부여_ShC,SWITCHED,0.0,-75.0,1
70400,1,금산_ShC,SWITCHED,0.0,-30.0,1
70402,1,석문_ShC,SWITCHED,0.0,-75.0,1
70403,1,대산_ShC,SWITCHED,0.0,-75.0,1
70404,1,창공_ShC,SWITCHED,0.0,-30.0,1
70405,1,차룡_ShC,SWITCHED,0.0,-30.0,1
70406,1,진해_ShC,SWITCHED,0.0,-30.0,1
70407,1,월림_ShC,SWITCHED,0.0,-30.0,1
70408,1,완암_ShC,SWITCHED,0.0,-30.0,1
70409,1,안민_ShC,SWITCHED,0.0,-30.0,1
70410,1,동읍_ShC,SWITCHED,0.0,-30.0,1
70413,1,신월_ShC,SWITCHED,0.0,-30.0,1
70414,1,응봉_ShC,SWITCHED,0.0,-75.0,1
70415,1,장항_ShC,SWITCHED,0.0,-60.0,1
70416,1,개금_ShC,SWITCHED,0.0,-75.0,1
70417,1,통영_ShC,SWITCHED,0.0,-30.0,1
70418,1,진동_ShC,SWITCHED,0.0,-15.0,1
70419,1,삼천포_ShC,SWITCHED,0.0,-30.0,1
70420,1,안정_ShC,SWITCHED,0.0,-30.0,1
70421,1,아주_ShC,SWITCHED,0.0,-30.0,1
70422,1,진주_ShC,SWITCHED,0.0,-30.0,1
70423,1,한림정_ShC,SWITCHED,0.0,-30.0,1
70424,1,초동_ShC,SWITCHED,0.0,-30.0,1
70425,1,중리_ShC,SWITCHED,0.0,-30.0,1
70426,1,서마산_ShC,SWITCHED,0.0,-30.0,1
