bus,name,region,base_kv,volt_class,type,area,area_name,zone,vm_pu,va_deg,vmax_pu,vmin_pu,in_service,lat,lon
40000,대구T1_154,대구광역시,154,154kV,PQ,5,영남,3,1.0,0.0,1.05,0.95,1,35.86923,128.56874
70000,대구T1_D23,대구광역시,22.9,22.9kV,PQ,5,영남,3,1.0,0.0,1.05,0.95,1,35.86923,128.56874
40001,순천T1_154,전라남도,154,154kV,PQ,4,호남,14,1.0,0.0,1.05,0.95,1,34.94504,127.42611
70001,순천T1_D23,전라남도,22.9,22.9kV,PQ,4,호남,14,1.0,0.0,1.05,0.95,1,34.94504,127.42611
40002,화양_154,서울특별시,154,154kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.56677,127.08445
70002,화양_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.56677,127.08445
40003,구의_154,서울특별시,154,154kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.53586,127.0957
70003,구의_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.53586,127.0957
40004,논현_154,서울특별시,154,154kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.51962,127.03414
70004,논현_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.51962,127.03414
40005,논일_154,서울특별시,154,154kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.51168,127.02258
70005,논일_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.51168,127.02258
40006,역삼_154,서울특별시,154,154kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.50015,127.03627
70006,역삼_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.50015,127.03627
40007,선릉_154,서울특별시,154,154kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.51144,127.0582
70007,선릉_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.51144,127.0582
40008,양지_154,서울특별시,154,154kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.48532,127.02735
70008,양지_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.48532,127.02735
40009,서초_154,서울특별시,154,154kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.49416,127.01246
70009,서초_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.49416,127.01246
40010,도곡_154,경기도,154,154kV,PQ,1,수도권,9,1.0,0.0,1.05,0.95,1,37.48831,127.0541
70010,도곡_D23,경기도,22.9,22.9kV,PQ,1,수도권,9,1.0,0.0,1.05,0.95,1,37.48831,127.0541
40011,교대_154,서울특별시,154,154kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.48582,127.01237
70011,교대_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.48582,127.01237
40012,대치_154,서울특별시,154,154kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.50605,127.05637
70012,대치_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.50605,127.05637
40013,가락_154,경기도,154,154kV,PQ,1,수도권,9,1.0,0.0,1.05,0.95,1,37.49478,127.11846
70013,가락_D23,경기도,22.9,22.9kV,PQ,1,수도권,9,1.0,0.0,1.05,0.95,1,37.49478,127.11846
40014,천호_154,경기도,154,154kV,PQ,1,수도권,9,1.0,0.0,1.05,0.95,1,37.54679,127.13381
70014,천호_D23,경기도,22.9,22.9kV,PQ,1,수도권,9,1.0,0.0,1.05,0.95,1,37.54679,127.13381
40015,풍납_154,경기도,154,154kV,PQ,1,수도권,9,1.0,0.0,1.05,0.95,1,37.52674,127.11249
70015,풍납_D23,경기도,22.9,22.9kV,PQ,1,수도권,9,1.0,0.0,1.05,0.95,1,37.52674,127.11249
40016,독산_154,서울특별시,154,154kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.47257,126.898
70016,독산_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.47257,126.898
40017,봉천_154,서울특별시,154,154kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.48198,126.95154
70017,봉천_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.48198,126.95154
40018,대림_154,서울특별시,154,154kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.50068,126.90906
70018,대림_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.50068,126.90906
40019,마곡_154,인천광역시,154,154kV,PQ,1,수도권,4,1.0,0.0,1.05,0.95,1,37.55633,126.82129
70019,마곡_D23,인천광역시,22.9,22.9kV,PQ,1,수도권,4,1.0,0.0,1.05,0.95,1,37.55633,126.82129
40020,등촌_154,서울특별시,154,154kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.55143,126.86506
70020,등촌_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.55143,126.86506
