from_bus,to_bus,id,name,r_pu,x_pu,b_pu,g_from_pu,b_from_pu,g_to_pu,b_to_pu,rate_a_mva,rate_b_mva,rate_c_mva,length_km,in_service
10001,10005,1,765_신서산-신중부_1,0.000126,0.004188,2.134707,0.0,0.0,0.0,0.0,7290,8019,9112,73.87,1
10001,10005,2,765_신서산-신중부_2,0.000126,0.004188,2.134707,0.0,0.0,0.0,0.0,7290,8019,9112,73.87,1
10005,10000,1,765_신중부-신안성_1,7.7e-05,0.00257,1.309955,0.0,0.0,0.0,0.0,7290,8019,9112,45.33,1
10005,10000,2,765_신중부-신안성_2,7.7e-05,0.00257,1.309955,0.0,0.0,0.0,0.0,7290,8019,9112,45.33,1
10000,10003,1,765_신안성-신가평_1,0.000119,0.003972,2.024614,0.0,0.0,0.0,0.0,7290,8019,9112,70.06,1
10000,10003,2,765_신안성-신가평_2,0.000119,0.003972,2.024614,0.0,0.0,0.0,0.0,7290,8019,9112,70.06,1
10002,10003,1,765_신태백-신가평_1,0.000264,0.008793,4.481936,0.0,0.0,0.0,0.0,7290,8019,9112,155.08,1
10002,10003,2,765_신태백-신가평_2,0.000264,0.008793,4.481936,0.0,0.0,0.0,0.0,7290,8019,9112,155.08,1
10007,10002,1,765_울진T2-신태백_1,8.3e-05,0.002777,1.415386,0.0,0.0,0.0,0.0,7290,8019,9112,48.98,1
10007,10002,2,765_울진T2-신태백_2,8.3e-05,0.002777,1.415386,0.0,0.0,0.0,0.0,7290,8019,9112,48.98,1
10004,10006,1,765_신울산765-북경남_1,0.000146,0.004877,2.485953,0.0,0.0,0.0,0.0,7290,8019,9112,86.02,1
10004,10006,2,765_신울산765-북경남_2,0.000146,0.004877,2.485953,0.0,0.0,0.0,0.0,7290,8019,9112,86.02,1
20096,20097,1,345osm_울산T7_345-울산T8_345_1,2e-06,2.5e-05,0.000529,0.0,0.0,0.0,0.0,2000,2200,2500,0.09,1
20104,20105,1,345osm_양산T5_345-양산T6_345_1,6e-06,6.7e-05,0.001411,0.0,0.0,0.0,0.0,2000,2200,2500,0.24,1
20104,20105,2,345osm_양산T5_345-양산T6_345_2,6e-06,6.7e-05,0.001411,0.0,0.0,0.0,0.0,2000,2200,2500,0.24,1
20092,20105,1,345osm_울산T4_345-양산T6_345_1,5e-06,5.6e-05,0.001176,0.0,0.0,0.0,0.0,2000,2200,2500,0.2,1
20092,20105,2,345osm_울산T4_345-양산T6_345_2,5e-06,5.6e-05,0.001176,0.0,0.0,0.0,0.0,2000,2200,2500,0.2,1
20062,20092,1,345osm_양산T3_345-울산T4_345_1,6e-06,7e-05,0.00147,0.0,0.0,0.0,0.0,2000,2200,2500,0.25,1
20062,20092,2,345osm_양산T3_345-울산T4_345_2,6e-06,7e-05,0.00147,0.0,0.0,0.0,0.0,2000,2200,2500,0.25,1
20007,20100,1,345osm_정읍T1_345-정읍T4_345_1,8e-06,8.1e-05,0.001705,0.0,0.0,0.0,0.0,2000,2200,2500,0.29,1
20007,20100,2,345osm_정읍T1_345-정읍T4_345_2,8e-06,8.1e-05,0.001705,0.0,0.0,0.0,0.0,2000,2200,2500,0.29,1
20008,20100,1,345osm_정읍T2_345-정읍T4_345_1,8e-06,8.6e-05,0.001823,0.0,0.0,0.0,0.0,2000,2200,2500,0.31,1
20008,20100,2,345osm_정읍T2_345-정읍T4_345_2,8e-06,8.6e-05,0.001823,0.0,0.0,0.0,0.0,2000,2200,2500,0.31,1
20082,20098,1,345osm_울진T2_345-울진T3_345_1,1e-05,0.000103,0.002176,0.0,0.0,0.0,0.0,2000,2200,2500,0.37,1
20082,20098,2,345osm_울진T2_345-울진T3_345_2,1e-05,0.000103,0.002176,0.0,0.0,0.0,0.0,2000,2200,2500,0.37,1
20009,20098,1,345osm_울진T1_345-울진T3_345_1,1e-05,0.000112,0.002352,0.0,0.0,0.0,0.0,2000,2200,2500,0.4,1
20009,20098,2,345osm_울진T1_345-울진T3_345_2,1e-05,0.000112,0.002352,0.0,0.0,0.0,0.0,2000,2200,2500,0.4,1
20009,20082,1,345osm_울진T1_345-울진T2_345_1,1e-05,0.000103,0.002176,0.0,0.0,0.0,0.0,2000,2200,2500,0.37,1
20009,20082,2,345osm_울진T1_345-울진T2_345_2,1e-05,0.000103,0.002176,0.0,0.0,0.0,0.0,2000,2200,2500,0.37,1
20022,20096,1,345osm_울산T1_345-울산T7_345_1,1e-05,0.000103,0.002176,0.0,0.0,0.0,0.0,2000,2200,2500,0.37,1
20022,20096,2,345osm_울산T1_345-울산T7_345_2,1e-05,0.000103,0.002176,0.0,0.0,0.0,0.0,2000,2200,2500,0.37,1
20042,20108,1,345osm_동서울_345-성남T4_345_1,3e-06,3.6e-05,0.000764,0.0,0.0,0.0,0.0,2000,2200,2500,0.13,1
20042,20108,2,345osm_동서울_345-성남T4_345_2,3e-06,3.6e-05,0.000764,0.0,0.0,0.0,0.0,2000,2200,2500,0.13,1
20042,20107,1,345osm_동서울_345-성남T3_345_1,2.5e-05,0.000268,0.005645,0.0,0.0,0.0,0.0,2000,2200,2500,0.96,1
20042,20107,2,345osm_동서울_345-성남T3_345_2,2.5e-05,0.000268,0.005645,0.0,0.0,0.0,0.0,2000,2200,2500,0.96,1
20017,20028,1,345osm_전주T1_345-전주T2_345_1,1.4e-05,0.000145,0.003058,0.0,0.0,0.0,0.0,2000,2200,2500,0.52,1
20062,20104,1,345osm_양산T3_345-양산T5_345_1,6e-06,6.7e-05,0.001411,0.0,0.0,0.0,0.0,2000,2200,2500,0.24,1
20062,20104,2,345osm_양산T3_345-양산T5_345_2,6e-06,6.7e-05,0.001411,0.0,0.0,0.0,0.0,2000,2200,2500,0.24,1
