zone_a,zone_b,code_a,code_b,n_ac_lines,sum_rate_a_mva,itl_n0_a_to_b,itl_n0_b_to_a,itl_n1_a_to_b,itl_n1_b_to_a
강원특별자치도,경기도,GWN,GGI,18,21812.0,19261.2,10673.0,11971.2,9621.3
강원특별자치도,경상북도,GWN,GNB,11,25828.0,5874.0,20010.0,5560.2,13350.9
강원특별자치도,충청북도,GWN,CNB,14,16654.0,11573.6,5124.0,9683.0,4982.3
경기도,서울특별시,GGI,SEL,65,40354.0,14570.4,11807.4,14051.8,11590.0
경기도,인천광역시,GGI,INC,34,35536.0,15058.8,16207.8,15058.8,14400.9
경기도,충청남도,GGI,CNA,20,22808.0,9109.8,10034.2,6933.9,7813.0
경기도,충청북도,GGI,CNB,24,38292.0,17857.8,25533.6,17491.2,24453.6
경상남도,경상북도,GNA,GNB,4,8692.0,4184.8,3161.6,3681.6,2761.6
경상남도,대구광역시,GNA,TAE,18,18462.0,9517.9,6850.3,8028.9,5426.0
경상남도,부산광역시,GNA,PUS,13,9164.0,6372.0,6223.0,4199.0,4050.0
경상남도,울산광역시,GNA,USN,14,54240.0,13773.1,4638.8,13773.1,4139.3
경상남도,전라남도,GNA,JNA,10,7962.0,6394.0,4595.0,4221.0,3317.0
경상남도,전북특별자치도,GNA,JNB,2,4346.0,4346.0,4346.0,2173.0,2173.0
경상북도,대구광역시,GNB,TAE,12,8866.0,6022.1,5880.9,5131.1,4900.4
경상북도,대전광역시,GNB,DJJ,5,5702.0,5702.0,5490.0,3529.0,3317.0
경상북도,울산광역시,GNB,USN,10,11404.0,6835.2,8932.0,6519.0,6759.0
경상북도,충청북도,GNB,CNB,4,5250.0,5250.0,4592.8,3077.0,3077.0
광주광역시,전라남도,KWJ,JNA,14,13212.0,6078.4,7143.6,5793.0,5559.6
광주광역시,전북특별자치도,KWJ,JNB,12,8866.0,7834.2,5993.1,5661.2,5393.2
대구광역시,울산광역시,TAE,USN,2,4346.0,3312.1,4346.0,2173.0,2173.0
대전광역시,세종특별자치시,DJJ,SJG,13,5876.0,3192.0,2221.4,2740.0,1769.4
대전광역시,전북특별자치도,DJJ,JNB,16,14116.0,9505.5,14116.0,7372.2,11943.0
대전광역시,충청남도,DJJ,CNA,2,4346.0,4346.0,4346.0,2173.0,2173.0
대전광역시,충청북도,DJJ,CNB,4,5250.0,5250.0,5250.0,3077.0,3077.0
부산광역시,울산광역시,PUS,USN,8,17384.0,9147.2,9921.8,7859.6,7851.4
서울특별시,인천광역시,SEL,INC,12,7576.0,5385.3,6464.5,5385.0,5850.1
세종특별자치시,충청남도,SJG,CNA,4,1808.0,1808.0,1808.0,1356.0,1356.0
세종특별자치시,충청북도,SJG,CNB,4,5250.0,1488.4,2104.0,1413.0,2104.0
전라남도,전북특별자치도,JNA,JNB,12,19192.0,12164.2,5504.4,9978.6,4749.5
전북특별자치도,충청남도,JNB,CNA,5,5702.0,5250.0,5490.0,3077.0,3317.0
충청남도,충청북도,CNA,CNB,8,17292.0,16312.1,6401.7,9074.6,5606.4
