fbus,tbus,r,x,b,rateA,rateB,rateC,ratio,angle,status,angmin,angmax,Pf,Qf,Pt,Qt
1,2,0.001953667,0.017794207,0.057753945,904,904,904,0,0,1,-30,30,103.056586423,-55.5565199555,-102.788009809,52.3284441795
1,3,0.002346024,0.021367842,0.069352749,904,904,904,0,0,1,-30,30,74.4432447385,-48.5169316503,-74.2608604779,43.3608588797
1,66,0.002789894,0.025410654,0.082474341,904,904,904,0,0,1,-30,30,-239.893932054,97.8340340026,241.837703695,-88.0309236449
2,3,0.000230027,0.002463512,0.207508013,2172,2172,2172,0,0,1,-30,30,-99.6539974105,-20.5710988556,99.6773163223,0.265642660963
2,4,0.001097043,0.009991982,0.032430577,904,904,904,0,0,1,-30,30,57.6023076074,-20.5946804002,-57.5615475671,17.7508514352
2,6,0.004587512,0.041783555,0.135615211,904,904,904,0,0,1,-30,30,69.4283600281,-18.7038031357,-69.1983530693,7.34088366246
3,4,0.000157872,0.001690763,0.142417379,2172,2172,2172,0,0,1,-30,30,488.422681729,-97.7493698542,-488.029567771,87.8337273773
3,7,0.001539844,0.014025061,0.04552058,904,904,904,0,0,1,-30,30,50.8551366602,-30.4044592996,-50.8026421864,26.3566631784
3,28,0.000668777,0.007162388,0.603306441,2172,2172,2172,0,0,1,-30,30,-910.560016538,49.9407392303,916.198010411,-49.5048892722
4,7,0.001330617,0.012119404,0.039335464,904,904,904,0,0,1,-30,30,-9.12759476245,-20.7304819411,9.13343826277,16.8696043508
4,8,0.000413018,0.004423289,0.372585094,2172,2172,2172,0,0,1,-30,30,474.499771622,-92.8759934179,-473.539960641,66.1122626468
5,16,0.00309813,0.028218105,0.091586372,904,904,904,0,0,1,-30,30,163.691413762,-95.5332530253,-162.56027537,96.8284637787
5,20,0.003233724,0.029453105,0.095594761,904,904,904,0,0,1,-30,30,161.424144725,-84.5489753036,-160.332615661,85.1112319478
5,66,0.002753227,0.025076687,0.081390398,904,904,904,0,0,1,-30,30,-194.110052951,63.4159248352,195.31894754,-60.1472083442
5,70,0.001710666,0.015580931,0.050570403,904,904,904,0,0,1,-30,30,-207.458361688,107.607834663,208.439665351,-103.466474345
6,8,0.001796592,0.016363559,0.053110546,904,904,904,0,0,1,-30,30,-14.5304659605,-4.54888969039,14.5343454238,-0.701333702169
6,11,0.001545809,0.014079394,0.045696926,904,904,904,0,0,1,-30,30,6.65568455998,-10.4993117114,-6.65394424339,5.96521248143
7,9,0.000740338,0.006743076,0.021885732,904,904,904,0,0,1,-30,30,189.016803754,-66.6876555269,-188.719689355,67.2039769506
7,14,0.000255269,0.002733843,0.230278712,2172,2172,2172,0,0,1,-30,30,493.577827972,-164.459346722,-492.894470068,148.73894877
7,28,0.000583767,0.00625196,0.526618746,2172,2172,2172,0,0,1,-30,30,-1160.9756413,135.915567797,1169.01802452,-102.27811755
8,10,0.000160584,0.000184873,0.901984702,1416,1416,1416,0,0,1,-30,30,-624.209822732,-14.1068896559,624.839703358,-75.070764363
