bus_i,type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
1,1,62.3941577373,6.23941577373,0,0,1,0.98737222179,-18.7746429178,154,1,1.1,0.9
2,1,75.4113786288,7.54113786288,0,0,1,0.995031387554,-19.9042538343,345,1,1.05,0.95
3,1,345.865892193,34.5865892193,0,0,1,0.995519734686,-19.763624882,345,1,1.05,0.95
4,1,80.2189780093,8.02189780093,0,0,1,0.996321213264,-20.2489383626,345,1,1.05,0.95
5,1,76.452953299,9.05846820867,0,0,1,0.980491273254,-18.0006713448,154,1,1.1,0.9
6,1,77.0731686557,7.70731686557,0,0,1,0.997307972482,-21.6112034553,154,1,1.1,0.9
7,1,520.050441776,52.0051695263,0,0,1,0.998727688188,-20.199629512,345,1,1.05,0.95
8,1,1187.10478291,118.710478291,0,0,1,0.997885497366,-21.4762870366,345,1,1.05,0.95
9,1,300.538460409,30.0538460409,0,0,1,1.00184297311,-20.9573117745,154,1,1.1,0.9
10,2,660.271138796,66.0271138796,0,0,1,0.998833665658,-21.4071071455,154,1,1.1,0.9
11,1,546.890302653,54.6890302653,0,0,1,0.998366784062,-21.6724451105,345,1,1.05,0.95
12,1,300.085269369,30.0085269369,0,0,1,1.0017245894,-20.9756569757,154,1,1.1,0.9
13,1,323.439315833,32.3439315833,0,0,1,1.00195075989,-20.96067951,154,1,1.1,0.9
14,1,346.864752647,34.6864752647,0,0,1,1.00175001373,-20.9947795901,345,1,1.05,0.95
15,1,102.6093555,10.26093555,0,0,1,1.00246277076,-20.8917891296,154,1,1.1,0.9
16,1,442.045146484,44.2045146484,0,0,1,1.00279281057,-20.8580486039,345,1,1.05,0.95
17,1,476.660869413,47.6660869413,0,0,1,1.00245470863,-20.9336342587,345,1,1.05,0.95
18,1,497.653728771,49.7653728771,0,0,1,1.00226163916,-20.96365305,345,1,1.05,0.95
19,2,468.48883309,46.850806468,0,0,1,1.00180847129,-20.9991248226,345,1,1.05,0.95
20,1,239.420588844,24.1946459986,0,0,1,1.00049207312,-20.9298872942,154,1,1.1,0.9
21,2,729.345494271,73.0301578994,0,0,1,1.00013011897,-21.4027752078,345,1,1.05,0.95
22,1,589.735929206,58.9735929206,0,0,1,1.00271361175,-20.8530467042,345,1,1.05,0.95
23,1,345.108402308,34.5108402308,0,0,1,1.00125494359,-21.0434242677,345,1,1.05,0.95
24,1,564.60431006,56.460431006,0,0,1,1.00080255883,-21.2429516427,154,1,1.1,0.9
25,1,456.580167836,45.6580167836,0,0,1,1.00054952721,-21.3468870291,154,1,1.1,0.9
26,1,538.896061057,53.8896061057,0,0,1,1.00148161996,-21.1709214606,345,1,1.05,0.95
27,2,12.1450694189,3.06964397741,0,0,1,1.00213981861,-20.9926106252,345,1,1.05,0.95
28,1,122.173870601,12.2173870601,0,0,1,0.998080571988,-15.9693213042,765,1,1.05,0.95
29,1,594.156615162,59.4156892425,0,0,1,1.00207077018,-20.9055161284,345,1,1.05,0.95
30,1,461.648681145,46.1648681145,0,0,1,1.00201613125,-20.9083253678,154,1,1.1,0.9
31,1,375.452350632,37.5453263082,0,0,1,1.00052424871,-21.1086625276,154,1,1.1,0.9
32,1,154.800469014,15.4800469014,0,0,1,1.00120284222,-21.0547204544,345,1,1.05,0.95
33,1,446.395122309,44.6395122309,0,0,1,1.00093615134,-21.0716964454,154,1,1.1,0.9
34,2,998.315423777,99.831606042,0,0,1,1.0019190515,-21.0783328997,345,1,1.05,0.95
