bus,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin,Pc1,Pc2,Qc1min,Qc1max,Qc2min,Qc2max,ramp_agc,ramp_10,ramp_30,ramp_q,apf
3,0.0,0.0,362.5,-362.5,0.995519734686,100,0,725.0,377.0,0,0,0,0,0,0,0,120.8333333,362.5,362.5,0
3,0.0,0.0,362.5,-362.5,0.995519734686,100,0,725.0,377.0,0,0,0,0,0,0,0,120.8333333,362.5,362.5,0
3,0.0,0.0,437.1,-437.1,0.995519734686,100,0,874.2,454.584,0,0,0,0,0,0,0,145.7,437.1,437.1,0
4,0.0,0.0,262.15,-262.15,0.996321213264,100,0,524.3,272.636,0,0,0,0,0,0,0,87.38333333,262.15,262.15,0
4,0.0,0.0,429.2,-429.2,0.996321213264,100,0,858.4,446.368,0,0,0,0,0,0,0,143.0666667,429.2,429.2,0
4,0.0,0.0,429.2,-429.2,0.996321213264,100,0,858.4,446.368,0,0,0,0,0,0,0,143.0666667,429.2,429.2,0
8,0.0,0.0,423.8,-423.8,0.997885497366,100,0,847.6,440.752,0,0,0,0,0,0,0,141.2666667,423.8,423.8,0
8,0.0,0.0,423.8,-423.8,0.997885497366,100,0,847.6,440.752,0,0,0,0,0,0,0,141.2666667,423.8,423.8,0
8,0.0,0.0,257.75,-257.75,0.997885497366,100,0,515.5,268.06,0,0,0,0,0,0,0,85.91666667,257.75,257.75,0
9,0.0,0.0,57.705,-57.705,1.00184297311,100,0,115.41,60.0132,0,0,0,0,0,0,0,19.235,57.705,57.705,0
9,0.0,0.0,18.5,-18.5,1.00184297311,100,0,37.0,19.24,0,0,0,0,0,0,0,6.166666667,18.5,18.5,0
10,0.0,0.0,300.0,-300.0,0.998833665658,100,0,600.0,312.0,0,0,0,0,0,0,0,100.0,300.0,300.0,0
10,278.571718847,6.37864269037,150.0,-150.0,0.998833665658,100,1,300.0,156.0,0,0,0,0,0,0,0,50.0,150.0,150.0,0
19,0.0,0.0,184.5865,-184.5865,1.00180847129,100,0,369.173,191.96996,0,0,0,0,0,0,0,61.52883333,184.5865,184.5865,0
19,344.610417672,8.78643962658,184.5865,-184.5865,1.00180847129,100,1,369.173,191.96996,0,0,0,0,0,0,0,61.52883333,184.5865,184.5865,0
20,0.0,0.0,181.9055,-181.9055,1.00049207312,100,0,363.811,189.18172,0,0,0,0,0,0,0,60.63516667,181.9055,181.9055,0
21,426.507532379,12.1076428293,225.0,-225.0,1.00013011897,100,1,450.0,234.0,0,0,0,0,0,0,0,75.0,225.0,225.0,0
21,0.0,0.0,225.0,-225.0,1.00013011897,100,0,450.0,234.0,0,0,0,0,0,0,0,75.0,225.0,225.0,0
