model,startup,shutdown,n,c2_or_x1,c1_or_y1,c0_or_x2
2,52790.0648135,0,3,0.0104159839991,72.4694126297,9971.73910126
2,50726.1004484,0,3,0.0102968179888,78.6862918713,10827.1772175
2,60549.1996085,0,3,0.0088088166024,73.0986635896,12128.2572064
2,34413.2272731,0,3,0.0139687624956,72.9623724965,7260.34008821
2,58687.437226,0,3,0.00983078073273,76.5991418058,12479.344452
2,48131.3865702,0,3,0.00939478425155,73.4311833216,11963.2284199
2,55866.759187,0,3,0.00917167080974,74.9365087825,12054.8708852
2,58836.7900779,0,3,0.00860810211519,76.8299356476,12359.4622888
2,33692.6615864,0,3,0.0136995582926,67.7108334621,6624.68127597
2,11717.1853884,0,3,0.0600092676576,66.5816531302,1458.39838319
2,9904.19744891,0,3,0.179081141641,67.6482044641,475.046537823
2,41445.9851221,0,3,0.0131716336994,74.8964811433,8528.85681487
2,23886.0485605,0,3,0.0224931685545,62.9696812291,3585.34464291
2,32073.2729966,0,3,0.018840768058,65.9838020727,4623.2292227
2,24780.287332,0,3,0.0172331093875,64.5307333918,4521.4183331
2,23054.1716759,0,3,0.0184027752954,65.5087698339,4523.2795529
2,27685.123574,0,3,0.0139283391938,62.8093154571,5364.32069301
2,30080.1842078,0,3,0.0154253091162,70.2975363978,6003.86306429
2,30021.6721779,0,3,0.016011386381,71.5643459157,6112.0567687
2,34586.5685664,0,3,0.0174301618821,69.5332806417,5938.59069287
2,8392.28758346,0,3,0.334416896782,65.7536983786,262.070199408
2,33779.0348913,0,3,0.0148826213581,65.613982486,5603.85734885
2,10936.6040884,0,3,0.0498889291846,64.9320299875,1565.09556496
2,16494.9713131,0,3,0.0382321733844,62.6954752152,2228.70267951
2,22292.4903398,0,3,0.0292796507793,62.1488718656,2653.95727505
2,21298.2448628,0,3,0.0284377334513,64.0159159127,2733.68607755
2,21892.5370842,0,3,0.0293997219204,63.9337337399,2730.17663373
2,16550.0076668,0,3,0.028971387966,61.9597077008,2645.87935511
2,18077.3554996,0,3,0.027716236035,64.7900594911,2766.74450517
2,17970.1782213,0,3,0.0253514641069,61.434357506,2623.44520739
2,23310.5536288,0,3,0.0309468226383,69.6896636282,2975.97340434
2,16379.0108349,0,3,0.0273009743361,65.9267723076,2815.28580863
2,33669.4110322,0,3,0.0132000590002,69.2619004975,6619.2026353
2,38420.6453397,0,3,0.0143491820456,73.8853990262,7136.34866359
2,30378.2880197,0,3,0.0142769551439,68.959057061,5889.54829504
2,32770.3097731,0,3,0.0140685728522,63.6820389792,5438.85691132
2,36636.5375186,0,3,0.0156919373029,67.6087964123,5774.22732574
2,32273.4300784,0,3,0.0118451298138,68.8713560264,7510.73458185
2,34861.1830177,0,3,0.0115695229854,66.6339185625,7266.73185118
2,31166.9471024,0,3,0.0195562600157,68.231000454,4863.90946046
2,26920.0263118,0,3,0.0190883738526,66.9281066622,4771.03148128
2,30525.3103467,0,3,0.017272603871,65.9907569603,4704.21164788
2,35870.7337486,0,3,0.014813243175,78.1907138495,8515.03254982
2,29795.88667,0,3,0.0185955003532,63.4528923113,4194.21448789
2,30182.772212,0,3,0.0170973673418,67.8404965471,5312.46890331
2,14759.5573277,0,3,0.0440876661505,62.1241685274,1725.14113918
2,8671.96590101,0,3,0.258921473122,65.2512499,297.22014113
2,38693.8186373,0,3,0.0141353528095,68.7424154684,6284.49779093
2,38483.5407275,0,3,0.0152616175623,70.4027096474,6436.28348291
2,8237.85235061,0,3,0.124439168791,71.0982070792,809.63273403
2,38432.9854907,0,3,0.0110177669171,77.3219006547,11023.925242
2,13792.7822791,0,3,0.00578119150766,49.7410921902,1646.62914662
2,13974.2521004,0,3,0.00600616536683,50.8496644598,1683.32732372
2,15257.3447334,0,3,0.00485750840762,47.4571988066,1708.48766327
2,13587.9625339,0,3,0.00433154249238,49.5873670535,1785.17499969
2,11647.7517305,0,3,0.00555069048044,51.9177090583,1869.06871164
2,14393.2109664,0,3,0.00450044740351,47.9656510237,1726.7922485
2,11133.6219909,0,3,0.0438575179204,64.6026181514,1775.25542055
2,8515.77539662,0,3,0.212784466392,76.120088375,561.988002774
2,34240.3164783,0,3,0.0147136567212,73.9482773564,7183.01051642
2,27792.9230381,0,3,0.0200909805956,72.6346042477,4824.91623754
