type_thermal,UT,DT,inistate,initialpower,ramp_up,ramp_down,startup_limit,shutdown_limit,startup1,startup2,startup3,startupdelay1,startupdelay2,startupdelay3
3,4,3,1,0,725.0,725.0,725.0,725.0,52790.0648135,58069.0712949,63348.0777762,3,6,12
3,4,3,1,0,725.0,725.0,725.0,725.0,50726.1004484,55798.7104933,60871.3205381,3,6,12
3,4,3,1,0,874.2,874.2,874.2,874.2,60549.1996085,66604.1195694,72659.0395302,3,6,12
3,4,3,1,0,524.3,524.3,524.3,524.3,34413.2272731,37854.5500004,41295.8727278,3,6,12
3,4,3,1,0,858.4,858.4,858.4,858.4,58687.437226,64556.1809486,70424.9246712,3,6,12
3,4,3,1,0,858.4,858.4,858.4,858.4,48131.3865702,52944.5252273,57757.6638843,3,6,12
3,4,3,1,0,847.6,847.6,847.6,847.6,55866.759187,61453.4351057,67040.1110244,3,6,12
3,4,3,1,0,847.6,847.6,847.6,847.6,58836.7900779,64720.4690857,70604.1480935,3,6,12
3,4,3,1,0,515.5,515.5,515.5,515.5,33692.6615864,37061.927745,40431.1939036,3,6,12
3,4,3,1,0,115.41,115.41,115.41,115.41,11717.1853884,12888.9039272,14060.622466,3,6,12
3,4,3,1,0,37.0,37.0,37.0,37.0,9904.19744891,10894.6171938,11885.0369387,3,6,12
3,4,3,1,0,600.0,600.0,600.0,600.0,41445.9851221,45590.5836343,49735.1821465,3,6,12
3,4,3,1,0,300.0,300.0,300.0,300.0,23886.0485605,26274.6534166,28663.2582726,3,6,12
3,4,3,1,0,369.173,369.173,369.173,369.173,32073.2729966,35280.6002962,38487.9275959,3,6,12
3,4,3,1,0,369.173,369.173,369.173,369.173,24780.287332,27258.3160652,29736.3447984,3,6,12
3,4,3,1,0,363.811,363.811,363.811,363.811,23054.1716759,25359.5888434,27665.006011,3,6,12
3,4,3,1,0,450.0,450.0,450.0,450.0,27685.123574,30453.6359314,33222.1482888,3,6,12
3,4,3,1,0,450.0,450.0,450.0,450.0,30080.1842078,33088.2026286,36096.2210493,3,6,12
3,4,3,1,0,450.0,450.0,450.0,450.0,30021.6721779,33023.8393957,36026.0066135,3,6,12
3,4,3,1,0,450.0,450.0,450.0,450.0,34586.5685664,38045.225423,41503.8822796,3,6,12
3,4,3,1,0,21.0,21.0,21.0,21.0,8392.28758346,9231.51634181,10070.7451002,3,6,12
3,4,3,1,0,450.0,450.0,450.0,450.0,33779.0348913,37156.9383804,40534.8418695,3,6,12
3,4,3,1,0,127.0,127.0,127.0,127.0,10936.6040884,12030.2644973,13123.9249061,3,6,12
3,4,3,1,0,187.3,187.3,187.3,187.3,16494.9713131,18144.4684444,19793.9655757,3,6,12
3,4,3,1,0,225.0,225.0,225.0,225.0,22292.4903398,24521.7393738,26750.9884078,3,6,12
3,4,3,1,0,225.0,225.0,225.0,225.0,21298.2448628,23428.069349,25557.8938353,3,6,12
3,4,3,1,0,225.0,225.0,225.0,225.0,21892.5370842,24081.7907926,26271.044501,3,6,12
3,4,3,1,0,225.0,225.0,225.0,225.0,16550.0076668,18205.0084334,19860.0092001,3,6,12
3,4,3,1,0,225.0,225.0,225.0,225.0,18077.3554996,19885.0910496,21692.8265996,3,6,12
3,4,3,1,0,225.0,225.0,225.0,225.0,17970.1782213,19767.1960434,21564.2138656,3,6,12
3,4,3,1,0,225.0,225.0,225.0,225.0,23310.5536288,25641.6089917,27972.6643546,3,6,12
