Type,id,edges--transmission_edge--has_capacity,edges--transmission_edge--commodity,edges--transmission_edge--can_retire,edges--transmission_edge--can_expand,edges--transmission_edge--constraints--CapacityConstraint,edges--transmission_edge--constraints--MaxCapacityConstraint,edges--transmission_edge--start_vertex,edges--transmission_edge--end_vertex,edges--transmission_edge--distance,edges--transmission_edge--loss_fraction,edges--transmission_edge--max_capacity,edges--transmission_edge--existing_capacity,edges--transmission_edge--lifetime,edges--transmission_edge--wacc,edges--transmission_edge--investment_cost,edges--transmission_edge--variable_om_cost,edges--transmission_edge--fixed_om_cost
OneWayTransmissionLink,CNA_to_CNB_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_CNA,elec_CNB,72.836,0.03,100000,9074.6,50,0.08,443637.83,1,100
OneWayTransmissionLink,CNA_to_DJJ_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_CNA,elec_DJJ,55.526,0.03,100000,2173.0,50,0.08,443637.83,1,100
OneWayTransmissionLink,CNA_to_GGI_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_CNA,elec_GGI,118.259,0.03,100000,10813.0,50,0.08,443637.83,1,100
OneWayTransmissionLink,CNA_to_JNB_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_CNA,elec_JNB,82.46,0.03,100000,3317.0,50,0.08,443637.83,1,100
OneWayTransmissionLink,CNA_to_SJG_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_CNA,elec_SJG,43.918,0.03,100000,1356.0,50,0.08,443637.83,1,100
OneWayTransmissionLink,CNB_to_CNA_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_CNB,elec_CNA,72.836,0.03,100000,5606.4,50,0.08,443637.83,1,100
OneWayTransmissionLink,CNB_to_DJJ_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_CNB,elec_DJJ,33.143,0.03,100000,3077.0,50,0.08,443637.83,1,100
OneWayTransmissionLink,CNB_to_GGI_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_CNB,elec_GGI,86.543,0.03,100000,24453.6,50,0.08,443637.83,1,100
OneWayTransmissionLink,CNB_to_GNB_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_CNB,elec_GNB,125.832,0.03,100000,3077.0,50,0.08,443637.83,1,100
OneWayTransmissionLink,CNB_to_GWN_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_CNB,elec_GWN,137.973,0.03,100000,4982.3,50,0.08,443637.83,1,100
OneWayTransmissionLink,CNB_to_SJG_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_CNB,elec_SJG,25.039,0.03,100000,2104.0,50,0.08,443637.83,1,100
OneWayTransmissionLink,DJJ_to_CNA_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_DJJ,elec_CNA,55.526,0.03,100000,2173.0,50,0.08,443637.83,1,100
OneWayTransmissionLink,DJJ_to_CNB_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_DJJ,elec_CNB,33.143,0.03,100000,3077.0,50,0.08,443637.83,1,100
OneWayTransmissionLink,DJJ_to_GNB_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_DJJ,elec_GNB,122.694,0.03,100000,3317.0,50,0.08,443637.83,1,100
OneWayTransmissionLink,DJJ_to_JNB_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_DJJ,elec_JNB,62.251,0.03,100000,7372.2,50,0.08,443637.83,1,100
OneWayTransmissionLink,DJJ_to_SJG_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_DJJ,elec_SJG,16.754,0.03,100000,2740.0,50,0.08,443637.83,1,100
OneWayTransmissionLink,GGI_to_CNA_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_GGI,elec_CNA,118.259,0.03,100000,9933.9,50,0.08,443637.83,1,100
OneWayTransmissionLink,GGI_to_CNB_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_GGI,elec_CNB,86.543,0.03,100000,17491.2,50,0.08,443637.83,1,100
OneWayTransmissionLink,GGI_to_GWN_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_GGI,elec_GWN,72.236,0.03,100000,9621.3,50,0.08,443637.83,1,100
OneWayTransmissionLink,GGI_to_INC_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_GGI,elec_INC,71.947,0.03,100000,15058.8,50,0.08,443637.83,1,100
OneWayTransmissionLink,GGI_to_SEL_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_GGI,elec_SEL,50.603,0.03,100000,14051.8,50,0.08,443637.83,1,100
OneWayTransmissionLink,GNA_to_GNB_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_GNA,elec_GNB,129.797,0.03,100000,3681.6,50,0.08,443637.83,1,100
OneWayTransmissionLink,GNA_to_JNA_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_GNA,elec_JNA,174.535,0.03,100000,4221.0,50,0.08,443637.83,1,100
OneWayTransmissionLink,GNA_to_JNB_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_GNA,elec_JNB,107.496,0.03,100000,2173.0,50,0.08,443637.83,1,100
OneWayTransmissionLink,GNA_to_PUS_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_GNA,elec_PUS,84.251,0.03,100000,4199.0,50,0.08,443637.83,1,100
OneWayTransmissionLink,GNA_to_TAE_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_GNA,elec_TAE,57.588,0.03,100000,8028.9,50,0.08,443637.83,1,100
