Time_Index,Demand_MW,Demand_MW_25,Demand_MW_30,Demand_MW_35,Demand_heat,Demand_Zero,Demand_MW_GWN,Demand_MW_GGI,Demand_MW_GNA,Demand_MW_GNB,Demand_MW_KWJ,Demand_MW_TAE,Demand_MW_DJJ,Demand_MW_PUS,Demand_MW_SEL,Demand_MW_SJG,Demand_MW_USN,Demand_MW_INC,Demand_MW_JNA,Demand_MW_JNB,Demand_MW_JEJ,Demand_MW_CNA,Demand_MW_CNB,Demand_MW_25_GWN,Demand_MW_25_GGI,Demand_MW_25_GNA,Demand_MW_25_GNB,Demand_MW_25_KWJ,Demand_MW_25_TAE,Demand_MW_25_DJJ,Demand_MW_25_PUS,Demand_MW_25_SEL,Demand_MW_25_SJG,Demand_MW_25_USN,Demand_MW_25_INC,Demand_MW_25_JNA,Demand_MW_25_JNB,Demand_MW_25_JEJ,Demand_MW_25_CNA,Demand_MW_25_CNB,Demand_MW_30_GWN,Demand_MW_30_GGI,Demand_MW_30_GNA,Demand_MW_30_GNB,Demand_MW_30_KWJ,Demand_MW_30_TAE,Demand_MW_30_DJJ,Demand_MW_30_PUS,Demand_MW_30_SEL,Demand_MW_30_SJG,Demand_MW_30_USN,Demand_MW_30_INC,Demand_MW_30_JNA,Demand_MW_30_JNB,Demand_MW_30_JEJ,Demand_MW_30_CNA,Demand_MW_30_CNB,Demand_MW_35_GWN,Demand_MW_35_GGI,Demand_MW_35_GNA,Demand_MW_35_GNB,Demand_MW_35_KWJ,Demand_MW_35_TAE,Demand_MW_35_DJJ,Demand_MW_35_PUS,Demand_MW_35_SEL,Demand_MW_35_SJG,Demand_MW_35_USN,Demand_MW_35_INC,Demand_MW_35_JNA,Demand_MW_35_JNB,Demand_MW_35_JEJ,Demand_MW_35_CNA,Demand_MW_35_CNB,Demand_heat_SEL,Demand_heat_25_SEL,Demand_heat_30_SEL,Demand_heat_35_SEL,Demand_heat_PUS,Demand_heat_25_PUS,Demand_heat_30_PUS,Demand_heat_35_PUS,Demand_heat_TAE,Demand_heat_25_TAE,Demand_heat_30_TAE,Demand_heat_35_TAE,Demand_heat_INC,Demand_heat_25_INC,Demand_heat_30_INC,Demand_heat_35_INC,Demand_heat_KWJ,Demand_heat_25_KWJ,Demand_heat_30_KWJ,Demand_heat_35_KWJ,Demand_heat_USN,Demand_heat_25_USN,Demand_heat_30_USN,Demand_heat_35_USN,Demand_heat_SJG,Demand_heat_25_SJG,Demand_heat_30_SJG,Demand_heat_35_SJG,Demand_heat_GGI,Demand_heat_25_GGI,Demand_heat_30_GGI,Demand_heat_35_GGI,Demand_heat_GWN,Demand_heat_25_GWN,Demand_heat_30_GWN,Demand_heat_35_GWN,Demand_heat_CNA,Demand_heat_25_CNA,Demand_heat_30_CNA,Demand_heat_35_CNA,Demand_heat_CNB,Demand_heat_25_CNB,Demand_heat_30_CNB,Demand_heat_35_CNB,Demand_heat_DJJ,Demand_heat_25_DJJ,Demand_heat_30_DJJ,Demand_heat_35_DJJ,Demand_heat_JNB,Demand_heat_25_JNB,Demand_heat_30_JNB,Demand_heat_35_JNB,Demand_heat_JNA,Demand_heat_25_JNA,Demand_heat_30_JNA,Demand_heat_35_JNA,Demand_heat_GNB,Demand_heat_25_GNB,Demand_heat_30_GNB,Demand_heat_35_GNB,Demand_heat_GNA,Demand_heat_25_GNA,Demand_heat_30_GNA,Demand_heat_35_GNA,Demand_heat_JEJ,Demand_heat_25_JEJ,Demand_heat_30_JEJ,Demand_heat_35_JEJ
1,62279.83866,63709.80176,68318.20749,73208.17018,8700,0,2033.508214,16211.441867,4253.873472,4965.803914,1025.277763,1866.139424,1132.147304,2357.885112,5688.800446,458.608327,3367.171504,3025.591682,3703.252334,2474.521837,692.524314,5638.779616,3384.511533,2080.19815,16583.661259,4351.543636,5079.820208,1048.818437,1908.986524,1158.141733,2412.022836,5819.416949,469.138107,3444.482735,3095.060141,3788.280078,2531.337574,708.424873,5768.247626,3462.220896,2230.667886,17783.22926,4666.309623,5447.265591,1124.684015,2047.071783,1241.915138,2586.494888,6240.360566,503.072897,3693.63708,3318.939238,4062.302774,2714.440177,759.66831,6185.489945,3712.65832,2390.330781,19056.086538,5000.306676,5837.160562,1205.184705,2193.593552,1330.806795,2771.626553,6687.02232,539.08098,3958.013857,3556.49654,4353.067268,2908.729689,814.042537,6628.224264,3978.396566,1778.35,1778.35,1778.35,1778.35,497.28,497.28,497.28,497.28,230.58,230.58,230.58,230.58,465.3,465.3,465.3,465.3,203.65,203.65,203.65,203.65,249.26,249.26,249.26,249.26,177.48,177.48,177.48,177.48,2349.17,2349.17,2349.17,2349.17,226.61,226.61,226.61,226.61,344.75,344.75,344.75,344.75,327,327,327,327,160.54,160.54,160.54,160.54,302.54,302.54,302.54,302.54,255.9,255.9,255.9,255.9,514.08,514.08,514.08,514.08,515.17,515.17,515.17,515.17,102.33,102.33,102.33,102.33
2,60027.131,61405.37127,65847.08758,70560.17671,8700,0,1959.954723,15625.062062,4100.007733,4786.187127,988.192711,1798.639786,1091.196701,2272.59867,5483.032342,442.020126,3245.378429,2916.153801,3569.302968,2385.016559,667.475199,5434.820802,3262.091257,2004.95585,15983.818002,4194.145095,4896.079367,1010.881901,1839.937075,1116.250893,2324.778192,5608.924348,452.169036,3319.893256,2983.109534,3651.255196,2439.777228,682.800623,5559.605858,3336.989815,2149.982985,17139.996747,4497.525765,5250.233981,1084.003365,1973.027688,1196.994152,2492.939462,6014.642126,484.87638,3560.035506,3198.89076,3915.366289,2616.256876,732.190548,5961.756215,3578.368733,2303.870755,18366.813837,4819.441898,5626.026163,1161.592286,2114.249657,1282.670532,2671.374778,6445.147794,519.582024,3814.84958,3427.855439,4195.613616,2803.518793,784.598018,6388.476507,3834.495031,1778.35,1778.35,1778.35,1778.35,497.28,497.28,497.28,497.28,230.58,230.58,230.58,230.58,465.3,465.3,465.3,465.3,203.65,203.65,203.65,203.65,249.26,249.26,249.26,249.26,177.48,177.48,177.48,177.48,2349.17,2349.17,2349.17,2349.17,226.61,226.61,226.61,226.61,344.75,344.75,344.75,344.75,327,327,327,327,160.54,160.54,160.54,160.54,302.54,302.54,302.54,302.54,255.9,255.9,255.9,255.9,514.08,514.08,514.08,514.08,515.17,515.17,515.17,515.17,102.33,102.33,102.33,102.33
3,58408.32703,59749.3991,64071.33177,68657.31891,8700,0,1907.098915,15203.687399,3989.43925,4657.113846,961.543257,1750.134299,1061.769449,2211.311521,5335.166629,430.099784,3157.857479,2837.51134,3473.046464,2320.697738,649.474814,5288.255252,3174.119598,1950.886457,15552.768456,4081.037928,4764.042526,983.620568,1790.317888,1086.147982,2262.083872,5457.663596,439.974999,3230.3628,2902.66142,3552.788614,2373.981629,664.386943,5409.675121,3246.998301,2092.002519,16677.767521,4376.237067,5108.646344,1054.770101,1919.819331,1164.713767,2425.710191,5852.440029,471.800296,3464.028924,3112.623485,3809.777194,2545.701996,712.444927,5800.980339,3481.867743,2241.740263,17871.499963,4689.471806,5474.30421,1130.266614,2057.232844,1248.079638,2599.333486,6271.335874,505.570002,3711.971204,3335.413474,4082.466846,2727.913858,763.439079,6216.192892,3731.08686,1778.35,1778.35,1778.35,1778.35,497.28,497.28,497.28,497.28,230.58,230.58,230.58,230.58,465.3,465.3,465.3,465.3,203.65,203.65,203.65,203.65,249.26,249.26,249.26,249.26,177.48,177.48,177.48,177.48,2349.17,2349.17,2349.17,2349.17,226.61,226.61,226.61,226.61,344.75,344.75,344.75,344.75,327,327,327,327,160.54,160.54,160.54,160.54,302.54,302.54,302.54,302.54,255.9,255.9,255.9,255.9,514.08,514.08,514.08,514.08,515.17,515.17,515.17,515.17,102.33,102.33,102.33,102.33
4,57433.97582,58752.67651,63002.51191,67511.99692,8700,0,1875.28523,14950.063779,3922.888551,4579.425189,945.503064,1720.939053,1044.057311,2174.423047,5246.166886,422.924981,3105.178994,2790.176777,3415.110084,2281.984514,638.640458,5200.038072,3121.169832,1918.342321,15293.321566,4012.959207,4684.570116,967.212088,1760.452311,1068.029168,2224.348429,5366.620395,432.635461,3176.474801,2854.240042,3493.521999,2334.379538,653.303828,5319.43245,3192.832793,2057.104325,16399.553711,4303.233916,5023.425349,1037.174725,1887.793447,1145.284341,2385.245179,5754.811277,463.929856,3406.242973,3060.699579,3746.223566,2503.235314,700.560122,5704.210024,3423.784209,2204.344186,17573.37265,4611.243363,5382.983414,1111.411826,2022.914666,1227.259526,2555.97214,6166.719222,497.136226,3650.049151,3279.773048,4014.364288,2682.407569,750.703604,6112.496119,3668.845923,1778.35,1778.35,1778.35,1778.35,497.28,497.28,497.28,497.28,230.58,230.58,230.58,230.58,465.3,465.3,465.3,465.3,203.65,203.65,203.65,203.65,249.26,249.26,249.26,249.26,177.48,177.48,177.48,177.48,2349.17,2349.17,2349.17,2349.17,226.61,226.61,226.61,226.61,344.75,344.75,344.75,344.75,327,327,327,327,160.54,160.54,160.54,160.54,302.54,302.54,302.54,302.54,255.9,255.9,255.9,255.9,514.08,514.08,514.08,514.08,515.17,515.17,515.17,515.17,102.33,102.33,102.33,102.33
5,57193.26504,58506.43893,62738.46291,67229.04828,8700,0,1867.425746,14887.406764,3906.447385,4560.232421,941.540379,1713.726448,1039.681576,2165.309851,5224.179746,421.152466,3092.164918,2778.482904,3400.797061,2272.420519,635.963861,5178.244261,3108.088738,1910.302381,15229.225925,3996.140546,4664.936675,963.158418,1753.074102,1063.552965,2215.02599,5344.128422,430.822248,3163.161918,2842.277674,3478.880344,2324.595951,650.565775,5297.138245,3179.451354,2048.482821,16330.821757,4285.198689,5002.371737,1032.827835,1879.88154,1140.484355,2375.248408,5730.692363,461.985486,3391.967112,3047.871921,3730.522818,2492.744038,697.624013,5680.303184,3409.434833,2195.105588,17499.721119,4591.917242,5360.422864,1106.753803,2014.436455,1222.115975,2545.259838,6140.873967,495.052685,3634.751477,3266.027235,3997.539739,2671.165367,747.557341,6086.878117,3653.469472,1778.35,1778.35,1778.35,1778.35,497.28,497.28,497.28,497.28,230.58,230.58,230.58,230.58,465.3,465.3,465.3,465.3,203.65,203.65,203.65,203.65,249.26,249.26,249.26,249.26,177.48,177.48,177.48,177.48,2349.17,2349.17,2349.17,2349.17,226.61,226.61,226.61,226.61,344.75,344.75,344.75,344.75,327,327,327,327,160.54,160.54,160.54,160.54,302.54,302.54,302.54,302.54,255.9,255.9,255.9,255.9,514.08,514.08,514.08,514.08,515.17,515.17,515.17,515.17,102.33,102.33,102.33,102.33
6,57479.04915,58798.78473,63051.95534,67564.97933,8700,0,1876.756926,14961.796369,3925.967177,4583.019054,946.245081,1722.289621,1044.876672,2176.129502,5250.284,423.256886,3107.615891,2792.366466,3417.790211,2283.775382,639.141654,5204.118985,3123.61928,1919.847807,15305.323537,4016.108518,4688.246496,967.971141,1761.833888,1068.867342,2226.094064,5370.832038,432.974987,3178.96765,2856.480007,3496.263662,2336.211525,653.816531,5323.607061,3195.338481,2058.718709,16412.423838,4306.611031,5027.367658,1037.988684,1889.274959,1146.183143,2387.117084,5759.327567,464.293942,3408.91614,3063.101571,3749.163546,2505.199817,701.109911,5708.686603,3426.471145,2206.074123,17587.163973,4614.862199,5387.2079,1112.284046,2024.50222,1228.222661,2557.978028,6171.558772,497.526372,3652.913654,3282.346966,4017.514701,2684.512684,751.292745,6117.293115,3671.72518,1778.35,1778.35,1778.35,1778.35,497.28,497.28,497.28,497.28,230.58,230.58,230.58,230.58,465.3,465.3,465.3,465.3,203.65,203.65,203.65,203.65,249.26,249.26,249.26,249.26,177.48,177.48,177.48,177.48,2349.17,2349.17,2349.17,2349.17,226.61,226.61,226.61,226.61,344.75,344.75,344.75,344.75,327,327,327,327,160.54,160.54,160.54,160.54,302.54,302.54,302.54,302.54,255.9,255.9,255.9,255.9,514.08,514.08,514.08,514.08,515.17,515.17,515.17,515.17,102.33,102.33,102.33,102.33
7,57725.51398,59050.90846,63322.31629,67854.69169,8700,0,1884.804286,15025.951155,3942.80136,4602.670615,950.302492,1729.674638,1049.357005,2185.460543,5272.796731,425.071773,3120.941061,2804.339874,3432.445379,2293.567999,641.882234,5226.433764,3137.013069,1928.079937,15370.951335,4033.329218,4708.349262,972.121712,1769.388468,1073.450545,2235.639349,5393.861668,434.831543,3192.598769,2868.728328,3511.255316,2346.228983,656.620036,5346.434194,3209.039796,2067.546305,16482.798784,4325.07738,5048.924545,1042.439483,1897.375995,1151.09787,2397.352821,5784.023031,466.284791,3423.533258,3076.235866,3765.239613,2515.941882,704.116205,5733.164923,3441.163535,2215.533564,17662.57609,4634.6503,5410.307747,1117.053416,2033.183097,1233.489166,2568.946401,6198.021843,499.659719,3668.57701,3296.421364,4034.741432,2696.023625,754.514219,6143.523501,3687.469196,1778.35,1778.35,1778.35,1778.35,497.28,497.28,497.28,497.28,230.58,230.58,230.58,230.58,465.3,465.3,465.3,465.3,203.65,203.65,203.65,203.65,249.26,249.26,249.26,249.26,177.48,177.48,177.48,177.48,2349.17,2349.17,2349.17,2349.17,226.61,226.61,226.61,226.61,344.75,344.75,344.75,344.75,327,327,327,327,160.54,160.54,160.54,160.54,302.54,302.54,302.54,302.54,255.9,255.9,255.9,255.9,514.08,514.08,514.08,514.08,515.17,515.17,515.17,515.17,102.33,102.33,102.33,102.33
8,57523.16348,58843.91194,63100.34679,67616.83446,8700,0,1878.19731,14973.279322,3928.980298,4586.536454,946.97131,1723.611452,1045.678599,2177.79965,5254.313517,423.58173,3110.000942,2794.509567,3420.413315,2285.528147,639.632186,5208.11307,3126.016611,1921.321263,15317.070143,4019.190822,4691.844657,968.714045,1763.186069,1069.687682,2227.802559,5374.954074,433.307289,3181.407462,2858.672314,3498.946993,2338.004533,654.318326,5327.692851,3197.790856,2060.298746,16425.020125,4309.916291,5031.226089,1038.785325,1890.724949,1147.062822,2388.949161,5763.747767,464.65028,3411.532434,3065.452456,3752.040974,2507.122521,701.648002,5713.067936,3429.10091,2207.767252,17600.661855,4618.404037,5391.342503,1113.137707,2026.055995,1229.165304,2559.941239,6176.295353,497.908216,3655.717212,3284.866119,4020.598085,2686.573008,751.869352,6121.988048,3674.543174,1778.35,1778.35,1778.35,1778.35,497.28,497.28,497.28,497.28,230.58,230.58,230.58,230.58,465.3,465.3,465.3,465.3,203.65,203.65,203.65,203.65,249.26,249.26,249.26,249.26,177.48,177.48,177.48,177.48,2349.17,2349.17,2349.17,2349.17,226.61,226.61,226.61,226.61,344.75,344.75,344.75,344.75,327,327,327,327,160.54,160.54,160.54,160.54,302.54,302.54,302.54,302.54,255.9,255.9,255.9,255.9,514.08,514.08,514.08,514.08,515.17,515.17,515.17,515.17,102.33,102.33,102.33,102.33
9,57181.75696,58494.66663,62725.83906,67215.52086,8700,0,1867.049994,14884.411205,3905.661353,4559.314839,941.350928,1713.381622,1039.472378,2164.874161,5223.128568,421.067724,3091.542732,2777.923834,3400.112773,2271.963277,635.835896,5177.202326,3107.463348,1909.918002,15226.16159,3995.336467,4663.998025,962.964617,1752.721359,1063.338964,2214.580297,5343.05311,430.735561,3162.525447,2841.705768,3478.180345,2324.128211,650.434872,5296.072388,3178.811604,2048.070638,16327.535763,4284.336447,5001.36519,1032.620016,1879.503282,1140.254874,2374.770476,5729.539269,461.892528,3391.284601,3047.258647,3729.772185,2492.242464,697.483642,5679.160228,3408.748807,2194.663902,17496.199926,4590.993284,5359.344272,1106.531108,2014.031123,1221.870069,2544.747696,6139.638337,494.953074,3634.020115,3265.370065,3996.735378,2670.627892,747.406921,6085.653353,3652.734343,1778.35,1778.35,1778.35,1778.35,497.28,497.28,497.28,497.28,230.58,230.58,230.58,230.58,465.3,465.3,465.3,465.3,203.65,203.65,203.65,203.65,249.26,249.26,249.26,249.26,177.48,177.48,177.48,177.48,2349.17,2349.17,2349.17,2349.17,226.61,226.61,226.61,226.61,344.75,344.75,344.75,344.75,327,327,327,327,160.54,160.54,160.54,160.54,302.54,302.54,302.54,302.54,255.9,255.9,255.9,255.9,514.08,514.08,514.08,514.08,515.17,515.17,515.17,515.17,102.33,102.33,102.33,102.33
10,55530.34674,56805.33955,60914.31564,65274.33534,8700,0,1813.129555,14454.549134,3792.86578,4427.64174,914.164695,1663.899129,1009.452396,2102.352554,5072.284516,408.90728,3002.25892,2697.697342,3301.917452,2206.348934,617.472943,5027.684625,3017.719748,1854.759534,14786.42976,3879.951075,4529.301674,935.154181,1702.102733,1032.629714,2150.623176,5188.745635,418.295909,3071.191652,2759.637252,3377.730431,2257.007343,631.650301,5143.121717,3087.007465,1988.922319,15855.996227,4160.60473,4856.925669,1002.79793,1825.223192,1107.324291,2306.187059,5564.070066,448.553063,3293.344238,2959.25376,3622.056293,2420.266454,677.340301,5515.145973,3310.304077,2131.281967,16990.909345,4458.405311,5204.566307,1074.574469,1955.865866,1186.582437,2471.255334,5962.325465,480.65882,3529.069545,3171.066116,3881.309584,2593.500107,725.821795,5909.899568,3547.243306,1778.35,1778.35,1778.35,1778.35,497.28,497.28,497.28,497.28,230.58,230.58,230.58,230.58,465.3,465.3,465.3,465.3,203.65,203.65,203.65,203.65,249.26,249.26,249.26,249.26,177.48,177.48,177.48,177.48,2349.17,2349.17,2349.17,2349.17,226.61,226.61,226.61,226.61,344.75,344.75,344.75,344.75,327,327,327,327,160.54,160.54,160.54,160.54,302.54,302.54,302.54,302.54,255.9,255.9,255.9,255.9,514.08,514.08,514.08,514.08,515.17,515.17,515.17,515.17,102.33,102.33,102.33,102.33
