Time_Index,Demand_MW,Demand_MW_25,Demand_MW_30,Demand_MW_35,Demand_heat,Demand_Zero,,,,,,
1,62279.83866,66030.26394,69364.58071,71914.53803,8700,0,,,,,,
2,60027.131,63641.90063,66855.61271,69313.33619,8700,0,,,,,,
3,58408.32703,61925.61402,65052.65912,67444.10303,8700,0,,,,,,
4,57433.97582,60892.58842,63967.46904,66319.01956,8700,0,,,,,,
5,57193.26504,60637.38229,63699.37582,66041.07079,8700,0,,,,,,
6,57479.04915,60940.37602,64017.66976,66371.06574,8700,0,,,,,,
7,57725.51398,61201.68269,64292.17159,66655.65871,8700,0,,,,,,
8,57523.16348,60987.14686,64066.80238,66422.00456,8700,0,,,,,,
9,57181.75696,60625.18121,63686.55862,66027.78241,8700,0,,,,,,
10,55530.34674,58874.32483,61847.28961,64120.8988,8700,0,,,,,,
11,55242.64461,58569.29759,61526.85946,63788.68912,8700,0,,,,,,
12,54537.7744,57821.98085,60741.80562,62974.77539,8700,0,,,,,,
13,53887.56759,57132.61928,60017.6335,62223.9815,8700,0,,,,,,
14,54111.01624,57369.52377,60266.50091,62481.99769,8700,0,,,,,,
15,54367.07114,57640.99802,60551.68374,62777.66431,8700,0,,,,,,
16,55909.15454,59275.94403,62269.18929,64558.30822,8700,0,,,,,,
17,57948.00362,61437.57042,64539.97089,66912.56753,8700,0,,,,,,
18,60351.2754,63985.56466,67216.63067,69687.62577,8700,0,,,,,,
19,61545.23923,65251.42771,68546.41575,71066.29597,8700,0,,,,,,
20,61036.00646,64711.52949,67979.2544,70478.28482,8700,0,,,,,,
21,60181.53114,63805.59858,67027.57688,69491.62205,8700,0,,,,,,
22,59037.43568,62592.60692,65753.33303,68170.53487,8700,0,,,,,,
23,59438.30065,63017.61155,66199.79903,68633.41371,8700,0,,,,,,
24,60470.19228,64111.64259,67349.07513,69824.93911,8700,0,,,,,,
25,58171.45228,61674.47492,64788.83831,67170.58372,8700,0,,,,,,
26,56200.6927,59585.03831,62593.89184,64894.94737,8700,0,,,,,,
27,54959.73752,58269.35413,61211.76983,63462.01626,8700,0,,,,,,
28,54340.21894,57612.52881,60521.77693,62746.65807,8700,0,,,,,,
29,54407.34943,57683.70182,60596.54395,62824.17366,8700,0,,,,,,
30,54976.99965,58287.65577,61230.99564,63481.94885,8700,0,,,,,,
31,55984.9161,59356.26787,62353.56923,64645.7901,8700,0,,,,,,
32,56854.73554,60278.46691,63322.33636,65650.17073,8700,0,,,,,,
33,58182.00135,61685.65925,64800.5874,67182.76474,8700,0,,,,,,
34,57075.30717,60512.32113,63567.99947,65904.86482,8700,0,,,,,,
35,56360.84688,59754.8368,62772.26461,65079.87743,8700,0,,,,,,
36,54947.27043,58256.13629,61197.88453,63447.62051,8700,0,,,,,,
37,53192.28745,56395.47011,59243.26067,61421.14143,8700,0,,,,,,
38,52808.68461,55988.76712,58816.02048,60978.19518,8700,0,,,,,,
39,53218.18064,56422.92256,59272.09938,61451.0403,8700,0,,,,,,
40,55492.94546,58834.67129,61805.63369,64077.71154,8700,0,,,,,,
41,58889.74859,62436.02627,65588.84556,68000.00057,8700,0,,,,,,
42,61590.31256,65299.21531,68596.61647,71118.34215,8700,0,,,,,,
43,62414.09966,66172.60999,69514.11478,72069.56922,8700,0,,,,,,
44,61622.91881,65333.78508,68632.9319,71155.99259,8700,0,,,,,,
45,60399.22575,64036.40253,67270.03569,69742.99405,8700,0,,,,,,
46,59157.31157,62719.7016,65886.84559,68308.95558,8700,0,,,,,,
47,59421.99753,63000.32667,66181.64132,68614.58849,8700,0,,,,,,
48,61594.14859,65303.28234,68600.88888,71122.77161,8700,0,,,,,,
49,59450.76774,63030.82939,66213.68433,68647.80946,8700,0,,,,,,
50,57274.78064,60723.80667,63790.16436,66135.19686,8700,0,,,,,,
51,55919.70362,59287.12837,62280.9384,64570.48925,8700,0,,,,,,
52,55237.84958,58564.2138,61521.51897,63783.15229,8700,0,,,,,,
53,55160.17,58481.85644,61435.00282,63693.45567,8700,0,,,,,,
54,55692.41894,59046.15685,62027.79859,64308.0436,8700,0,,,,,,
55,56463.46064,59863.62985,62886.55136,65198.36555,8700,0,,,,,,
56,56939.12816,60367.94156,63416.3292,65747.6189,8700,0,,,,,,
57,56997.62759,60429.96376,63481.48332,65815.1682,8700,0,,,,,,
58,54505.16816,57787.41109,60705.49021,62937.12496,8700,0,,,,,,
59,54169.51568,57431.54598,60331.65505,62549.547,8700,0,,,,,,
60,53620.00461,56848.94394,59719.63347,61915.02649,8700,0,,,,,,
61,53739.8805,56976.03863,59853.14603,62053.4472,8700,0,,,,,,
62,55432.52802,58770.61557,61738.34336,64007.94752,8700,0,,,,,,
63,57027.35681,60461.48325,63514.59444,65849.49653,8700,0,,,,,,
64,58839.88022,62383.15488,65533.30433,67942.41756,8700,0,,,,,,
65,60611.16632,64261.10593,67506.0859,69987.72185,8700,0,,,,,,
66,62743.9981,66522.37456,69881.54135,72450.50299,8700,0,,,,,,
67,63748.07853,67586.91964,70999.84254,73609.9148,8700,0,,,,,,
68,62954.97966,66746.0612,70116.52345,72694.12343,8700,0,,,,,,
69,62158.04476,65901.13574,69228.93195,71773.90259,8700,0,,,,,,
70,60694.59994,64349.56384,67599.01064,70084.06266,8700,0,,,,,,
71,61094.5059,64773.5517,68044.40854,70545.83413,8700,0,,,,,,
72,61836.77739,65560.52199,68871.1183,71402.93512,8700,0,,,,,,
73,59533.24235,63118.27053,66305.54097,68743.0429,8700,0,,,,,,
74,57550.97469,61016.63284,64097.7773,66454.11817,8700,0,,,,,,
75,56520.04206,59923.61854,62949.56929,65263.70012,8700,0,,,,,,
76,56308.10149,59698.91514,62713.51909,65018.97232,8700,0,,,,,,
77,56804.86717,60225.59552,63266.79514,65592.58772,8700,0,,,,,,
78,58577.11228,62104.56333,65240.6448,67638.99938,8700,0,,,,,,
79,62247.23242,65995.69418,69328.2653,71876.8876,8700,0,,,,,,
80,68721.48931,72859.8239,76539.01157,79352.71289,8700,0,,,,,,
81,77455.16691,82119.43422,86266.20255,89437.49159,8700,0,,,,,,
82,79401.95131,84183.4519,88434.4465,91685.44379,8700,0,,,,,,
83,78681.73698,83419.86703,87632.30305,90853.81221,8700,0,,,,,,
84,76685.08422,81302.97798,85408.51788,88548.277,8700,0,,,,,,
85,73399.52591,77819.56686,81749.20566,84754.44238,8700,0,,,,,,
86,76298.60436,80893.22471,84978.07339,88102.00865,8700,0,,,,,,
87,77981.66181,82677.63408,86852.58971,90045.43532,8700,0,,,,,,
88,78092.90663,82795.57795,86976.48936,90173.88973,8700,0,,,,,,
89,79444.14762,84228.18922,88481.44292,91734.16788,8700,0,,,,,,
90,78318.2733,83034.51596,87227.49298,90434.12065,8700,0,,,,,,
91,75606.20124,80159.12582,84206.90485,87302.49068,8700,0,,,,,,
92,72613.1401,76985.82574,80873.36328,83846.40258,8700,0,,,,,,
93,69879.96988,74088.06693,77829.27694,80690.41056,8700,0,,,,,,
94,66867.7286,70894.4317,74474.37336,77212.17515,8700,0,,,,,,
95,65653.62562,69607.21674,73122.15817,75810.25028,8700,0,,,,,,
96,67444.09186,71505.50294,75116.30174,77877.70189,8700,0,,,,,,
97,64509.53016,68394.22507,71847.91431,74489.1631,8700,0,,,,,,
98,62294.22377,66045.5153,69380.60222,71931.14851,8700,0,,,,,,
99,60869.13923,64534.61369,67793.40492,70285.60321,8700,0,,,,,,
100,60547.87185,64193.99994,67435.59126,69914.63572,8700,0,,,,,,
101,60958.32689,64629.17214,67892.73827,70388.58821,8700,0,,,,,,
102,62378.6164,66134.98997,69474.59507,72028.5967,8700,0,,,,,,
103,65424.42292,69364.2117,72866.88215,75545.58989,8700,0,,,,,,
104,70664.43768,74919.77454,78702.98312,81596.23564,8700,0,,,,,,
105,78263.60989,82976.56077,87166.61125,90371.0008,8700,0,,,,,,
106,79827.75046,84634.89222,88908.68311,92177.11413,8700,0,,,,,,
107,78952.17699,83706.59265,87933.50739,91166.08933,8700,0,,,,,,
108,77248.98039,81900.83137,86036.56095,89199.40798,8700,0,,,,,,
109,74898.454,79408.7588,83418.6467,86485.25485,8700,0,,,,,,
110,77257.61145,81909.98218,86046.17385,89209.37427,8700,0,,,,,,
111,78265.52791,82978.5943,87168.74745,90373.21554,8700,0,,,,,,
112,79259.05926,84031.95504,88275.29954,91520.44632,8700,0,,,,,,
113,81033.22238,85912.95637,90251.28541,93569.07272,8700,0,,,,,,
114,80289.03287,85123.95256,89422.43944,92709.75699,8700,0,,,,,,
115,78171.54521,82878.95206,87064.0736,90264.6937,8700,0,,,,,,
116,75243.69655,79774.79148,83803.16286,86883.90647,8700,0,,,,,,
117,72331.19201,76686.89903,80559.34174,83520.83708,8700,0,,,,,,
118,69099.33811,73260.42635,76959.84316,79789.01495,8700,0,,,,,,
119,68081.83158,72181.64666,75826.58856,78614.10003,8700,0,,,,,,
120,69852.15868,74058.58097,77798.30203,80658.29697,8700,0,,,,,,
121,66971.30137,71004.24151,74589.72822,77331.77064,8700,0,,,,,,
122,64990.95172,68904.63732,72384.10075,75045.06064,8700,0,,,,,,
123,63729.85739,67567.60124,70979.54863,73588.87485,8700,0,,,,,,
124,63333.78746,67147.68041,70538.42313,73131.53285,8700,0,,,,,,
125,63702.04618,67538.11527,70948.57371,73556.76124,8700,0,,,,,,
126,65039.86108,68956.49195,72438.57387,75101.53628,8700,0,,,,,,
127,68336.92747,72452.10416,76110.70329,78908.65929,8700,0,,,,,,
128,73617.22052,78050.37081,81991.66447,85005.81438,8700,0,,,,,,
129,81168.44238,86056.31917,90401.88757,93725.21127,8700,0,,,,,,
130,82060.31898,87001.90363,91395.22101,94755.0613,8700,0,,,,,,
131,80179.70606,85008.04221,89300.67598,92583.51731,8700,0,,,,,,
