Time_Index,Demand_Ethanol,Demand_Zero ,Demand_Electricity,Demand_Hydrogen,Demand_Ammonia,Demand_Biomethane,Demand_Gasoline,Demand_GreenDiesel
1,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
2,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
3,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
4,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
5,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
6,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
7,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
8,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
9,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
10,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
11,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
12,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
13,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
14,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
15,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
16,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
17,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
18,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
19,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
20,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
21,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
22,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
23,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
24,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
25,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
26,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
27,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
28,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
29,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
30,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
31,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
32,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
33,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
34,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
35,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
36,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
37,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
38,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
39,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
40,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
41,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
42,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
43,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
44,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
45,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
46,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
47,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
48,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
49,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
50,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
51,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
52,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
53,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
54,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
55,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
56,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
57,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
58,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
59,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
60,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
61,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
62,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
63,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
64,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
65,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
66,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
67,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
68,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
69,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
70,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
71,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
72,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
73,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
74,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
75,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
76,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
77,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
78,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
79,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
80,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
81,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
82,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
83,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
84,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
85,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
86,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
87,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
88,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
89,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
90,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
91,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
92,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
93,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
94,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
95,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
96,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
97,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
98,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
99,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
100,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
101,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
102,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
103,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
104,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
105,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
106,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
107,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
108,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
109,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
110,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
111,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
112,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
113,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
114,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
115,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
116,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
117,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
118,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
119,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
120,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
121,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
122,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
123,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
124,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
125,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
126,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
127,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
128,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
129,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
130,344.18,0,108.01,61.75,61.75,41.67,473.06,2471.46
