Time_Index,Demand_Ethanol,Demand_Zero ,Demand_Electricity,Demand_Hydrogen,Demand_Ammonia,Demand_Biomethane,Demand_Gasoline,Demand_GreenDiesel
1,1000,0,20000,2250,3675,500,12000,4000
2,1000,0,20000,2250,3675,500,12000,2000
3,1000,0,20000,2250,3675,500,12000,2000
4,1000,0,20000,2250,3675,500,12000,2000
5,1000,0,20000,2250,3675,500,12000,2000
6,1000,0,20000,2250,3675,500,12000,2000
7,1000,0,20000,2250,3675,500,12000,2000
8,1000,0,20000,2250,3675,500,12000,2000
9,1000,0,20000,2250,3675,500,12000,2000
10,1000,0,20000,2250,3675,500,12000,2000
11,1000,0,20000,2250,3675,500,12000,2000
12,1000,0,20000,2250,3675,500,12000,2000
13,1000,0,20000,2250,3675,500,12000,2000
14,1000,0,20000,2250,3675,500,12000,2000
15,1000,0,20000,2250,3675,500,12000,2000
16,1000,0,20000,2250,2250,500,12000,2000
17,1000,0,20000,2250,2250,500,12000,2000
18,1000,0,20000,2250,2250,500,12000,2000
19,1000,0,20000,2250,2250,500,12000,2000
20,1000,0,20000,2250,2250,500,12000,2000
21,1000,0,20000,2250,2250,500,12000,2000
22,1000,0,20000,2250,2250,500,12000,2000
23,1000,0,20000,2250,2250,500,12000,2000
24,1000,0,20000,1000,1000,500,12000,2000
25,1000,0,20000,1000,1000,500,12000,2000
26,1000,0,20000,1000,1000,500,12000,2000
27,1000,0,20000,1000,1000,500,12000,2000
28,1000,0,20000,1000,1000,500,12000,2000
29,1000,0,20000,1000,1000,500,12000,2000
30,1000,0,20000,1000,1000,500,12000,2000
31,1000,0,20000,1000,1000,500,12000,2000
32,1000,0,20000,1000,1000,500,12000,2000
33,1000,0,20000,1000,1000,500,12000,2000
34,1000,0,20000,1000,1000,500,12000,2000
35,1000,0,20000,1000,1000,500,12000,2000
36,1000,0,20000,1000,1000,500,12000,2000
37,1000,0,20000,1000,1000,500,12000,2000
38,1000,0,20000,1000,1000,500,12000,2000
39,1000,0,20000,2250,3562,500,12000,2000
40,1000,0,20000,2250,3562,500,12000,2000
41,1000,0,20000,2250,3562,500,12000,2000
42,1000,0,20000,2250,3562,500,12000,2000
43,1000,0,20000,2250,3562,500,12000,2000
44,1000,0,20000,2250,3562,500,12000,2000
45,1000,0,20000,2250,3562,500,12000,2000
46,1000,0,20000,2250,3562,500,12000,2000
47,1000,0,20000,2250,3562,500,12000,2000
48,1000,0,20000,2250,3562,500,12000,2000
49,1000,0,20000,2250,3562,500,12000,2000
50,1000,0,20000,2250,3562,500,12000,2000
51,1000,0,20000,2250,3562,500,12000,2000
52,1000,0,20000,2250,3562,500,12000,2000
53,1000,0,20000,2250,3562,500,12000,2000
54,1000,0,20000,2250,3562,500,12000,2000
55,1000,0,20000,2250,3562,500,12000,2000
56,1000,0,20000,2250,3562,500,12000,2000
57,1000,0,20000,2250,3562,500,12000,2000
58,1000,0,20000,2250,3562,500,12000,2000
59,1000,0,20000,2250,3562,500,12000,2000
60,1000,0,20000,2250,3562,500,12000,2000
61,1000,0,20000,2250,3562,500,12000,2000
62,1000,0,20000,2250,3562,500,12000,2000
63,1000,0,20000,2250,3562,500,12000,2000
64,1000,0,20000,2250,3562,500,12000,2000
65,1000,0,20000,2250,3562,500,12000,2000
66,1000,0,20000,2250,3562,500,12000,2000
67,1000,0,20000,2250,3562,500,12000,2000
68,1000,0,20000,2250,3562,500,12000,2000
69,1000,0,20000,2250,3562,500,12000,2000
70,1000,0,20000,2250,3562,500,12000,2000
71,1000,0,20000,2250,3562,500,12000,2000
72,1000,0,20000,2250,3562,500,12000,2000
73,1000,0,20000,2250,3562,500,12000,2000
74,1000,0,20000,2250,3562,500,12000,2000
75,1000,0,20000,2250,3562,500,12000,2000
76,1000,0,20000,2250,3562,500,12000,2000
77,1000,0,20000,2250,3562,500,12000,2000
78,1000,0,20000,2250,3562,500,12000,2000
79,1000,0,20000,2250,3562,500,12000,2000
80,1000,0,20000,2250,2250,500,12000,2000
81,1000,0,20000,2250,2250,500,12000,2000
82,1000,0,20000,2250,2250,500,12000,2000
83,1000,0,20000,2250,2250,500,12000,2000
84,1000,0,20000,2250,2250,500,12000,2000
85,1000,0,20000,2250,2250,500,12000,2000
86,1000,0,20000,2250,2250,500,12000,2000
87,1000,0,20000,2250,2250,500,12000,2000
88,1000,0,20000,2250,2250,500,12000,2000
89,1000,0,20000,2250,2250,500,12000,2000
90,1000,0,20000,2250,2250,500,12000,2000
